FIRST,LAST,START,minAt*,Gpred(minAt*),maxAt*,Gpred(maxAt*),n_0*,Cpred_min(n_0*),n_1*,Cpred_max(n_1*),n_geom,<COUNT>*,Cpred_avg,n_align,C_align
9030,9134,(7#)43,9034,145.410,9030,476.390,9133,2.670566,9030,8.75346795,9082,220.926233,4.041698144,9041,1.951286
9135,9239,(7#)87/2,9137,146.667,9135,486.582,9221,2.670528,9135,8.86139769,9187,222.942530,4.042175421,9137,1.956195
9240,9344,(11#)4,9241,147.966,9240,526.063,9341,2.670478,9240,9.49425470,9292,225.231923,4.047589373,9241,1.961414
9345,9449,(7#)89/2,9346,149.308,9345,483.080,9437,2.670438,9345,8.64282339,9397,227.141767,4.046211971,9349,1.966727
9450,9554,(7#)45,9458,150.702,9450,481.825,9533,2.670399,9450,8.54452269,9502,228.834339,4.041111327,9461,1.972127
9555,9659,(7#)91/2,9556,151.951,9555,530.124,9649,2.670352,9555,9.32116050,9607,231.224586,4.048399739,9566,1.977452
9660,9764,(7#)46,9661,153.187,9660,513.505,9749,2.670312,9660,8.95118427,9712,232.820801,4.041820242,9661,1.981502
9765,9869,(7#)93/2,9767,154.499,9765,511.307,9857,2.670270,9765,8.83872810,9817,235.318601,4.050940745,9767,1.986346
9870,9974,(7#)47,9871,155.782,9870,509.540,9973,2.670225,9870,8.73388898,9922,236.440385,4.036510475,9871,1.991002
9975,10079,(7#)95/2,9986,157.230,9975,532.113,10069,2.670188,9975,9.04648537,10027,239.138332,4.049085132,9986,1.996388
10080,10184,(7#)48,10084,158.466,10080,506.734,10181,2.670146,10080,8.54382260,10132,240.654571,4.041627664,10091,2.000578
10185,10289,(7#)97/2,10193,159.739,10185,516.178,10289,2.670106,10185,8.63355734,10237,242.732356,4.043748133,10193,2.004888
10290,10394,(7#)49,10294,161.008,10290,514.968,10369,2.670077,10290,8.54354680,10342,244.516298,4.041031619,10301,2.009380
10395,10499,(11#)9/2,10399,162.260,10395,576.694,10477,2.670038,10395,9.49270423,10447,246.955159,4.049153810,10399,2.013397
10500,10604,(7#)50,10501,163.503,10500,523.176,10601,2.669994,10500,8.54335773,10552,248.528135,4.043085329,10501,2.017490
10605,10709,(7#)101/2,10607,164.794,10605,532.537,10709,2.669955,10605,8.62946360,10657,250.334702,4.040993114,10607,2.021690
10710,10814,(7#)51,10711,166.058,10710,566.771,10789,2.669928,10710,9.11263494,10762,252.733674,4.048453026,10711,2.025732
