START,n_0,C_min,Npred_0,CboundMin,Lambda_min,Jitter,JitterRatio
(11#)48,111058,2.464714,112031,1.639103,4.079266e-01,0.315525,2.616626e+00
(11#)97/2,112681,2.478536,113189,1.636292,4.152354e-01,0.315233,2.671814e+00
(11#)49,113389,2.460935,114343,1.633453,4.098452e-01,0.314956,2.627294e+00
(11#)99/2,115426,2.500222,115499,1.630575,4.274468e-01,0.314694,2.763469e+00
(11#)50,116371,2.460027,116639,1.627703,4.130025e-01,0.314449,2.646928e+00
(11#)101/2,116728,2.402456,117809,1.624721,3.911554e-01,0.314211,2.475200e+00
(11#)51,118894,2.444233,118931,1.621809,4.101892e-01,0.313989,2.619276e+00
(11#)103/2,119458,2.462122,120103,1.618773,4.193551e-01,0.313784,2.687674e+00
(13#)4,121234,2.463828,121271,1.615696,4.219504e-01,0.313587,2.704615e+00
(11#)105/2,121612,2.502568,122401,1.612652,4.394374e-01,0.313404,2.839517e+00
(11#)53,123059,2.504951,123583,1.609508,4.423406e-01,0.313232,2.858721e+00
(11#)107/2,124447,2.517146,124739,1.606366,4.491512e-01,0.313073,2.909162e+00
(11#)54,125479,2.491172,125887,1.603216,4.407417e-01,0.312926,2.837591e+00
(11#)109/2,126397,2.546025,127037,1.600031,4.645103e-01,0.312790,3.024374e+00
(11#)55,127189,2.428594,128203,1.596770,4.193297e-01,0.312664,2.660441e+00
(11#)111/2,129263,2.490514,129347,1.593530,4.465374e-01,0.312549,2.869899e+00
(11#)56,130307,2.503745,130513,1.590222,4.539140e-01,0.312445,2.923788e+00
(11#)113/2,131641,2.512217,131072,1.586940,4.593580e-01,0.312351,2.962299e+00
(11#)57,131888,2.478781,132817,1.583575,4.480820e-01,0.312268,2.866788e+00
(11#)115/2,133174,2.475614,133979,1.580179,4.489503e-01,0.312194,2.868201e+00
(11#)58,134087,2.503206,135131,1.576785,4.621843e-01,0.312129,2.968071e+00
(13#)9/2,135802,2.501586,136277,1.573382,4.636975e-01,0.312075,2.974298e+00
(11#)59,136649,2.492808,137443,1.569890,4.624042e-01,0.312029,2.957796e+00
(11#)119/2,137587,2.515309,138599,1.566402,4.736144e-01,0.311992,3.041447e+00
(11#)60,139511,2.466330,139753,1.562893,4.561926e-01,0.311964,2.895966e+00
(11#)121/2,140009,2.495139,140909,1.559351,4.700747e-01,0.311945,2.999849e+00
(11#)61,141676,2.498497,142061,1.555795,4.737027e-01,0.311934,3.022120e+00
(11#)123/2,142258,2.505830,143197,1.552263,4.789062e-01,0.311932,3.056971e+00
(11#)62,143896,2.509536,144349,1.548655,4.827111e-01,0.311937,3.080369e+00
(11#)125/2,145144,2.491578,145517,1.544959,4.779189e-01,0.311951,3.034512e+00
(11#)63,146176,2.504029,146683,1.541267,4.852962e-01,0.311973,3.086043e+00
(11#)127/2,147401,2.521313,147827,1.537608,4.945518e-01,0.312002,3.152880e+00
(11#)64,148696,2.533538,148991,1.536343,5.002118e-01,0.312014,3.195994e+00
(11#)129/2,149846,2.509766,150131,1.540572,4.880357e-01,0.312039,3.106003e+00
(13#)5,150292,2.507348,151303,1.546854,4.830024e-01,0.312083,3.077688e+00
(11#)131/2,151909,2.518866,152459,1.553081,4.835681e-01,0.312134,3.094136e+00
(11#)66,152914,2.505061,153611,1.559175,4.741563e-01,0.312193,3.029812e+00
(11#)133/2,154702,2.506776,154769,1.565246,4.709545e-01,0.312259,3.015221e+00
(11#)67,155816,2.502854,155921,1.571229,4.655736e-01,0.312331,2.982813e+00
(11#)135/2,156007,2.496651,157061,1.577128,4.593448e-01,0.312410,2.943321e+00
(11#)68,157901,2.486203,158233,1.582844,4.515334e-01,0.312495,2.890795e+00
(11#)137/2,158419,2.533724,159389,1.588602,4.668358e-01,0.312588,3.023539e+00
(11#)69,159407,2.542242,160541,1.594256,4.666392e-01,0.312686,3.031751e+00
(11#)139/2,161659,2.491347,161683,1.599820,4.429324e-01,0.312791,2.850232e+00
(11#)70,162353,2.507294,162853,1.605380,4.458436e-01,0.312904,2.882398e+00
