FIRST,LAST,START,minAt,G(minAt),maxAt,G(maxAt),n_0,C_min(n_0),n_1,C_max(n_1),n_geom,<COUNT>,C_avg
5105100,5360354,(17#)10,5105552,27934,5135130,117466,5167067,2.597599,5105100,10.97303266,5231170,43985.739351,4.023686727
5360355,5615609,(17#)21/2,5365252,29226,5525520,123730,5572393,2.607352,5360355,10.99622825,5486498,45840.519833,4.022964162
5615610,5870864,(17#)11,5632078,30372,5705700,128356,5638274,2.605302,5615610,11.01714111,5741819,47693.788361,4.023037671
5870865,6126119,(17#)23/2,5878723,31520,5870865,139510,5878723,2.605254,5870865,11.54450968,5997134,49544.245840,4.023694375
6126120,6381374,(17#)12,6134516,32760,6276270,139620,6175451,2.603294,6126120,10.95829981,6252445,51375.976102,4.023550826
6381375,6636629,(17#)25/2,6389524,34014,6561555,152194,6634582,2.604438,6561555,11.42982677,6507751,53184.547241,4.022334722
6636630,6891884,(17#)13,6670333,35188,6846840,150564,6670333,2.604986,6636630,10.98066604,6763053,54982.861907,4.021064077
6891885,7147139,(17#)27/2,6924206,36434,7132125,156266,6924206,2.610703,6891885,10.95984173,7018352,56809.652638,4.022449893
7147140,7402394,(17#)14,7152863,37658,7147140,157576,7376626,2.610535,7147140,10.98307933,7273647,58624.778484,4.023505405
7402395,7657649,(17#)29/2,7415123,38812,7402395,168962,7515967,2.611962,7402395,11.42121537,7528940,60410.076316,4.022992598
7657650,7912904,(17#)15,7662268,39896,7657650,167464,7808617,2.611891,7657650,10.98958001,7784231,62198.203843,4.023149444
7912905,8168159,(17#)31/2,7917194,41124,7912905,177818,8143934,2.607556,7912905,11.33939488,8039519,63982.127950,4.023468173
8168160,8423414,(17#)16,8172473,42320,8273265,184600,8377064,2.615094,8273265,11.32235425,8294805,65759.060986,4.023739626
8423415,8678669,(17#)33/2,8426206,43384,8580495,188356,8527412,2.609130,8580495,11.19012985,8550090,67533.693718,4.024239679
8678670,8933924,(17#)17,8679646,44510,8843835,195128,8870593,2.615707,8843835,11.28989879,8805372,69278.150712,4.023322672
8933925,9189179,(17#)35/2,8945779,45768,9129120,193866,9121549,2.613892,8933925,10.95727078,9060653,71012.869758,4.022226405
9189180,9444434,(17#)18,9198368,46820,9414405,199054,9307022,2.615493,9189180,10.99290802,9315933,72770.960459,4.022797450
9444435,9699689,(17#)37/2,9448771,48002,9444435,207180,9601418,2.616651,9444435,11.31732022,9571211,74514.141270,4.022828740
9699690,9954944,(19#),9714053,49104,9699690,217942,9798904,2.616429,9699690,11.63043167,9826488,76247.528660,4.022633789
9954945,10210199,(17#)39/2,9968677,50192,10015005,214984,10030684,2.609830,10015005,11.15560842,10081764,77959.342172,4.021597099
10210200,10465454,(17#)20,10216519,51332,10210200,215674,10279447,2.610716,10210200,11.00376435,10337039,79685.603628,4.021589110
10465455,10720709,(17#)41/2,10509104,52470,10705695,227862,10509104,2.610205,10465455,11.24467314,10592313,81411.300566,4.021797788
10720710,10975964,(17#)21,10730206,53560,10818885,228068,10730206,2.616253,10818885,11.06039219,10847586,83120.406331,4.021425695
