START,n_0,C_min,Npred_0,Cpred_min,n_1,C_max,Npred_1,Cpred_max,n_geom,C_avg,Cpred_avg,Align,CpredAlign,CpredBound
(5#)18,548,2.031998,541,2.691301,540,7.03712751,540,7.16260023,547,3.840467645,4.056302241,1.258571,1.258571,0.000000
(5#)37/2,569,1.983900,557,2.690900,555,6.91916673,555,7.36656045,562,3.620022540,4.068752720,1.271784,1.271784,0.000000
(5#)19,577,2.245675,577,2.690424,570,7.91213209,570,7.58365556,577,3.703510300,4.031847798,1.285271,1.285271,0.000000
(5#)39/2,599,2.188595,599,2.689596,585,7.50774530,585,7.81275465,592,3.860057601,4.099204601,1.311349,1.311349,0.000000
(5#)20,601,1.910627,601,2.689887,609,7.03221547,600,7.16027293,607,3.829507820,4.044980684,1.309767,1.309767,0.000000
(5#)41/2,617,1.876316,619,2.689185,615,7.25345459,615,7.34327566,622,3.819726676,4.073582934,1.334212,1.334212,0.000000
(7#)3,631,2.111378,643,2.688718,630,7.91377219,630,8.59207809,637,3.791617010,4.065267061,1.345841,1.345841,0.000000
(5#)43/2,649,2.329513,659,2.688423,645,6.23868815,645,7.33412050,652,3.782369936,4.041705932,1.354055,1.354055,0.000000
(5#)22,661,1.788981,661,2.688684,660,7.91893649,660,7.95360276,667,3.875933936,4.124831282,1.373750,1.373750,0.000000
(5#)45/2,677,2.010889,677,2.688393,675,7.30446862,675,7.15773218,682,3.849406531,4.004487421,1.380055,1.380055,0.000000
(5#)23,697,2.216917,701,2.687975,693,7.17206434,690,7.49893355,697,3.939479803,4.111263752,1.390467,1.390467,0.000000
(5#)47/2,706,1.706515,719,2.687407,714,7.25655511,705,7.31662958,712,3.962780321,4.051920760,1.413463,1.413463,0.000000
(5#)24,734,2.135493,733,2.687452,720,6.73346279,720,7.15644784,727,3.841887122,3.998774912,1.413006,1.413006,0.000000
(7#)7/2,743,2.355865,739,2.687098,735,8.54549570,735,8.58719170,742,4.196812727,4.145238905,1.427304,1.427304,0.000000
(5#)25,751,2.338294,761,2.687024,750,7.24579438,750,7.15630777,757,3.951470508,4.033867907,1.441228,1.441228,0.000000
(5#)51/2,766,2.072834,773,2.686848,765,7.15563604,765,7.63291811,772,3.867464214,4.068979782,1.444651,1.444651,0.000000
(5#)26,788,1.806384,787,2.686405,780,7.04990800,780,7.80528485,787,3.860158173,4.059648712,1.459739,1.459739,0.000000
(5#)53/2,802,1.784236,797,2.686508,795,6.51590604,795,7.29471835,802,3.869580025,4.059630304,1.470661,1.470661,0.000000
(5#)27,821,1.976976,823,2.685928,810,6.64448411,810,7.15472752,817,3.804628348,4.048771525,1.474515,1.474515,0.000000
(5#)55/2,839,2.379710,839,2.685726,825,7.66200530,825,7.94924953,832,3.989216972,4.044591596,1.480397,1.480397,0.000000
(7#)4,841,2.159749,853,2.685775,840,8.20414590,840,8.58407866,847,3.938706151,4.088456198,1.500223,1.500223,0.000000
(5#)57/2,859,1.914982,859,2.685482,855,7.47170017,855,7.57379415,862,3.918842651,4.101293412,1.502657,1.502657,0.000000
(5#)29,883,2.295458,883,2.685200,870,7.79339087,870,7.41823750,877,4.052500582,4.058916009,1.508554,1.508554,0.000000
(5#)59/2,886,2.287381,887,2.685154,885,7.91710221,885,7.27842450,892,3.949772972,4.033426486,1.517612,1.517612,0.000000
(5#)30,904,2.050129,911,2.684886,900,6.78664426,900,7.15208551,907,3.780000887,4.064786978,1.526182,1.526182,0.000000
(5#)61/2,919,1.825774,919,2.684799,915,6.91869875,915,7.27296264,922,3.763694936,4.053397612,1.526170,1.526170,0.000000
(5#)31,943,1.991920,941,2.684762,930,6.63119009,930,7.39862282,937,3.707657468,4.022543427,1.541987,1.541987,0.000000
(7#)9/2,958,2.164457,953,2.684635,945,7.55793189,945,8.58200080,952,3.745684025,4.124528939,1.550255,1.550255,0.000000
(5#)32,967,1.761041,971,2.684260,960,7.07321591,960,7.15088425,967,3.873249109,4.045980643,1.547134,1.547134,0.000000
(5#)65/2,982,1.933461,977,2.684389,975,7.58665247,975,7.80062493,982,3.779939666,4.087387381,1.555502,1.555502,0.000000
(5#)33,997,2.106150,997,2.684190,990,7.49719194,990,7.94534790,997,3.802745832,4.028534520,1.566537,1.566537,0.000000
(5#)67/2,1009,1.898450,1019,2.683801,1005,6.85377083,1005,7.26051298,1012,3.775321640,4.035938687,1.568983,1.568983,0.000000
(5#)34,1024,2.252124,1024,2.681141,1020,7.33980895,1020,7.62643108,1027,3.986142026,4.091310305,1.570699,1.570699,0.000000
(5#)69/2,1048,2.030676,1039,2.683619,1035,7.08454356,1035,7.48994347,1042,3.809637589,4.013576344,1.584136,1.584136,0.000000
(7#)5,1063,2.195023,1063,2.683407,1050,8.66474534,1050,8.57966186,1057,4.027402448,4.107318004,1.592998,1.592998,0.000000
(5#)71/2,1072,2.361462,1069,2.683525,1071,6.91378853,1065,7.25304850,1072,4.035681771,4.072007053,1.587238,1.587238,0.000000
(5#)36,1094,2.506504,1093,2.683318,1092,7.70861537,1080,7.14875727,1087,4.127242638,4.072164836,1.600057,1.600057,0.000000
(5#)73/2,1109,1.952088,1097,2.683284,1095,6.98422798,1095,7.24917329,1102,3.945217175,4.013617643,1.607070,1.607070,0.000000
(5#)37,1123,2.110511,1123,2.682909,1110,7.44190976,1110,7.35295362,1117,4.106924269,4.093406572,1.606009,1.606009,0.000000
(5#)75/2,1126,2.104611,1129,2.683020,1125,6.85042475,1125,7.14844049,1132,4.009979435,4.029500575,1.610223,1.610223,0.000000
(5#)38,1147,2.252003,1153,2.682829,1140,7.12745061,1140,7.56826738,1147,3.914327530,3.986986642,1.622184,1.622184,0.000000
(11#)/2,1244,2.122683,1259,2.681915,1155,9.13559580,1155,9.53007910,1206,3.934787166,4.066096303,1.625679,1.625679,0.000000
(7#)6,1319,1.723241,1361,2.681396,1260,8.73658664,1260,8.57531312,1311,3.861564000,4.056123221,1.655292,1.655292,0.000000
(7#)13/2,1402,1.647631,1459,2.680712,1365,8.55809036,1365,9.35356312,1416,3.893629533,4.058655761,1.679097,1.679097,0.000000
(7#)7,1489,1.865276,1571,2.680140,1470,7.81539530,1470,8.57264344,1521,3.844801073,4.057023369,1.701643,1.701643,0.000000
(7#)15/2,1676,2.104753,1669,2.679787,1575,8.53964513,1575,8.57093822,1626,3.994843238,4.057375302,1.722270,1.722270,0.000000
(7#)8,1774,2.019039,1783,2.679205,1680,8.40436284,1680,8.56975153,1731,3.840675899,4.054329069,1.744018,1.744018,0.000000
