START,n_0,C_min,Npred_0,Cbound,Lambda_min,Jitter,JitterRatio
(11#)175/2,203128,2.520731,203279,0.841306,1.097349e+00,0.026520,6.332673e+01
(11#)88,203417,2.508934,204431,0.848864,1.083714e+00,0.026381,6.292673e+01
(11#)177/2,204928,2.464243,205589,0.855485,1.057971e+00,0.026269,6.124169e+01
(11#)89,205924,2.529874,206699,0.862970,1.075545e+00,0.026145,6.375613e+01
(11#)179/2,206984,2.513240,207877,0.870320,1.060467e+00,0.026023,6.313338e+01
(11#)90,208129,2.513207,209039,0.876943,1.052873e+00,0.025898,6.318110e+01
(11#)181/2,209362,2.520880,210209,0.883934,1.047981e+00,0.025782,6.349182e+01
(13#)7,210557,2.506060,211349,0.891078,1.034035e+00,0.025664,6.292791e+01
(11#)183/2,211459,2.494267,212507,0.898137,1.021428e+00,0.025546,6.248062e+01
(11#)92,212644,2.547725,213659,0.904230,1.035872e+00,0.025430,6.462820e+01
(11#)185/2,213784,2.541986,214817,0.911189,1.025951e+00,0.025315,6.442019e+01
(11#)93,215854,2.563496,215983,0.918016,1.026912e+00,0.025201,6.529423e+01
(11#)187/2,216917,2.525146,217121,0.924921,1.004346e+00,0.025087,6.378702e+01
(11#)94,217697,2.481485,218287,0.930756,9.806153e-01,0.024975,6.209125e+01
(11#)189/2,219311,2.546183,219437,0.937447,9.991904e-01,0.024865,6.469881e+01
(11#)95,220453,2.532386,220589,0.943934,9.868610e-01,0.024756,6.416432e+01
(11#)191/2,221332,2.526687,221747,0.950524,9.776508e-01,0.024647,6.394949e+01
(11#)96,222634,2.538822,222913,0.956601,9.760691e-01,0.024532,6.449621e+01
(11#)193/2,223469,2.547178,224069,0.962508,9.731990e-01,0.024433,6.485777e+01
(11#)97,225002,2.551522,225223,0.968851,9.683345e-01,0.024328,6.505553e+01
(13#)15/2,225892,2.548480,226379,0.975158,9.606529e-01,0.024223,6.495157e+01
(11#)98,227251,2.549104,227533,0.981392,9.545252e-01,0.024120,6.499635e+01
(11#)197/2,228097,2.525164,228677,0.986703,9.396922e-01,0.024017,6.405717e+01
(11#)99,229234,2.519971,229841,0.992872,9.314009e-01,0.023915,6.385528e+01
(11#)199/2,230848,2.518411,230999,0.998900,9.247288e-01,0.023815,6.380479e+01
(11#)100,231643,2.524351,232153,1.004908,9.210880e-01,0.023715,6.407097e+01
(11#)201/2,232189,2.532524,233297,1.010954,9.183220e-01,0.023615,6.443235e+01
(11#)101,233978,2.534564,234463,1.015942,9.142054e-01,0.023518,6.457275e+01
(11#)203/2,235028,2.506846,235607,1.021765,8.974939e-01,0.024676,6.018321e+01
(11#)102,236092,2.538865,236773,1.027558,9.045320e-01,0.024575,6.149774e+01
(11#)205/2,237883,2.566648,237929,1.033321,9.098229e-01,0.024474,6.265126e+01
(11#)103,238892,2.539570,239081,1.039033,8.937043e-01,0.024374,6.156302e+01
(11#)207/2,239857,2.497741,240209,1.044035,8.722937e-01,0.024272,5.989230e+01
(13#)8,241393,2.514952,241393,1.049412,8.740237e-01,0.024178,6.061461e+01
(11#)209/2,242119,2.534017,242533,1.055062,8.762063e-01,0.024079,6.142095e+01
(11#)105,243043,2.536059,243703,1.060431,8.719359e-01,0.023984,6.152552e+01
(11#)211/2,243736,2.522425,244859,1.065884,8.614162e-01,0.023889,6.097120e+01
(11#)106,245587,2.544113,246011,1.071279,8.649288e-01,0.023795,6.189679e+01
(11#)213/2,246518,2.561050,247141,1.075806,8.673472e-01,0.023701,6.266588e+01
(11#)107,247868,2.534405,248323,1.081173,8.519123e-01,0.023607,6.155937e+01
(11#)215/2,248867,2.548208,249463,1.086474,8.524528e-01,0.023514,6.216441e+01
(11#)108,249512,2.527815,250619,1.091673,8.396439e-01,0.023423,6.131332e+01
(11#)217/2,251081,2.534266,251789,1.096799,8.375081e-01,0.023333,6.160661e+01
(11#)109,252071,2.523456,252937,1.101891,8.286016e-01,0.023244,6.115836e+01
(11#)219/2,253741,2.514393,254083,1.106502,8.208277e-01,0.023150,6.081603e+01
(11#)110,255214,2.528919,255253,1.111227,8.223271e-01,0.023066,6.146241e+01
(17#)/2,259801,2.503359,270269,1.116222,8.076837e-01,0.022979,6.036542e+01
(13#)9,272794,2.510783,285283,1.176648,7.579249e-01,0.021893,6.093888e+01
(13#)19/2,285424,2.505523,300299,1.230654,7.109518e-01,0.022050,5.781719e+01
(13#)10,303904,2.513081,315313,1.280173,6.745143e-01,0.021118,5.838185e+01
(13#)21/2,324223,2.512902,330329,1.325887,6.393566e-01,0.020269,5.856308e+01
(13#)11,340261,2.521429,345329,1.367580,6.117830e-01,0.019491,5.919907e+01
(13#)23/2,354971,2.521369,360337,1.405915,5.841137e-01,0.019780,5.639302e+01
(13#)12,366794,2.499164,375373,1.441203,5.504781e-01,0.019083,5.543997e+01
(13#)25/2,386068,2.523716,390389,1.474440,5.374542e-01,0.018436,5.691452e+01
(13#)13,401509,2.524416,405401,1.505182,5.170959e-01,0.017836,5.714476e+01
(13#)27/2,414448,2.520611,420419,1.533789,4.967602e-01,0.018202,5.421503e+01
(13#)14,431146,2.523703,435427,1.560436,4.807620e-01,0.017651,5.457294e+01
(13#)29/2,448444,2.521152,450431,1.585697,4.636919e-01,0.017129,5.461235e+01
(13#)15,463549,2.513127,465463,1.609158,4.458167e-01,0.016650,5.429243e+01
