START,n_0,C_min,Npred_0,CpredAlign,Lambda_min,Jitter,JitterRatio,Status
(13#)152,4568336,2.615511,4579567,2.621413,-2.253996e-03,0.036011,-1.638944e-01,OUTLIER
(13#)305/2,4593406,2.608216,4594589,2.621497,-5.079066e-03,0.035924,-3.696971e-01,OUTLIER
(17#)9,4602932,2.612112,4609597,2.621580,-3.618100e-03,0.035837,-2.641962e-01,OUTLIER
(13#)307/2,4621748,2.615499,4624603,2.621662,-2.353566e-03,0.035750,-1.723916e-01,OUTLIER
(13#)154,4638149,2.615785,4639633,2.621744,-2.275502e-03,0.035664,-1.670873e-01,OUTLIER
(13#)309/2,4642907,2.600257,4654649,2.621826,-8.260735e-03,0.035579,-6.062284e-01,OUTLIER
(13#)155,4657141,2.599418,4669627,2.621907,-8.614342e-03,0.035494,-6.336000e-01,OUTLIER
(13#)311/2,4674077,2.610601,4684661,2.621988,-4.352346e-03,0.035410,-3.215758e-01,OUTLIER
(13#)156,4687861,2.607950,4699691,2.622068,-5.398847e-03,0.035326,-3.996490e-01,OUTLIER
(13#)313/2,4710718,2.609368,4714691,2.622147,-4.885401e-03,0.035242,-3.626071e-01,OUTLIER
(13#)157,4729297,2.607043,4729693,2.622227,-5.807328e-03,0.035159,-4.318667e-01,OUTLIER
(13#)315/2,4734448,2.611760,4744711,2.622305,-4.029378e-03,0.035077,-3.006243e-01,OUTLIER
(13#)158,4749676,2.609849,4759753,2.622384,-4.791462e-03,0.034995,-3.581940e-01,OUTLIER
(13#)317/2,4765841,2.612665,4774769,2.622462,-3.742798e-03,0.034913,-2.806118e-01,OUTLIER
(13#)159,4785362,2.612487,4789783,2.622539,-3.840291e-03,0.034832,-2.885852e-01,OUTLIER
(13#)319/2,4792159,2.588525,4804799,2.622616,-1.308408e-02,0.034752,-9.809795e-01,OUTLIER
(13#)160,4818013,2.609266,4819813,2.622692,-5.132315e-03,0.034672,-3.872289e-01,OUTLIER
(13#)321/2,4824811,2.601355,4834829,2.622768,-8.197786e-03,0.034592,-6.190160e-01,OUTLIER
(13#)161,4837909,2.605804,4849843,2.622844,-6.517960e-03,0.034513,-4.937270e-01,OUTLIER
(19#)/2,4918721,2.600756,5105063,2.622919,-8.485648e-03,0.034434,-6.436371e-01,OUTLIER
(17#)10,5167067,2.597599,5360353,2.624134,-1.016338e-02,0.033159,-8.002352e-01,OUTLIER
(17#)21/2,5572393,2.607352,5615609,2.625242,-6.837935e-03,0.031995,-5.591499e-01,OUTLIER
(17#)11,5638274,2.605302,5870857,2.626257,-8.011039e-03,0.030927,-6.775633e-01,OUTLIER
(17#)23/2,5878723,2.605254,6126091,2.627189,-8.384278e-03,0.029944,-7.325341e-01,OUTLIER
(17#)12,6175451,2.603294,6381371,2.628050,-9.464560e-03,0.029036,-8.525968e-01,OUTLIER
(17#)25/2,6634582,2.604438,6636611,2.628846,-9.328054e-03,0.028194,-8.657161e-01,OUTLIER
(17#)13,6670333,2.604986,6891883,2.629585,-9.398738e-03,0.027410,-8.974462e-01,OUTLIER
(17#)27/2,6924206,2.610703,7147139,2.630274,-7.468490e-03,0.026680,-7.335457e-01,OUTLIER
(17#)14,7376626,2.610535,7402363,2.630916,-7.776893e-03,0.025997,-7.839751e-01,OUTLIER
