START,n_0,C_min,Npred_0,CpredAlign,Lambda_min,Jitter,JitterRatio,Status
(7#)26,5557,2.301782,5563,1.555827,3.916764e-01,1.310773,5.690955e-01,EXPECTED
(7#)53/2,5596,2.182571,5669,1.567497,3.310235e-01,1.299653,4.732602e-01,EXPECTED
(7#)27,5728,2.248387,5749,1.579011,3.534144e-01,1.285293,5.207964e-01,EXPECTED
(11#)5/2,5857,2.159168,5879,1.596508,3.019042e-01,1.272624,4.421259e-01,EXPECTED
(7#)28,5906,2.349289,5981,1.617918,3.729726e-01,1.255490,5.825383e-01,EXPECTED
(7#)57/2,6038,2.309643,6089,1.610027,3.608420e-01,1.253055,5.583282e-01,EXPECTED
(7#)29,6131,2.233345,6173,1.625918,3.174279e-01,1.242652,4.888151e-01,EXPECTED
(7#)59/2,6218,2.356115,6299,1.630288,3.682574e-01,1.231259,5.894999e-01,EXPECTED
(7#)30,6353,2.124621,6397,1.642539,2.573502e-01,1.221197,3.947619e-01,EXPECTED
(7#)61/2,6421,2.298798,6469,1.655232,3.284452e-01,1.208283,5.326285e-01,EXPECTED
(7#)31,6568,2.399779,6607,1.668935,3.631910e-01,1.198831,6.096305e-01,EXPECTED
(7#)63/2,6719,2.265862,6719,1.673071,3.032944e-01,1.188717,4.986814e-01,EXPECTED
(7#)32,6791,2.430712,6823,1.702832,3.558915e-01,1.178005,6.178921e-01,EXPECTED
(7#)65/2,6863,2.365471,6917,1.691869,3.351433e-01,1.169535,5.759571e-01,EXPECTED
(11#)3,7024,2.323062,7027,1.700169,3.121585e-01,1.163078,5.355557e-01,EXPECTED
(7#)67/2,7108,2.390305,7129,1.742832,3.159096e-01,1.147420,5.642860e-01,EXPECTED
(7#)34,7219,2.055910,7243,1.718126,1.794844e-01,1.145817,2.947975e-01,EXPECTED
(7#)69/2,7246,2.136908,7349,1.732743,2.096542e-01,1.137918,3.551794e-01,EXPECTED
(7#)35,7351,2.199762,7451,1.768798,2.180490e-01,1.130510,3.812120e-01,EXPECTED
(7#)71/2,7522,2.372402,7559,1.742943,3.083279e-01,1.121927,5.610517e-01,EXPECTED
(7#)36,7561,2.321013,7649,1.747163,2.840104e-01,1.113857,5.151918e-01,EXPECTED
(7#)73/2,7727,2.199214,7759,1.755798,2.251766e-01,1.103907,4.016788e-01,EXPECTED
(7#)37,7846,2.336977,7873,1.770506,2.775928e-01,1.096935,5.164125e-01,EXPECTED
(7#)75/2,7951,2.232082,7963,1.768965,2.325402e-01,1.089506,4.250706e-01,EXPECTED
(7#)38,8062,2.328303,8081,1.778847,2.691743e-01,1.079359,5.090577e-01,EXPECTED
(11#)7/2,8116,2.236375,8179,1.787188,2.242128e-01,1.077908,4.167211e-01,EXPECTED
(7#)39,8224,2.292547,8192,1.791546,2.465845e-01,1.066052,4.699593e-01,EXPECTED
(7#)79/2,8311,2.234912,8389,1.799731,2.165646e-01,1.064815,4.086917e-01,EXPECTED
(7#)40,8429,2.249292,8501,1.808013,2.183870e-01,1.055342,4.181384e-01,EXPECTED
(7#)81/2,8599,2.329117,8609,1.807168,2.537282e-01,1.051988,4.961549e-01,EXPECTED
(7#)41,8614,2.287560,8713,1.812513,2.327715e-01,1.045128,4.545348e-01,EXPECTED
(7#)83/2,8777,2.179478,8819,1.817242,1.817654e-01,1.039985,3.483089e-01,EXPECTED
(7#)42,8839,2.279660,8923,1.831213,2.190477e-01,1.032029,4.345295e-01,EXPECTED
(7#)85/2,9014,2.281605,9029,1.834283,2.182255e-01,1.027118,4.355118e-01,EXPECTED
(7#)43,9091,2.412999,9133,1.894872,2.417191e-01,1.021573,5.071855e-01,EXPECTED
(7#)87/2,9173,2.323530,9239,1.847577,2.292125e-01,1.012681,4.699930e-01,EXPECTED
(11#)4,9283,2.301998,9343,1.856456,2.151081e-01,1.011680,4.403981e-01,EXPECTED
(7#)89/2,9349,2.396602,9439,1.851212,2.582113e-01,1.006591,5.418189e-01,EXPECTED
(7#)45,9511,2.294051,9551,1.864000,2.075945e-01,1.001152,4.295562e-01,EXPECTED
(7#)91/2,9649,2.163663,9649,1.864692,1.487067e-01,0.995317,3.003777e-01,EXPECTED
(7#)46,9748,2.284701,9749,1.869444,2.005941e-01,0.991025,4.190177e-01,EXPECTED
(7#)93/2,9817,2.375649,9829,1.873569,2.374255e-01,0.982923,5.108030e-01,EXPECTED
(7#)47,9941,2.284239,9973,1.877685,1.959933e-01,0.981256,4.143200e-01,EXPECTED
(7#)95/2,10078,2.360845,10079,1.880368,2.275521e-01,0.975870,4.923576e-01,EXPECTED
(7#)48,10174,2.343381,10181,1.898482,2.105401e-01,0.968228,4.594982e-01,EXPECTED
