FIRST,LAST,START,minAt*,Gpred(minAt*),maxAt*,Gpred(maxAt*),n_0*,Cpred_min(n_0*),n_1*,Cpred_max(n_1*),n_geom,<COUNT>*,Cpred_avg,n_v,Calign_min(n_v),n_u,Calign_max(n_u),n_a,CboundMin(n_a),n_b,CboundMax(n_b),jitter
720,734,(5#)24,727,22.110,720,59.518,733,2.687452,720,7.15644784,727,33.446359,3.998774912,727,1.687606,720,8.16011759,734,0.000000,720,10.37990397,0.999676
735,749,(7#)7/2,739,22.364,735,72.351,739,2.687098,735,8.58719170,742,35.161255,4.145238905,739,1.696083,735,9.58106840,746,0.000000,735,11.78494420,0.991015
750,764,(5#)25,751,22.616,750,61.234,761,2.687024,750,7.15630777,757,34.709504,4.033867907,751,1.704342,750,8.13848871,764,0.000000,750,10.32286838,0.982576
765,779,(5#)51/2,766,22.991,765,66.135,773,2.686848,765,7.63291811,772,35.488638,4.068979782,769,1.716589,765,8.60591918,779,0.000000,765,10.77541885,0.970317
780,794,(5#)26,787,23.369,780,68.643,787,2.686405,780,7.80528485,787,35.891391,4.059648712,787,1.727895,780,8.76731164,794,0.000000,780,10.91854819,0.958510
795,809,(5#)53/2,797,23.576,795,64.932,797,2.686508,795,7.29471835,802,36.364520,4.059630304,797,1.734371,795,8.24811943,809,0.000000,795,10.38540774,0.952137
810,824,(5#)27,811,23.866,810,64.608,823,2.685928,810,7.15472752,817,36.748379,4.048771525,811,1.742656,810,8.09780728,824,0.000000,810,10.21794902,0.943427
825,839,(5#)55/2,827,24.195,825,72.624,839,2.685726,825,7.94924953,832,37.174902,4.044591596,827,1.752111,825,8.88420627,839,0.000000,825,10.99124531,0.933766
840,854,(7#)4,842,24.561,840,79.520,853,2.685775,840,8.58407866,847,38.060241,4.088456198,842,1.765059,840,9.50930718,853,0.000000,840,11.60021443,0.924075
855,869,(5#)57/2,857,24.809,855,70.956,859,2.685482,855,7.57379415,862,38.651483,4.101293412,857,1.769286,855,8.49135725,866,0.000000,855,10.56993175,0.916439
