START,n_geom,C_avg,Cpred_avg,Lambda_avg
11PR37,86045,4.012185,4.035446,-5.780798e-03
11PR75D2,87200,4.016880,4.034635,-4.410405e-03
11PR38,88355,4.017290,4.035525,-4.528999e-03
11PR77D2,89510,4.013390,4.034307,-5.198273e-03
13PR3,90665,4.019602,4.035561,-3.962519e-03
11PR79D2,91820,4.027853,4.035248,-1.834327e-03
11PR40,92975,4.027672,4.034578,-1.713225e-03
11PR81D2,94130,4.033261,4.034928,-4.130349e-04
11PR41,95285,4.031047,4.034734,-9.143353e-04
11PR83D2,96440,4.023644,4.035467,-2.934021e-03
11PR42,97595,4.022244,4.033881,-2.889039e-03
11PR85D2,98750,4.019603,4.034575,-3.717885e-03
11PR43,99905,4.024129,4.034623,-2.604224e-03
11PR87D2,101060,4.027807,4.034969,-1.776602e-03
11PR44,102215,4.036172,4.034648,3.777287e-04
11PR89D2,103370,4.031097,4.034702,-8.939256e-04
11PR45,104525,4.026614,4.033949,-1.820000e-03
13PR7D2,105680,4.026356,4.034487,-2.017442e-03
11PR46,106835,4.024832,4.034637,-2.433065e-03
11PR93D2,107990,4.023421,4.034515,-2.753563e-03
11PR47,109145,4.024285,4.034399,-2.510128e-03
11PR95D2,110300,4.018552,4.034581,-3.981027e-03
11PR48,111456,4.018080,4.034015,-3.957977e-03
11PR97D2,112611,4.008850,4.034541,-6.387976e-03
11PR49,113766,4.007609,4.034206,-6.614867e-03
11PR99D2,114921,4.008934,4.034086,-6.254562e-03
11PR50,116076,4.006627,4.034341,-6.893168e-03
11PR101D2,117231,4.001487,4.033813,-8.045990e-03
11PR51,118386,4.004457,4.034577,-7.493531e-03
11PR103D2,119541,4.004474,4.033521,-7.227469e-03
13PR4,120696,4.012186,4.034111,-5.449742e-03
11PR105D2,121851,4.010717,4.034303,-5.863486e-03
11PR53,123006,4.013154,4.033959,-5.170759e-03
11PR107D2,124161,4.019512,4.033839,-3.558075e-03
11PR54,125316,4.024609,4.034170,-2.373055e-03
11PR109D2,126471,4.024588,4.033846,-2.297729e-03
11PR55,127626,4.016761,4.033557,-4.172772e-03
11PR111D2,128781,4.025668,4.033824,-2.023914e-03
11PR56,129936,4.027098,4.034218,-1.766380e-03
11PR113D2,131091,4.022806,4.033607,-2.681401e-03
11PR57,132246,4.023545,4.033795,-2.544288e-03
11PR115D2,133401,4.024300,4.034026,-2.413844e-03
11PR58,134556,4.021612,4.033125,-2.858748e-03
13PR9D2,135711,4.017535,4.034142,-4.125005e-03
11PR59,136866,4.015958,4.033056,-4.248493e-03
11PR119D2,138021,4.020978,4.034019,-3.238125e-03
11PR60,139176,4.029398,4.033958,-1.131062e-03
11PR121D2,140331,4.036050,4.033477,6.376892e-04
11PR61,141486,4.031334,4.033139,-4.476471e-04
11PR123D2,142641,4.027764,4.033546,-1.434472e-03
11PR62,143796,4.023193,4.033577,-2.577780e-03
11PR125D2,144951,4.017469,4.033908,-4.083552e-03
11PR63,146106,4.018640,4.033360,-3.656041e-03
11PR127D2,147261,4.024243,4.033382,-2.268535e-03
