n,ratio,c_pred,baseline,c_meas,lambda,status
3076803,0.98531791,5.80619083,0.17174163,5.72094384,-0.01479093,EXPECTED
3092322,0.98392694,5.50842304,0.17133322,5.41988584,-0.01620363,EXPECTED
3100617,0.98192068,5.97036807,0.17111653,5.86242791,-0.01824474,EXPECTED
3110868,0.98366520,5.48668344,0.17085017,5.39705957,-0.01646968,EXPECTED
3133923,0.98144257,6.03230562,0.17025718,5.92036153,-0.01873178,EXPECTED
3138603,0.98278018,6.24701762,0.17013780,6.13944513,-0.01736980,EXPECTED
3163581,0.98468500,6.54204612,0.16950622,6.44185471,-0.01543348,EXPECTED
3176211,0.98204390,5.86387268,0.16919041,5.75858041,-0.01811926,EXPECTED
3187143,0.98519689,6.01141009,0.16891896,5.92242253,-0.01491377,EXPECTED
3202647,0.98275955,7.00709875,0.20224435,6.88629323,-0.01739079,EXPECTED
3226428,0.98275179,5.97264898,0.16795768,5.86963150,-0.01739869,EXPECTED
3235503,0.98324318,5.52290425,0.16773877,5.43035792,-0.01689881,EXPECTED
3257493,0.98342384,5.79565528,0.16721302,5.69958560,-0.01671508,EXPECTED
3259731,0.98282661,5.49665920,0.16715988,5.40226295,-0.01732256,EXPECTED
3281463,0.98339599,5.48230196,0.16664747,5.39127376,-0.01674340,EXPECTED
3298572,0.98351874,5.57861960,0.16624850,5.48667690,-0.01661859,EXPECTED
3308994,0.98319947,6.07336217,0.16600738,5.97132645,-0.01694326,EXPECTED
3323112,0.98452922,5.96507368,0.16568304,5.87278934,-0.01559170,EXPECTED
3335973,0.98528037,5.48099411,0.16538985,5.40031591,-0.01482904,EXPECTED
3358836,0.98297884,5.96449947,0.16487379,5.86297675,-0.01716769,EXPECTED
3376542,0.98313046,6.05490550,0.16447869,5.95276203,-0.01701345,EXPECTED
3391329,0.98409792,5.79248543,0.16415174,5.70037285,-0.01602988,EXPECTED
3404697,0.98369026,5.60926184,0.16385844,5.51777622,-0.01644421,EXPECTED
3413916,0.98620536,6.28304599,0.18184157,6.19637363,-0.01389067,EXPECTED
3435081,0.98279282,5.96202327,0.16319984,5.85943364,-0.01735695,EXPECTED
3447723,0.98270771,5.94116918,0.16292905,5.83843274,-0.01744355,EXPECTED
3464358,0.98428333,5.50797581,0.16257555,5.42140877,-0.01584149,EXPECTED
3483468,0.98434344,5.47772196,0.16217343,5.39195970,-0.01578041,EXPECTED
3484878,0.98472500,5.47764573,0.16214392,5.39397467,-0.01539287,EXPECTED
3503607,0.98397070,5.47723827,0.16175418,5.38944199,-0.01615916,EXPECTED
3514761,0.98322737,5.51519882,0.16152392,5.42269443,-0.01691488,EXPECTED
3535134,0.98474069,5.47657368,0.16110689,5.39300495,-0.01537693,EXPECTED
3551193,0.98524154,5.47624162,0.16078141,5.39542075,-0.01486844,EXPECTED
3559368,0.98675119,5.60728242,0.16061675,5.53299259,-0.01333736,EXPECTED
3574062,0.98275676,5.85216586,0.16032264,5.75125555,-0.01739364,EXPECTED
3595644,0.98606572,5.98826754,0.15989480,5.90482535,-0.01403227,EXPECTED
3612993,0.98351536,5.82939960,0.15955442,5.73330404,-0.01662203,EXPECTED
3627468,0.98513647,6.25214354,0.15927276,6.15921465,-0.01497509,EXPECTED
3643644,0.98501300,5.95713170,0.15896055,5.86785217,-0.01510044,EXPECTED
3653691,0.98582055,6.02655242,0.15876798,5.94109922,-0.01428094,EXPECTED
3676734,0.98518455,5.84923940,0.15833003,5.76258030,-0.01492629,EXPECTED
3688533,0.98433770,5.81459454,0.15810784,5.72352464,-0.01578625,EXPECTED
3701178,0.98666638,5.95679754,0.15787117,5.87737186,-0.01342331,EXPECTED
3714633,0.98340718,6.30832483,0.15762108,6.20365194,-0.01673202,EXPECTED
3728349,0.98341322,5.57824669,0.15736789,5.48572154,-0.01672588,EXPECTED
3749169,0.98445568,5.48389148,0.15698694,5.39864809,-0.01566640,EXPECTED
3761187,0.98348761,5.47208065,0.15676888,5.38172350,-0.01665024,EXPECTED
3780477,0.98392013,5.82629937,0.15642165,5.73261326,-0.01621055,EXPECTED
3794379,0.98656563,5.78213895,0.15617351,5.70445958,-0.01352542,EXPECTED
3802071,0.98388868,7.56481473,0.18724435,7.44293558,-0.01624252,EXPECTED
3827907,0.98463299,5.89986280,0.15558215,5.80919954,-0.01548631,EXPECTED
3832803,0.98336952,6.64008883,0.15549663,6.52966096,-0.01677032,EXPECTED
3854007,0.98382636,5.49879239,0.15512865,5.40985692,-0.01630586,EXPECTED
3864414,0.98458544,5.87446315,0.15494943,5.78391089,-0.01553460,EXPECTED
3885888,0.98346879,5.63170667,0.15458261,5.53860777,-0.01666937,EXPECTED
3901521,0.98233718,6.04095514,0.15431802,5.93425482,-0.01782067,EXPECTED
3917667,0.98660924,6.72403321,0.15404687,6.63399331,-0.01348122,EXPECTED
3922098,0.98290003,5.80023501,0.15397281,5.70105115,-0.01724786,EXPECTED
3936972,0.98408219,5.95235269,0.15372545,5.85760429,-0.01604586,EXPECTED
3951276,0.98434570,6.99008957,0.18418711,6.88066463,-0.01577812,EXPECTED
3974859,0.98416403,6.56223714,0.18372415,6.45831772,-0.01596270,EXPECTED
3991248,0.98476598,5.46857821,0.15283790,5.38526977,-0.01535125,EXPECTED
4005261,0.98476565,5.95147336,0.15261255,5.86080654,-0.01535158,EXPECTED
4014639,0.98554621,5.48871531,0.15246257,5.40938254,-0.01455927,EXPECTED
4038627,0.98389827,5.76488447,0.15208200,5.67205988,-0.01623277,EXPECTED
4048197,0.98424286,6.26781149,0.15193139,6.16904871,-0.01588260,EXPECTED
4056438,0.98517677,5.82141274,0.15180222,5.73512063,-0.01493419,EXPECTED
4081086,0.98457216,5.77965606,0.15141898,5.69048844,-0.01554809,EXPECTED
4092351,0.98469325,5.47706568,0.15124534,5.39322962,-0.01542510,EXPECTED
4105812,0.98360422,5.72406130,0.15103901,5.63021085,-0.01653168,EXPECTED
4126971,0.98497844,6.15504712,0.15071738,6.06258871,-0.01513553,EXPECTED
4132128,0.98417469,8.12044278,0.20085260,7.99193422,-0.01595187,EXPECTED
4151982,0.98486571,5.46541967,0.15034126,5.38270442,-0.01524998,EXPECTED
4168533,0.98379906,5.46515989,0.15009481,5.37661916,-0.01633361,EXPECTED
4175478,0.98492788,6.00006202,0.14999193,5.90962835,-0.01518686,EXPECTED
4197258,0.98733383,5.95081458,0.14967152,5.87544058,-0.01274707,EXPECTED
4205871,0.98456193,5.46461987,0.14954572,5.38025667,-0.01555848,EXPECTED
4221117,0.98441702,5.95458366,0.14932423,5.86179352,-0.01570567,EXPECTED
4239351,0.98444673,5.46411644,0.14906138,5.37913158,-0.01567549,EXPECTED
4255407,0.98482696,6.11876901,0.14883174,6.02592870,-0.01528932,EXPECTED
