START,n_0,C_min,Npred_0,Cpred_min,n_1,C_max,Npred_1,Cpred_max,n_geom,C_avg,Cpred_avg,Align,CpredAlign
(7#)38,8062,2.328303,8081,2.671080,7980,8.86151069,7980,9.04923277,8032,3.952135799,4.044502207,37.250624,1.924769
(11#)7/2,8116,2.236375,8179,2.671014,8085,9.49404748,8085,9.49598970,8137,3.953392684,4.049992879,37.430180,1.928104
(7#)39,8224,2.292547,8192,2.670682,8190,9.19979531,8190,9.32316868,8242,3.956252054,4.047966477,37.453908,1.928219
(7#)79/2,8311,2.234912,8389,2.670927,8295,8.67819577,8295,8.65701829,8347,3.967198155,4.046722956,37.810928,1.935123
(7#)40,8429,2.249292,8501,2.670873,8400,8.39818911,8400,8.54588363,8452,4.005787699,4.043474147,38.011812,1.938760
(7#)81/2,8599,2.329117,8609,2.670822,8505,8.54937189,8580,8.63195161,8557,3.959131350,4.040917770,38.204124,1.942207
(7#)41,8614,2.287560,8713,2.670774,8610,8.81029329,8610,8.76475917,8662,4.000404972,4.047362969,38.388039,1.945472
(7#)83/2,8777,2.179478,8819,2.670711,8715,8.50173807,8715,8.65094459,8767,4.001008602,4.045431747,38.574232,1.948730
(7#)42,8839,2.279660,8923,2.670664,8820,8.72119273,8820,8.54530676,8872,4.004900535,4.041985082,38.755697,1.951890
(7#)85/2,9014,2.281605,9029,2.670632,8925,9.64346441,8925,9.11489376,8977,4.002710432,4.049625901,38.939438,1.955074
(7#)43,9091,2.412999,9133,2.670587,9030,8.34206329,9030,8.75349434,9082,3.981217473,4.041709010,39.118541,1.958135
(7#)87/2,9173,2.323530,9239,2.670527,9135,8.48656720,9135,8.86137132,9187,4.001247760,4.042164105,39.299919,1.961192
(11#)4,9283,2.301998,9343,2.670483,9240,9.63749652,9240,9.49418124,9292,4.012813331,4.047578074,39.476745,1.964159
(7#)89/2,9349,2.396602,9439,2.670444,9345,8.48036675,9345,8.64288941,9397,4.007555190,4.046222119,39.638994,1.966860
(7#)45,9511,2.294051,9551,2.670398,9450,8.61855486,9450,8.54454716,9502,3.954109250,4.041121674,39.827121,1.969962
(7#)91/2,9649,2.163663,9649,2.670372,9555,9.35414843,9555,9.32113413,9607,3.959602402,4.048388920,39.990723,1.972650
(7#)46,9748,2.284701,9749,2.670332,9660,8.92495168,9660,8.95111839,9712,3.979256928,4.041809570,40.156707,1.975342
(7#)93/2,9817,2.375649,9859,2.670275,9765,8.57412318,9765,8.83879237,9817,4.001682188,4.050950422,40.338193,1.978245
(7#)47,9941,2.284239,9973,2.670244,9870,8.74177224,9870,8.73391281,9922,3.985420147,4.036520377,40.525087,1.981236
