FIRST,LAST,START,minAt*,Gpred(minAt*),maxAt*,Gpred(maxAt*),n_0*,Cpred_min(n_0*),n_1*,Cpred_max(n_1*),n_geom,<COUNT>*,Cpred_avg,n_alignMax,c_alignMax,n_alignMin,c_alignMin,n_cBound,c_cBound
3150,3254,(7#)15,3158,65.091,3150,207.764,3253,2.675448,3150,8.55930633,3202,99.490401,4.049743583,3254,24.423719,3163,1.679113,3163,1.657728
3255,3359,(7#)31/2,3257,66.574,3255,220.211,3359,2.675223,3255,8.85376750,3307,101.971955,4.051169086,3359,24.978707,3257,1.680648,3257,1.659301
3360,3464,(7#)16,3361,68.166,3360,218.077,3463,2.675056,3360,8.55816779,3412,104.199431,4.043288130,3464,25.537405,3361,1.681958,3361,1.660688
3465,3569,(11#)3/2,3467,69.776,3465,247.916,3559,2.674908,3465,9.50870704,3517,106.999861,4.058076155,3569,26.099911,3467,1.682909,3467,1.661745
3570,3674,(7#)17,3571,71.347,3570,243.483,3673,2.674779,3570,9.12788635,3622,109.284249,4.053444261,3673,26.660908,3571,1.683547,3571,1.662461
3675,3779,(7#)35/2,3677,72.939,3675,233.243,3779,2.674587,3675,8.55682377,3727,111.439079,4.044985701,3779,27.236724,3677,1.683916,3677,1.662884
3780,3884,(7#)18,3793,74.670,3780,238.323,3881,2.674486,3780,8.55641678,3832,113.930037,4.049325703,3884,27.811205,3881,1.683783,3881,1.662908
3885,3989,(7#)37/2,3889,76.095,3885,250.201,3989,2.674342,3885,8.80059383,3937,116.198940,4.046237925,3989,28.389844,3989,1.683327,3989,1.662535
3990,4094,(7#)19,3994,77.683,3990,262.878,4093,2.674208,3990,9.05902910,4042,118.892680,4.058084449,4094,28.972719,4093,1.682656,4093,1.661945
4095,4199,(7#)39/2,4096,79.141,4095,276.154,4096,2.673517,4095,9.33300293,4147,120.992259,4.050008651,4198,29.554292,4177,1.681957,4177,1.661312
4200,4304,(7#)20,4201,80.675,4290,264.951,4297,2.673959,4290,8.64111668,4252,123.322266,4.050188288,4304,30.151473,4297,1.680731,4297,1.660180
4305,4409,(7#)41/2,4306,82.239,4305,269.678,4409,2.673829,4305,8.77400021,4357,125.546082,4.047409195,4409,30.747491,4409,1.679358,4409,1.658894
4410,4514,(7#)21,4414,83.801,4410,267.856,4513,2.673712,4410,8.55431361,4462,127.841853,4.047322597,4514,31.348026,4513,1.677897,4513,1.657515
4515,4619,(7#)43/2,4517,85.245,4515,279.277,4603,2.673583,4515,8.76250498,4567,130.059696,4.045218897,4619,31.953141,4603,1.676476,4603,1.656184
4620,4724,(11#)2,4621,86.734,4620,308.334,4723,2.673457,4620,9.50395507,4672,132.535138,4.051331703,4724,32.562899,4723,1.674420,4723,1.654222
4725,4829,(7#)45/2,4729,88.274,4725,282.235,4817,2.673391,4725,8.55334142,4777,134.729933,4.049058310,4826,33.157836,4817,1.672686,4817,1.652542
4830,4934,(7#)23,4831,89.721,4830,300.734,4933,2.673275,4830,8.96032980,4882,136.952250,4.048007681,4934,33.796584,4933,1.670358,4933,1.650306
4935,5039,(7#)47/2,4937,91.220,4935,298.234,5039,2.673145,4935,8.74270751,4987,139.311760,4.051255638,5039,34.420627,5039,1.668063,5039,1.648111
5040,5144,(7#)24,5042,92.734,5040,296.539,5119,2.673070,5040,8.55236744,5092,141.266302,4.043075146,5144,35.049545,5119,1.666253,5119,1.646364
5145,5249,(7#)49/2,5147,94.168,5145,301.192,5237,2.672990,5145,8.55217279,5197,143.865419,4.053586437,5249,35.683392,5237,1.663463,5237,1.643649
5250,5354,(7#)25,5261,95.760,5250,305.941,5351,2.672862,5250,8.55190387,5302,145.600092,4.040030627,5354,36.322222,5351,1.660586,5351,1.640878
5355,5459,(7#)51/2,5366,97.255,5355,331.254,5449,2.672803,5355,9.12165173,5407,148.310048,4.053795516,5459,36.966087,5449,1.658031,5449,1.638385
5460,5564,(7#)26,5462,98.584,5460,343.923,5563,2.672682,5460,9.32868501,5512,150.250595,4.046600915,5563,37.333335,5507,1.656447,5507,1.636862
5565,5669,(7#)53/2,5569,100.024,5565,326.115,5669,2.672620,5565,8.71878830,5617,152.580324,4.050199838,5669,37.410832,5569,1.663086,5569,1.643435
5670,5774,(7#)27,5674,101.503,5670,324.519,5749,2.672555,5670,8.55087561,5722,154.501031,4.043198456,5774,37.487044,5674,1.676021,5674,1.656265
5775,5879,(11#)5/2,5779,102.904,5775,365.623,5879,2.672429,5775,9.50061339,5827,156.920607,4.049513986,5879,37.562718,5779,1.687263,5779,1.667437
5880,5984,(7#)28,5881,104.296,5880,333.702,5981,2.672375,5880,8.55032099,5932,159.038414,4.048089303,5983,37.637158,5881,1.698495,5881,1.678567
5985,6089,(7#)57/2,5987,105.737,5985,358.112,6089,2.672295,5985,9.05311257,6037,161.033929,4.043897131,6089,37.712516,5987,1.709790,5987,1.689791
6090,6194,(7#)29,6091,107.146,6090,355.524,6173,2.672233,6090,8.86660386,6142,163.377962,4.048601885,6191,37.784554,6091,1.720560,6091,1.700478
6195,6299,(7#)59/2,6197,108.578,6195,353.399,6299,2.672121,6195,8.69963656,6247,165.426252,4.046139659,6299,37.860334,6197,1.731232,6197,1.711056
6300,6404,(7#)30,6301,109.978,6300,351.884,6397,2.672075,6300,8.54943114,6352,167.711695,4.049586401,6404,37.933532,6301,1.741390,6301,1.721139
6405,6509,(7#)61/2,6406,111.422,6405,362.379,6491,2.671989,6405,8.69418887,6457,169.533296,4.042122955,6509,38.006155,6406,1.751921,6406,1.731590
6510,6614,(7#)31,6514,112.866,6510,373.333,6607,2.671912,6510,8.84387731,6562,172.040433,4.051098213,6614,38.078567,6514,1.761877,6514,1.741474
6615,6719,(7#)63/2,6619,114.230,6615,365.310,6719,2.671839,6615,8.54880788,6667,173.844732,4.043672138,6719,38.150425,6619,1.770735,6619,1.750285
6720,6824,(7#)32,6722,115.634,6720,369.831,6823,2.671772,6720,8.54861281,6772,175.978794,4.044166910,6824,38.221858,6722,1.780278,6722,1.759744
