DECADE,n_0,C_min,Npred_0,Cpred_min,n_1,C_max,Npred_1,Cpred_max,n_geom,C_avg,Cpred_avg
(11#)9/2,10462,2.194423,10499,2.67003500,10395,9.448356,10395,9.49267980,10447,4.027247,4.04914392
(7#)50,10501,2.449522,10601,2.67001100,10500,8.524160,10500,8.54330046,10552,4.035725,4.04307566
(7#)101/2,10687,2.319381,10709,2.66997300,10605,8.847616,10605,8.62952079,10657,4.053754,4.04100188
(7#)51,10786,2.430362,10799,2.66993000,10710,8.907306,10710,9.11265762,10762,4.070227,4.04846205
(7#)103/2,10883,2.318296,10909,2.66990300,10815,8.648719,10815,8.62755052,10867,4.004331,4.03908770
(7#)52,11023,2.452351,11003,2.66986000,10920,9.437686,10920,9.31948435,10972,4.036042,4.05008639
(7#)105/2,11054,2.258518,11119,2.66982100,11025,8.550569,11025,8.54278948,11077,3.992546,4.04099962
(7#)53,11197,2.391314,11213,2.66980100,11130,8.579993,11130,8.71018917,11182,4.025832,4.04867440
(7#)107/2,11272,2.131467,11329,2.66976300,11235,8.734519,11235,8.62390003,11287,3.981372,4.03902405
(7#)54,11353,2.334737,11443,2.66971400,11385,8.429395,11340,8.54244131,11392,4.001539,4.04365738
(7#)109/2,11461,2.347919,11549,2.66969200,11445,8.577796,11445,8.62220880,11497,3.971368,4.03929622
(11#)5,11593,2.296655,11633,2.66966500,11550,9.485451,11550,9.49141587,11602,4.004036,4.04400919
(7#)111/2,11749,2.392249,11743,2.66962000,11655,8.606500,11655,8.78619854,11707,3.996074,4.04752755
(7#)56,11839,2.348206,11863,2.66958200,11760,8.395878,11760,8.54204077,11812,3.976595,4.04063177
(7#)113/2,11932,2.392674,11969,2.66956100,11865,8.367746,11865,8.61893084,11917,3.981940,4.04135701
(7#)57,11971,2.386736,12073,2.66952900,11970,8.986934,11970,9.04434477,12022,4.002692,4.04128497
(7#)115/2,12101,2.395745,12163,2.66949200,12075,8.574915,12075,8.94850011,12127,4.044790,4.04831587
(7#)58,12281,2.223656,12281,2.66946700,12180,8.864733,12180,8.85801523,12232,4.019047,4.04416261
(7#)117/2,12326,2.217079,12379,2.66942800,12285,9.181055,12285,9.31810444,12337,4.042544,4.04366356
(7#)59,12422,2.346659,12491,2.66939600,12390,8.402070,12390,8.69135577,12442,4.009926,4.04055324
(7#)119/2,12574,2.295932,12589,2.66937800,12495,8.660430,12495,9.11080432,12547,4.017812,4.05076596
(7#)60,12671,2.225896,12703,2.66933500,12600,8.631114,12600,8.54129031,12652,3.944461,4.03387485
(11#)11/2,12757,2.354186,12809,2.66931600,12705,9.165957,12705,9.49025683,12757,3.949004,4.04785314
(7#)61,12878,2.336543,12911,2.66927800,12810,8.463508,12810,8.68590906,12862,3.934691,4.04344777
(7#)123/2,12982,2.377047,13009,2.66926000,12915,8.715155,12915,8.76002368,12967,3.968793,4.03878586
(7#)62,13049,2.340065,13121,2.66923000,13020,8.714150,13020,8.83545298,13072,3.980025,4.04814912
(7#)125/2,13142,2.381559,13229,2.66920100,13125,8.495334,13125,8.54088118,13177,3.977088,4.04229318
(7#)63,13241,2.313245,13331,2.66916400,13230,8.332516,13230,8.54079737,13282,3.958165,4.04098992
(7#)127/2,13339,2.408045,13421,2.66915000,13335,8.768441,13335,8.60900658,13387,3.984332,4.04133259
(7#)64,13451,2.365320,13537,2.66911900,13440,8.632976,13440,8.54059921,13492,4.007290,4.04416972
(7#)129/2,13646,2.418129,13649,2.66909000,13545,8.821299,13545,8.74885075,13597,3.987941,4.03513514
(7#)65,13729,2.380300,13751,2.66905500,13650,8.952978,13650,9.31687000,13702,3.991798,4.05084151
(7#)131/2,13807,2.343338,13859,2.66902800,13755,8.371422,13755,8.60655649,13807,3.982027,4.03996949
(11#)6,13943,2.508139,13963,2.66900200,13860,9.554326,13860,9.48919262,13912,3.985947,4.04450413
(7#)133/2,14051,2.389016,14057,2.66898700,13965,8.871930,13965,9.04258698,14017,3.956587,4.04385566
(7#)67,14096,2.408715,14173,2.66895900,14070,8.326095,14070,8.67153022,14122,3.976917,4.04158189
(7#)135/2,14243,2.286441,14251,2.66893100,14175,8.406814,14175,8.54003543,14227,3.967667,4.04209634
(7#)68,14332,2.428418,14369,2.66891100,14280,8.793110,14280,9.10929007,14332,3.989706,4.04370159
(7#)137/2,14411,2.316236,14489,2.66888200,14385,8.309587,14385,8.60316769,14437,3.994566,4.04237494
(7#)69,14528,2.225437,14593,2.66885800,14490,8.894874,14490,8.94649302,14542,4.003207,4.04222876
(7#)139/2,14699,2.430591,14699,2.66882400,14595,8.441621,14595,8.60206380,14647,4.007548,4.04271847
(7#)70,14779,2.470069,14797,2.66881000,14700,8.493504,14700,8.53965669,14752,4.017751,4.03842710
(7#)141/2,14831,2.313924,14897,2.66878700,14805,8.919746,14805,8.72937727,14857,4.036712,4.04452109
(7#)71,14951,2.398094,15013,2.66876000,14910,8.472977,14910,8.66329734,14962,4.021344,4.03607191
(13#)/2,15784,2.297078,16141,2.66851400,15015,10.422348,15015,10.35083057,15581,4.022986,4.04255169
(11#)7,17218,2.342733,16384,2.66829400,16170,9.362340,16170,9.48744417,16737,4.017232,4.04146192
(11#)15/2,18322,2.313856,18461,2.66807100,17745,9.322075,17325,9.48666633,17893,4.009270,4.04147891
(11#)8,18637,2.262025,19609,2.66787700,18480,9.317703,18480,9.48592884,19048,3.999206,4.04073269
(11#)17/2,20509,2.288028,20789,2.66769300,19635,9.854074,19635,10.11761783,20204,3.982392,4.04117229
(11#)9,20816,2.279925,21943,2.66751900,20790,9.509176,20790,9.48467315,21359,3.983191,4.04066583
(11#)19/2,22354,2.333078,23099,2.66736100,21945,10.036306,21945,10.04198433,22515,4.019335,4.04017369
(11#)10,23201,2.282149,24251,2.66721300,23205,9.963427,23205,9.93182028,23670,4.027253,4.04033749
(11#)21/2,24256,2.336632,25409,2.66707800,24255,9.263166,24255,9.48303126,24825,4.024633,4.03977282
(11#)11,25496,2.309603,26561,2.66694600,25935,10.005154,25935,9.85758127,25981,4.000939,4.03990070
(11#)23/2,27182,2.331847,27701,2.66682200,26565,9.689038,26565,9.93364518,27136,4.000845,4.03949944
(11#)12,27904,2.328254,28871,2.66669800,28665,9.643002,27720,9.48167174,28291,4.029672,4.03948721
(11#)25/2,29738,2.340355,30029,2.66658900,28875,9.338060,28875,9.48126293,29446,4.023199,4.03861141
(13#),30332,2.331433,31183,2.66647700,30030,10.293246,30030,10.34278742,30602,4.005681,4.03960496
(11#)27/2,31294,2.341935,32327,2.66637500,31395,9.616924,31395,9.75130720,31757,3.986567,4.03912564
(11#)14,32972,2.389670,32768,2.66625600,32340,9.255797,32340,9.48014915,32912,4.000521,4.03822166
(11#)29/2,34274,2.354215,34649,2.66618500,33495,9.866028,33495,9.83091290,34067,4.007956,4.03885849
(11#)15,35792,2.297694,35803,2.66609100,34650,9.321536,34650,9.47949526,35222,4.012041,4.03853207
