START,n_1,C_max,Npred_1,CpredAlign,Lambda_max,Jitter,JitterRatio,Status
13PR,30030,10.29324643,30030,10.46554006,-1.659997e-02,0.655627,-0.262792,EXPECTED
11PR27D2,31395,9.61692440,31395,9.87923851,-2.691093e-02,0.649592,-0.403814,EXPECTED
11PR14,32340,9.25579730,32340,9.59780152,-3.628397e-02,0.644997,-0.530242,EXPECTED
11PR29D2,33495,9.86602778,33495,9.94537262,-8.010061e-03,0.640128,-0.123952,EXPECTED
11PR15,34650,9.32153632,34650,9.59082858,-2.847983e-02,0.635788,-0.423557,EXPECTED
11PR31D2,35805,9.80252643,35805,9.91436023,-1.134408e-02,0.630454,-0.177386,EXPECTED
11PR16,36960,9.33802928,36960,9.58419450,-2.602010e-02,0.626897,-0.392673,EXPECTED
11PR33D2,38115,9.35358563,38115,9.58079736,-2.400106e-02,0.623925,-0.364165,EXPECTED
11PR17,39270,10.20109986,39270,10.21167244,-1.035879e-03,0.621202,-0.017020,EXPECTED
11PR35D2,41055,9.76303145,41055,9.64340919,1.232826e-02,0.617363,0.193763,OUTLIER
11PR18,42315,9.55848499,42315,9.71198336,-1.593128e-02,0.615561,-0.249363,EXPECTED
11PR37D2,42735,9.80136239,42735,9.84317735,-4.257165e-03,0.612920,-0.068223,EXPECTED
11PR19,43890,9.90341504,43890,10.12743139,-2.236807e-02,0.610895,-0.366702,EXPECTED
13PR3D2,45045,10.26764128,45045,10.42862632,-1.555723e-02,0.608910,-0.264382,EXPECTED
11PR20,46410,9.79215333,46410,10.02107583,-2.310907e-02,0.607032,-0.377118,EXPECTED
11PR41D2,47355,9.54488090,47355,9.80774961,-2.716787e-02,0.605626,-0.434045,EXPECTED
11PR21,49140,9.40378836,48510,9.56287086,-1.677536e-02,0.604148,-0.263317,EXPECTED
11PR43D2,49665,9.65248299,49665,9.79205899,-1.435656e-02,0.602865,-0.231521,EXPECTED
11PR22,51870,9.99806075,51870,9.94877109,4.942114e-03,0.601487,0.081946,OUTLIER
11PR45D2,51975,9.31934551,51975,9.55704734,-2.518642e-02,0.600364,-0.395930,EXPECTED
11PR23,53130,9.89328734,53130,10.00612662,-1.134109e-02,0.599626,-0.188183,EXPECTED
11PR47D2,54285,9.78259187,54285,9.76546018,1.752778e-03,0.598866,0.028607,OUTLIER
11PR24,55440,9.56399190,55965,9.63614895,-7.516340e-03,0.598227,-0.120618,EXPECTED
11PR49D2,56595,9.41284344,56595,9.55188350,-1.466328e-02,0.597634,-0.232651,EXPECTED
11PR25,58695,9.53919817,58695,9.60288465,-6.654105e-03,0.597133,-0.106654,EXPECTED
11PR51D2,58905,10.14218881,58905,10.18036030,-3.756570e-03,0.596724,-0.063968,EXPECTED
13PR2,60060,10.28857922,60060,10.40801071,-1.154130e-02,0.596482,-0.200226,EXPECTED
11PR53D2,61215,9.64534908,61215,9.73065199,-8.805064e-03,0.596360,-0.143039,EXPECTED
11PR27,62790,9.83540102,62790,9.82524182,1.033456e-03,0.596247,0.017039,OUTLIER
11PR55D2,64155,9.50337581,64155,9.58991578,-9.065023e-03,0.596257,-0.145139,EXPECTED
11PR28,64680,9.44756523,64680,9.54334373,-1.008686e-02,0.596332,-0.160613,EXPECTED
11PR57D2,65835,9.77535774,65835,10.09931069,-3.260247e-02,0.596494,-0.543095,EXPECTED
11PR29,66990,9.80639681,66990,9.89154565,-8.645509e-03,0.596657,-0.142710,EXPECTED
11PR59D2,68145,9.55368012,68145,9.70530341,-1.574605e-02,0.596947,-0.253998,EXPECTED
11PR30,69615,10.09514545,69615,10.00334315,9.135308e-03,0.597240,0.153711,OUTLIER
11PR61D2,70455,9.49396558,70455,9.69910822,-2.137755e-02,0.597638,-0.343256,EXPECTED
11PR31,71610,9.74488844,71610,9.86411055,-1.216009e-02,0.598363,-0.199247,EXPECTED
11PR63D2,73185,9.46959502,72765,9.53635169,-7.024848e-03,0.598692,-0.111504,EXPECTED
11PR32,73920,9.40564697,73920,9.53519383,-1.367932e-02,0.599622,-0.216048,EXPECTED
13PR5D2,75075,10.18649755,75075,10.39475855,-2.023862e-02,0.600147,-0.347017,EXPECTED
11PR33,76230,9.45590124,76230,9.53215934,-8.032259e-03,0.600791,-0.126929,EXPECTED
11PR67D2,77805,9.76782602,77805,9.91663218,-1.511944e-02,0.601387,-0.247438,EXPECTED
