START,n_1,C_max,Npred_0,CboundMax,Lambda_max,Jitter,JitterRatio,Status
(5#)15,462,7.49643810,462,13.18138387,-5.643775e-01,3.384836,-1.679534,EXPECTED
(5#)31/2,465,7.47988224,465,13.38385482,-5.818321e-01,3.378423,-1.747553,EXPECTED
(5#)16,483,6.65597280,480,13.07901163,-6.754942e-01,3.374116,-1.903621,EXPECTED
(5#)33/2,495,7.79282126,495,13.83553121,-5.740370e-01,3.367088,-1.794640,EXPECTED
(5#)17,510,7.01146018,510,13.46781360,-6.527567e-01,3.366764,-1.917673,EXPECTED
(7#)5/2,525,7.78613819,525,14.38777479,-6.140339e-01,3.362859,-1.963102,EXPECTED
(5#)18,540,7.03712751,540,12.90871957,-6.067030e-01,3.362404,-1.746248,EXPECTED
(5#)37/2,555,6.91916673,555,13.08193423,-6.369369e-01,3.361809,-1.833170,EXPECTED
(5#)19,570,7.91213209,570,13.25894770,-5.162753e-01,3.363872,-1.589482,EXPECTED
(5#)39/2,585,7.50774530,585,13.46053862,-5.838271e-01,3.363069,-1.770048,EXPECTED
(5#)20,609,7.03221547,600,12.77191280,-5.967466e-01,3.366790,-1.704798,EXPECTED
(5#)41/2,615,7.25345459,615,12.93024773,-5.780915e-01,3.367550,-1.685734,EXPECTED
(7#)3,630,7.91377219,630,14.14637159,-5.808536e-01,3.368642,-1.850182,EXPECTED
(5#)43/2,645,6.23868815,645,12.86625400,-7.238380e-01,3.373128,-1.964813,EXPECTED
(5#)22,660,7.91893649,660,13.45612636,-5.301776e-01,3.375340,-1.640484,EXPECTED
(5#)45/2,675,7.30446862,675,12.64032271,-5.484056e-01,3.379134,-1.579060,EXPECTED
(5#)23,693,7.17206434,690,12.95464655,-5.912610e-01,3.388027,-1.706770,EXPECTED
(5#)47/2,714,7.25655511,705,12.75439744,-5.639709e-01,3.392102,-1.620777,EXPECTED
(5#)24,720,6.73346279,720,12.56978341,-6.242062e-01,3.398744,-1.717199,EXPECTED
(7#)7/2,735,8.54549570,735,13.98436529,-4.925356e-01,3.403721,-1.597919,EXPECTED
(5#)25,750,7.24579438,750,12.53124761,-5.478041e-01,3.406755,-1.551463,EXPECTED
(5#)51/2,765,7.15563604,765,12.99330261,-5.965337e-01,3.412290,-1.710777,EXPECTED
(5#)26,780,7.04990800,780,13.14542082,-6.230589e-01,3.422778,-1.780867,EXPECTED
(5#)53/2,795,6.51590604,795,12.62175255,-6.611754e-01,3.429240,-1.780525,EXPECTED
(5#)27,810,6.64448411,810,12.46331296,-6.290023e-01,3.439653,-1.691691,EXPECTED
(5#)55/2,825,7.66200530,825,13.24605329,-5.474259e-01,3.442795,-1.621952,EXPECTED
(7#)4,840,8.20414590,840,13.86407136,-5.246611e-01,3.450186,-1.640470,EXPECTED
(5#)57/2,855,7.47170017,855,12.84320834,-5.416926e-01,3.459199,-1.552818,EXPECTED
(5#)29,870,7.79339087,870,12.67233601,-4.861453e-01,3.470750,-1.405732,EXPECTED
(5#)59/2,885,7.91710221,885,12.52304476,-4.585453e-01,3.475546,-1.325243,EXPECTED
(5#)30,900,6.78664426,900,12.38275991,-6.013486e-01,3.488943,-1.603957,EXPECTED
(5#)61/2,915,6.91869875,915,12.49516809,-5.911143e-01,3.500513,-1.593043,EXPECTED
(5#)31,930,6.63119009,930,12.60814102,-6.425584e-01,3.510742,-1.702475,EXPECTED
(7#)9/2,945,7.55793189,945,13.78397860,-6.009094e-01,3.514713,-1.771424,EXPECTED
(5#)32,960,7.07321591,960,12.34133454,-5.566389e-01,3.524117,-1.494876,EXPECTED
(5#)65/2,975,7.58665247,975,12.98439147,-5.373575e-01,3.538234,-1.525546,EXPECTED
(5#)33,990,7.49719194,990,13.11865839,-5.595070e-01,3.549164,-1.583885,EXPECTED
(5#)67/2,1005,6.85377083,1005,12.42793208,-5.951475e-01,3.562579,-1.564642,EXPECTED
(5#)34,1020,7.33980895,1020,12.78438656,-5.549118e-01,3.573901,-1.523427,EXPECTED
(5#)69/2,1035,7.08454356,1035,12.64274226,-5.791679e-01,3.584902,-1.550446,EXPECTED
(7#)5,1050,8.66474534,1050,13.72391846,-4.598777e-01,3.596550,-1.406674,EXPECTED
(5#)71/2,1071,6.91378853,1065,12.39283123,-5.836004e-01,3.604853,-1.519907,EXPECTED
(5#)36,1092,7.70861537,1080,12.28085523,-4.657030e-01,3.612671,-1.265612,EXPECTED
(5#)73/2,1095,6.98422798,1095,12.37743341,-5.722205e-01,3.623747,-1.488295,EXPECTED
(5#)37,1110,7.44190976,1110,12.47432856,-5.165453e-01,3.640760,-1.382244,EXPECTED
(5#)75/2,1125,6.85042475,1125,12.26657126,-5.825671e-01,3.656211,-1.481355,EXPECTED
(5#)38,1140,7.12745061,1140,12.68026016,-5.760929e-01,3.668755,-1.513541,EXPECTED
(11#)/2,1155,9.13559580,1155,14.63938296,-4.715370e-01,3.686419,-1.492990,EXPECTED
(7#)6,1260,8.73658664,1260,13.66157609,-4.470677e-01,2.920744,-1.686211,EXPECTED
(7#)13/2,1365,8.55809036,1365,14.43144402,-5.225324e-01,2.895153,-2.028685,EXPECTED
(7#)7,1470,7.81539530,1470,13.64991285,-5.576376e-01,2.750790,-2.121033,EXPECTED
(7#)15/2,1575,8.53964513,1575,13.65771524,-4.695851e-01,2.656459,-1.926651,EXPECTED
(7#)8,1680,8.40436284,1680,13.67155278,-4.865663e-01,2.543533,-2.070816,EXPECTED
(7#)17/2,1785,8.79830470,1785,14.26435538,-4.832047e-01,2.469054,-2.213824,EXPECTED
(7#)9,1890,8.43214029,1890,13.71863698,-4.867046e-01,2.359864,-2.240170,EXPECTED
(7#)19/2,1995,8.57059128,1995,14.25341953,-5.086601e-01,2.322172,-2.447204,EXPECTED
(7#)10,2145,8.12379559,2145,13.88731520,-5.361784e-01,2.200676,-2.618977,EXPECTED
(7#)21/2,2205,8.06714663,2205,13.82333077,-5.385580e-01,2.132765,-2.698930,EXPECTED
(11#),2310,9.14058186,2310,15.86372521,-5.513110e-01,2.103047,-3.196858,EXPECTED
(7#)23/2,2415,8.64639902,2415,15.14851269,-5.607594e-01,2.070485,-3.140382,EXPECTED
(7#)12,2520,7.98399457,2520,14.57720654,-6.020203e-01,2.017737,-3.267627,EXPECTED
(7#)25/2,2625,8.59805030,2625,14.42886260,-5.176951e-01,1.972986,-2.955324,EXPECTED
(7#)13,2730,9.53914578,2730,15.06448410,-4.569360e-01,1.926921,-2.867444,EXPECTED
(7#)27/2,2835,8.56334577,2835,14.15567368,-5.026245e-01,1.880057,-2.974552,EXPECTED
(7#)14,2940,8.67739172,2940,14.02989118,-4.804691e-01,1.847008,-2.897930,EXPECTED
(7#)29/2,3135,8.85070812,3045,14.23170003,-4.749744e-01,1.805473,-2.980378,EXPECTED
(7#)15,3150,8.07464822,3150,13.80282105,-5.361437e-01,1.780543,-3.217093,EXPECTED
(7#)31/2,3255,9.08651900,3255,13.99479097,-4.318933e-01,1.733120,-2.832044,EXPECTED
(7#)16,3360,8.55513325,3360,13.59946334,-4.634988e-01,1.714431,-2.942277,EXPECTED
(11#)3/2,3465,9.20509845,3465,14.45787165,-4.514815e-01,1.673946,-3.137959,EXPECTED
(7#)17,3570,8.47248673,3570,13.98711760,-5.013127e-01,1.657078,-3.327925,EXPECTED
(7#)35/2,3675,8.65796828,3675,13.33271862,-4.317410e-01,1.629239,-2.869285,EXPECTED
(7#)18,3795,8.16344904,3780,13.25073246,-4.843861e-01,1.599851,-3.179848,EXPECTED
(7#)37/2,3885,8.65284260,3885,13.41910906,-4.387918e-01,1.579242,-3.018072,EXPECTED
(7#)19,3990,8.61525608,3990,13.60315435,-4.567671e-01,1.557788,-3.201911,EXPECTED
(7#)39/2,4095,9.26020575,4095,13.80783951,-3.995102e-01,1.534634,-2.963334,EXPECTED
(7#)20,4200,8.21978002,4290,12.96157993,-4.554461e-01,1.510539,-3.139144,EXPECTED
(7#)41/2,4305,8.45913368,4305,13.11706337,-4.386672e-01,1.483397,-3.140043,EXPECTED
(7#)21,4410,8.62279023,4410,12.83467049,-3.977414e-01,1.471038,-2.863203,EXPECTED
(7#)43/2,4515,8.78519237,4515,12.98421182,-3.906665e-01,1.457512,-2.880950,EXPECTED
(11#)2,4620,9.43200294,4620,13.66774571,-3.709303e-01,1.436921,-2.947791,EXPECTED
(7#)45/2,4725,8.48560494,4725,12.66286467,-4.003025e-01,1.411396,-2.959665,EXPECTED
(7#)23,4830,9.23639960,4830,13.01617335,-3.430405e-01,1.402911,-2.694236,EXPECTED
(7#)47/2,4935,8.55995006,4935,12.74817057,-3.982934e-01,1.387613,-3.018291,EXPECTED
(7#)24,5040,8.47914389,5040,12.50791781,-3.887524e-01,1.368557,-2.943812,EXPECTED
(7#)49/2,5145,8.23437263,5145,12.46080760,-4.142711e-01,1.357136,-3.114231,EXPECTED
(7#)25,5250,8.88898687,5250,12.41399199,-3.340111e-01,1.342000,-2.626680,EXPECTED
(7#)51/2,5355,8.59144749,5355,12.93992756,-4.095505e-01,1.326148,-3.279031,EXPECTED
(7#)26,5460,8.73404796,5460,13.10343544,-4.056455e-01,1.310773,-3.333443,EXPECTED
(7#)53/2,5565,8.44836872,5565,12.45251786,-3.879495e-01,1.299653,-3.080937,EXPECTED
(7#)27,5670,8.27370483,5670,12.24380293,-3.919375e-01,1.285293,-3.088866,EXPECTED
(11#)5/2,5775,9.30254452,5775,13.15504083,-3.465171e-01,1.272624,-3.027207,EXPECTED
(7#)28,5880,8.40421431,5880,12.16641012,-3.699456e-01,1.255490,-2.996596,EXPECTED
(7#)57/2,5985,8.99970987,5985,12.63298701,-3.391191e-01,1.253055,-2.899535,EXPECTED
