START,n_0,C_min,Npred_0,CpredAlign,Lambda_min
(11#)105/2,121612,2.502568,122401,2.404021,4.017460e-02
(11#)53,123059,2.504951,123583,2.404991,4.072302e-02
(11#)107/2,124447,2.517146,124739,2.405927,4.519025e-02
(11#)54,125479,2.491172,125887,2.406846,3.443599e-02
(11#)109/2,126397,2.546025,127037,2.407755,5.583857e-02
(11#)55,127189,2.428594,128203,2.408664,8.240378e-03
(11#)111/2,129263,2.490514,129347,2.409546,3.305091e-02
(11#)56,130307,2.503745,130513,2.410434,3.798094e-02
(11#)113/2,131641,2.512217,131072,2.410834,4.119286e-02
(11#)57,131888,2.478781,132817,2.412154,2.724661e-02
(11#)115/2,133174,2.475614,133979,2.413006,2.561517e-02
(11#)58,134087,2.503206,135131,2.413841,3.635312e-02
(13#)9/2,135802,2.501586,136277,2.414662,3.536548e-02
(11#)59,136649,2.492808,137443,2.415487,3.150867e-02
(11#)119/2,137587,2.515309,138599,2.416297,4.015959e-02
(11#)60,139511,2.466330,139753,2.417095,2.016481e-02
(11#)121/2,140009,2.495139,140909,2.417885,3.145107e-02
(11#)61,141676,2.498497,142061,2.418664,3.247403e-02
(11#)123/2,142258,2.505830,143197,2.419424,3.509059e-02
(11#)62,143896,2.509536,144349,2.420186,3.625350e-02
(11#)125/2,145144,2.491578,145517,2.420949,2.875658e-02
(11#)63,146176,2.504029,146683,2.421702,3.343028e-02
(11#)127/2,147401,2.521313,147827,2.422434,4.000702e-02
(11#)64,148696,2.533538,148991,2.423170,4.454002e-02
(11#)129/2,149846,2.509766,150131,2.423884,3.481816e-02
(13#)5,150292,2.507348,151303,2.424610,3.355496e-02
(11#)131/2,151909,2.518866,152459,2.425318,3.784631e-02
(11#)66,152914,2.505061,153611,2.426016,3.206256e-02
(11#)133/2,154702,2.506776,154769,2.426711,3.246052e-02
(11#)67,155816,2.502854,155921,2.427395,3.061291e-02
(11#)135/2,156007,2.496651,157061,2.428066,2.785518e-02
(11#)68,157901,2.486203,158233,2.428747,2.338124e-02
(11#)137/2,158419,2.533724,159389,2.429413,4.204044e-02
(11#)69,159407,2.542242,160541,2.430069,4.512658e-02
(11#)139/2,161659,2.491347,161683,2.430713,2.463883e-02
(11#)70,162353,2.507294,162853,2.431368,3.074982e-02
(11#)141/2,163297,2.519915,163997,2.432001,3.551097e-02
(11#)71,164954,2.477786,165161,2.432639,1.838891e-02
(13#)11/2,165701,2.520785,166319,2.433267,3.533559e-02
(11#)72,166351,2.526473,167471,2.433886,3.733516e-02
(11#)145/2,167809,2.490909,168629,2.434503,2.290507e-02
(11#)73,168814,2.509419,169783,2.435111,3.005889e-02
(11#)147/2,170539,2.495056,170927,2.435708,2.407372e-02
(11#)74,171694,2.497959,172093,2.436312,2.498866e-02
(11#)149/2,172849,2.504239,173249,2.436905,2.725625e-02
(11#)75,174214,2.457750,174389,2.437484,8.280074e-03
(11#)151/2,174814,2.514062,175543,2.438064,3.069569e-02
(11#)76,176551,2.496728,176713,2.438648,2.353725e-02
(11#)153/2,177841,2.524335,177841,2.439205,3.430545e-02
(11#)77,178898,2.502055,179021,2.439783,2.520327e-02
(11#)155/2,179083,2.529322,180179,2.440345,3.581196e-02
(13#)6,180379,2.501151,181303,2.440886,2.439006e-02
(11#)157/2,181919,2.535068,182489,2.441451,3.762791e-02
(11#)79,182519,2.515243,183637,2.441994,2.955455e-02
(11#)159/2,184696,2.506373,184777,2.442528,2.580306e-02
(11#)80,185578,2.512282,185951,2.443073,2.793491e-02
(11#)161/2,187024,2.533868,187091,2.443598,3.627557e-02
(11#)81,187471,2.522543,188261,2.444132,3.157747e-02
(11#)163/2,189094,2.510677,189407,2.444651,2.665025e-02
(11#)82,189817,2.521375,190573,2.445174,3.068817e-02
(11#)165/2,191626,2.523077,191717,2.445684,3.115451e-02
(11#)83,191768,2.509171,192883,2.446197,2.541785e-02
(11#)167/2,193639,2.501153,194027,2.446698,2.201240e-02
(11#)84,194767,2.519507,195193,2.447205,2.911674e-02
(13#)13/2,195751,2.518018,196337,2.447697,2.832462e-02
(11#)85,197402,2.512439,197479,2.448185,2.590723e-02
(11#)171/2,198046,2.523633,198659,2.448684,3.014884e-02
(11#)86,199021,2.495353,199813,2.449169,1.868147e-02
(11#)173/2,200899,2.517394,200929,2.449635,2.728531e-02
(11#)87,201904,2.515768,202121,2.450127,2.643826e-02
