Dec,n_0,C_min,Npred_0,Cpred_min,Lambda_min
13965,14051,2.389016,14057,2.668987,-1.108174e-01
14070,14096,2.408715,14173,2.668959,-1.025951e-01
14175,14243,2.286441,14251,2.668931,-1.546816e-01
14280,14332,2.428418,14369,2.668911,-9.443051e-02
14385,14411,2.316236,14489,2.668882,-1.417162e-01
14490,14528,2.225437,14593,2.668858,-1.816974e-01
14595,14699,2.430591,14699,2.668824,-9.350349e-02
14700,14779,2.470069,14797,2.668810,-7.738659e-02
14805,14831,2.313924,14897,2.668787,-1.426793e-01
14910,14951,2.398094,15013,2.668760,-1.069397e-01
15015,15784,2.297078,16141,2.668514,-1.498839e-01
16170,17218,2.342733,16384,2.668294,-1.301211e-01
17325,18322,2.313856,18461,2.668071,-1.424403e-01
18480,18637,2.262025,19609,2.667877,-1.650226e-01
19635,20509,2.288028,20789,2.667693,-1.535237e-01
20790,20816,2.279925,21943,2.667519,-1.570063e-01
21945,22354,2.333078,23099,2.667361,-1.339012e-01
23100,23201,2.282149,24251,2.667213,-1.559166e-01
24255,24256,2.336632,25409,2.667078,-1.322729e-01
25410,25496,2.309603,26561,2.666946,-1.438583e-01
26565,27182,2.331847,27701,2.666822,-1.342268e-01
27720,27904,2.328254,28871,2.666698,-1.357224e-01
28875,29738,2.340355,30029,2.666589,-1.304975e-01
30030,30332,2.331433,31183,2.666477,-1.342750e-01
31185,31294,2.341935,32327,2.666375,-1.297424e-01
32340,32972,2.389670,32768,2.666256,-1.095200e-01
33495,34274,2.354215,34649,2.666185,-1.244413e-01
34650,35792,2.297694,35803,2.666091,-1.487073e-01
35805,36436,2.373766,36947,2.666005,-1.161034e-01
36960,37201,2.393769,38113,2.665924,-1.076816e-01
38115,38188,2.401751,39251,2.665841,-1.043215e-01
39270,39992,2.425829,40423,2.665762,-9.431662e-02
40425,40597,2.307754,41579,2.665687,-1.441871e-01
41580,41851,2.392174,42727,2.665615,-1.082322e-01
42735,43531,2.348344,43889,2.665547,-1.266989e-01
43890,44533,2.418503,45013,2.665481,-9.723578e-02
45045,45259,2.407217,46199,2.665410,-1.018866e-01
46200,46369,2.380141,47353,2.665349,-1.131753e-01
47355,47834,2.378831,48497,2.665287,-1.137026e-01
48510,48931,2.430664,49663,2.665224,-9.212364e-02
49665,50461,2.416903,50789,2.665169,-9.778050e-02
50820,51826,2.346624,51973,2.665111,-1.272680e-01
51975,52876,2.469593,53129,2.665055,-7.617134e-02
53130,53624,2.388364,54277,2.665002,-1.095962e-01
54285,54421,2.447211,55439,2.664947,-8.523516e-02
55440,56176,2.444148,56591,2.664895,-8.646806e-02
56595,57172,2.426083,57737,2.664848,-9.386900e-02
57750,58789,2.355012,58901,2.664798,-1.235824e-01
58905,59074,2.411060,60041,2.664751,-1.000441e-01
60060,61058,2.418361,61211,2.664702,-9.700219e-02
61215,61444,2.421746,62351,2.664657,-9.558658e-02
62370,63421,2.436905,63521,2.664614,-8.933042e-02
63525,64198,2.443219,64679,2.664569,-8.672589e-02
64680,65336,2.468498,65536,2.664496,-7.640505e-02
65835,66602,2.429966,66977,2.664486,-9.213390e-02
66990,67904,2.413565,68141,2.664445,-9.889087e-02
68145,69239,2.447118,69263,2.664405,-8.506976e-02
69300,69911,2.449157,70451,2.664364,-8.422150e-02
70455,70544,2.431070,71597,2.664327,-9.162000e-02
71610,71633,2.358847,72763,2.664288,-1.217639e-01
72765,73016,2.438849,73907,2.664251,-8.839676e-02
73920,74716,2.474061,75041,2.664217,-7.404928e-02
75075,75968,2.467098,76213,2.664181,-7.685413e-02
76230,77144,2.383605,77383,2.664144,-1.112688e-01
77385,78427,2.494035,78539,2.664109,-6.596779e-02
78540,79312,2.406904,79693,2.664077,-1.015164e-01
79695,79784,2.452666,80849,2.664044,-8.266967e-02
80850,81749,2.460417,82003,2.664010,-7.950166e-02
82005,82252,2.460452,83137,2.663980,-7.947617e-02
83160,84046,2.459958,84313,2.663948,-7.966496e-02
84315,84562,2.471941,85469,2.663916,-7.479355e-02
85470,86248,2.426071,86599,2.663885,-9.351251e-02
86625,87316,2.472748,87767,2.663855,-7.444424e-02
87780,88498,2.433762,88919,2.663825,-9.032485e-02
88935,89459,2.383150,90089,2.663797,-1.113294e-01
90090,90526,2.492321,91243,2.663767,-6.652688e-02
91245,92357,2.434532,92399,2.663739,-8.997623e-02
92400,92656,2.473194,93553,2.663712,-7.421021e-02
93555,94228,2.450231,94709,2.663685,-8.352820e-02
94710,95467,2.446013,95857,2.663658,-8.524101e-02
95865,96361,2.470995,97007,2.663631,-7.506933e-02
97020,97684,2.508166,98143,2.663605,-6.012866e-02
98175,98764,2.453349,99317,2.663579,-8.221668e-02
99330,99581,2.468655,100483,2.663553,-7.598748e-02
100485,101467,2.483060,101627,2.663528,-7.015989e-02
101640,102352,2.491281,102793,2.663504,-6.684551e-02
102795,103214,2.468903,103919,2.663479,-7.585924e-02
103950,104056,2.467765,105097,2.663455,-7.631127e-02
105105,105883,2.452749,106243,2.663430,-8.240533e-02
106260,106298,2.480088,107377,2.663408,-7.131246e-02
107415,107684,2.498534,108557,2.663385,-6.389371e-02
108570,109717,2.499467,109721,2.663361,-6.351135e-02
109725,110281,2.415536,110879,2.663338,-9.765901e-02
110880,111058,2.464714,112031,2.663315,-7.749581e-02
112035,112681,2.478536,113189,2.663294,-7.189564e-02
113190,113389,2.460935,114343,2.663271,-7.901371e-02
114345,115426,2.500222,115499,2.663250,-6.316765e-02
115500,116371,2.460027,116639,2.663229,-7.936697e-02
116655,116728,2.402456,117809,2.663208,-1.030399e-01
117810,118894,2.444233,118931,2.663187,-8.579215e-02
118965,119458,2.462122,120103,2.663166,-7.849206e-02
120120,121234,2.463828,121271,2.663146,-7.779189e-02
121275,121612,2.502568,122401,2.663127,-6.218359e-02
122430,123059,2.504951,123583,2.663106,-6.122394e-02
123585,124447,2.517146,124739,2.663086,-5.635988e-02
124740,125479,2.491172,125887,2.663067,-6.672518e-02
125895,126397,2.546025,127037,2.663048,-4.493801e-02
127050,127189,2.428594,128203,2.663028,-9.215133e-02
128205,129263,2.490514,129347,2.663010,-6.696795e-02
129360,130307,2.503745,130513,2.662992,-6.166269e-02
130515,131641,2.512217,131072,2.662962,-5.827341e-02
131670,131888,2.478781,132817,2.662955,-7.166950e-02
132825,133174,2.475614,133979,2.662936,-7.294083e-02
133980,134087,2.503206,135131,2.662918,-6.185020e-02
135135,135802,2.501586,136277,2.662901,-6.249120e-02
136290,136649,2.492808,137443,2.662883,-6.599958e-02
137445,137587,2.515309,138599,2.662866,-5.700733e-02
138600,139511,2.466330,139753,2.662849,-7.666539e-02
139755,140009,2.495139,140909,2.662832,-6.504578e-02
140910,141676,2.498497,142061,2.662815,-6.369448e-02
142065,142258,2.505830,143197,2.662799,-6.075781e-02
143220,143896,2.509536,144349,2.662783,-5.927394e-02
144375,145144,2.491578,145517,2.662766,-6.644919e-02
145530,146176,2.504029,146683,2.662749,-6.145801e-02
146685,147401,2.521313,147827,2.662733,-5.457324e-02
147840,148696,2.533538,148991,2.662717,-4.973029e-02
148995,149846,2.509766,150131,2.662702,-5.915187e-02
150150,150292,2.507348,151303,2.662686,-6.010977e-02
151305,151909,2.518866,152459,2.662670,-5.552058e-02
152460,152914,2.505061,153611,2.662655,-6.101066e-02
153615,154702,2.506776,154769,2.662640,-6.032065e-02
154770,155816,2.502854,155921,2.662625,-6.188080e-02
155925,156007,2.496651,157061,2.662611,-6.435699e-02
157080,157901,2.486203,158233,2.662595,-6.854456e-02
158235,158419,2.533724,159389,2.662581,-4.960580e-02
159390,159407,2.542242,160541,2.662566,-4.624395e-02
160545,161659,2.491347,161683,2.662551,-6.646116e-02
161700,162353,2.507294,162853,2.662538,-6.007572e-02
162855,163297,2.519915,163997,2.662523,-5.504900e-02
164010,164954,2.477786,165161,2.662509,-7.190349e-02
165165,165701,2.520785,166319,2.662495,-5.469329e-02
166320,166351,2.526473,167471,2.662481,-5.243414e-02
167475,167809,2.490909,168629,2.662468,-6.660581e-02
168630,168814,2.509419,169783,2.662454,-5.919700e-02
169785,170539,2.495056,170927,2.662440,-6.493182e-02
170940,171694,2.497959,172093,2.662427,-6.376411e-02
172095,172849,2.504239,173249,2.662414,-6.124833e-02
173250,174214,2.457750,174389,2.662401,-7.998205e-02
174405,174814,2.514062,175543,2.662387,-5.732332e-02
175560,176551,2.496728,176713,2.662375,-6.423751e-02
176715,177841,2.524335,177841,2.662362,-5.323604e-02
177870,178898,2.502055,179021,2.662349,-6.209642e-02
179025,179083,2.529322,180179,2.662336,-5.125265e-02
180180,180379,2.501151,181303,2.662324,-6.244840e-02
181335,181919,2.535068,182489,2.662311,-4.897408e-02
182490,182519,2.515243,183637,2.662299,-5.682062e-02
183645,184696,2.506373,184777,2.662287,-6.034884e-02
184800,185578,2.512282,185951,2.662274,-5.798914e-02
185955,187024,2.533868,187091,2.662262,-4.942915e-02
187110,187471,2.522543,188261,2.662250,-5.390411e-02
188265,189094,2.510677,189407,2.662238,-5.861468e-02
189420,189817,2.521375,190573,2.662226,-5.435823e-02
190575,191626,2.523077,191717,2.662215,-5.367929e-02
191730,191768,2.509171,192883,2.662202,-5.920118e-02
192885,193639,2.501153,194027,2.662191,-6.239764e-02
194040,194767,2.519507,195193,2.662180,-5.508209e-02
195195,195751,2.518018,196337,2.662168,-5.566874e-02
196350,197402,2.512439,197479,2.662157,-5.788270e-02
197505,198046,2.523633,198659,2.662145,-5.343266e-02
198660,199021,2.495353,199813,2.662134,-6.469785e-02
199815,200899,2.517394,200929,2.662124,-5.590006e-02
200970,201904,2.515768,202121,2.662112,-5.654167e-02
202125,203128,2.520731,203279,2.662101,-5.456672e-02
203280,203417,2.508934,204431,2.662090,-5.925357e-02
204435,204928,2.464243,205589,2.662080,-7.722311e-02
205590,205924,2.529874,206699,2.662069,-5.093414e-02
206745,206984,2.513240,207877,2.662058,-5.752675e-02
207900,208129,2.513207,209039,2.662047,-5.753575e-02
209055,209362,2.520880,210209,2.662037,-5.448357e-02
210210,210557,2.506060,211349,2.662026,-6.037569e-02
211365,211459,2.494267,212507,2.662016,-6.508883e-02
212520,212644,2.547725,213659,2.662005,-4.387879e-02
213675,213784,2.541986,214817,2.661995,-4.613018e-02
214830,215854,2.563496,215983,2.661985,-3.770013e-02
215985,216917,2.525146,217121,2.661975,-5.276945e-02
217140,217697,2.481485,218287,2.661964,-7.020702e-02
218295,219311,2.546183,219437,2.661955,-4.446544e-02
219450,220453,2.532386,220589,2.661945,-4.989512e-02
220605,221332,2.526687,221747,2.661935,-5.214434e-02
221760,222634,2.538822,222913,2.661925,-4.734935e-02
222915,223469,2.547178,224069,2.661915,-4.405971e-02
224070,225002,2.551522,225223,2.661905,-4.235199e-02
225225,225892,2.548480,226379,2.661895,-4.354117e-02
226380,227251,2.549104,227533,2.661886,-4.329297e-02
227535,228097,2.525164,228677,2.661877,-5.272550e-02
228690,229234,2.519971,229841,2.661867,-5.478036e-02
229845,230848,2.518411,230999,2.661857,-5.539585e-02
231000,231643,2.524351,232153,2.661848,-5.303662e-02
232155,232189,2.532524,233297,2.661839,-4.980080e-02
233310,233978,2.534564,234463,2.661829,-4.899185e-02
234465,235028,2.506846,235607,2.661820,-5.998471e-02
235620,236092,2.538865,236773,2.661811,-4.728959e-02
236775,237883,2.566648,237929,2.661802,-3.640257e-02
237930,238892,2.539570,239081,2.661793,-4.700518e-02
239085,239857,2.497741,240209,2.661784,-6.360985e-02
240240,241393,2.514952,241393,2.661775,-5.673948e-02
241395,242119,2.534017,242533,2.661766,-4.918402e-02
242550,243043,2.536059,243703,2.661757,-4.837513e-02
243705,243736,2.522425,244859,2.661748,-5.376231e-02
244860,245587,2.544113,246011,2.661739,-4.519761e-02
246015,246518,2.561050,247141,2.661731,-3.855933e-02
247170,247868,2.534405,248323,2.661722,-4.901439e-02
248325,248867,2.548208,249463,2.661714,-4.357991e-02
249480,249512,2.527815,250619,2.661705,-5.161160e-02
