START,n_geom,C_avg,Cpred_avg,Lambda_avg
4,4,3.843624,2.870137,2.920559e-01
5,5,2.590290,4.266093,-4.989285e-01
6,6,3.210402,5.413807,-5.225564e-01
8,8,2.162039,2.814638,-2.637820e-01
9,9,4.827796,5.820367,-1.869733e-01
10,10,2.120759,3.855372,-5.976934e-01
12,12,4.116507,5.565937,-3.016603e-01
13,13,2.192988,3.090238,-3.429828e-01
14,14,1.989892,3.390541,-5.329090e-01
(5#)/2,21,2.633998,4.119330,-4.471875e-01
(5#),36,2.876782,4.149992,-3.664342e-01
(5#)3/2,52,3.324713,4.056518,-1.989416e-01
(5#)2,67,3.469063,4.098988,-1.668558e-01
(5#)5/2,82,3.512849,4.101748,-1.549859e-01
(5#)3,97,3.245242,4.069621,-2.263598e-01
(7#)/2,112,3.577188,4.150129,-1.485625e-01
(5#)4,127,3.760342,4.081018,-8.183669e-02
(5#)9/2,142,3.435240,4.062656,-1.677503e-01
(5#)5,157,3.400776,4.039830,-1.721991e-01
(5#)11/2,172,3.595329,4.115602,-1.351497e-01
(5#)6,187,3.875746,4.054485,-4.508544e-02
(5#)13/2,202,3.549984,4.106007,-1.455079e-01
(7#),217,3.643744,4.100186,-1.180207e-01
(5#)15/2,232,3.386986,4.091831,-1.890519e-01
(5#)8,247,3.644143,4.054516,-1.067101e-01
(5#)17/2,262,3.641143,4.052742,-1.070961e-01
(5#)9,277,3.604857,4.072499,-1.219746e-01
(5#)19/2,292,3.835434,4.111589,-6.952702e-02
(5#)10,307,3.852221,4.019804,-4.258317e-02
(7#)3/2,322,3.848927,4.105138,-6.444493e-02
(5#)11,337,3.814751,4.093574,-7.054319e-02
(5#)23/2,352,3.812565,4.078384,-6.739849e-02
(5#)12,367,3.603982,4.052939,-1.174028e-01
(5#)25/2,382,3.609332,4.035118,-1.115128e-01
(5#)13,397,3.493630,4.100557,-1.601817e-01
(5#)27/2,412,3.760777,4.038381,-7.121822e-02
(7#)2,427,3.810424,4.119978,-7.810727e-02
(5#)29/2,442,4.104867,4.048091,1.392796e-02
(5#)15,457,3.989478,4.110513,-2.988764e-02
(5#)31/2,472,3.818292,4.023589,-5.237127e-02
(5#)16,487,3.612001,4.068540,-1.190221e-01
(5#)33/2,502,3.868767,4.065558,-4.961519e-02
(5#)17,517,3.912217,4.029855,-2.962621e-02
(7#)5/2,532,3.817657,4.135507,-7.997305e-02
(5#)18,547,3.840468,4.056148,-5.463953e-02
(5#)37/2,562,3.620023,4.069071,-1.169344e-01
(5#)19,577,3.703510,4.031978,-8.497593e-02
(5#)39/2,592,3.860058,4.098917,-6.004073e-02
(5#)20,607,3.829508,4.044846,-5.470724e-02
(5#)41/2,622,3.819727,4.073862,-6.441247e-02
(7#)3,637,3.791617,4.065380,-6.971455e-02
(5#)43/2,652,3.782370,4.041450,-6.625269e-02
(5#)22,667,3.875934,4.124710,-6.220917e-02
(5#)45/2,682,3.849407,4.004734,-3.955821e-02
(5#)23,697,3.939480,4.111371,-4.270795e-02
(5#)47/2,712,3.962780,4.051697,-2.219005e-02
(5#)24,727,3.841887,3.998668,-3.999767e-02
(7#)7/2,742,4.196813,4.145472,1.230869e-02
(5#)25,757,3.951471,4.033969,-2.066307e-02
(5#)51/2,772,3.867464,4.068773,-5.074237e-02
(5#)26,787,3.860158,4.059553,-5.036467e-02
(5#)53/2,802,3.869580,4.059837,-4.799675e-02
(5#)27,817,3.804628,4.048862,-6.221752e-02
(5#)55/2,832,3.989217,4.044400,-1.373818e-02
(7#)4,847,3.938706,4.088368,-3.729357e-02
(5#)57/2,862,3.918843,4.101487,-4.555312e-02
(5#)29,877,4.052501,4.059000,-1.602485e-03
(5#)59/2,892,3.949773,4.033255,-2.091573e-02
(5#)30,907,3.780001,4.064704,-7.261669e-02
(5#)61/2,922,3.763695,4.053571,-7.419713e-02
(5#)31,937,3.707657,4.022617,-8.153241e-02
(7#)9/2,952,3.745684,4.124362,-9.630719e-02
(5#)32,967,3.873249,4.045902,-4.361081e-02
(5#)65/2,982,3.779940,4.087550,-7.823776e-02
(5#)33,997,3.802746,4.028603,-5.769630e-02
(5#)67/2,1012,3.775322,4.035789,-6.671616e-02
(5#)34,1027,3.986142,4.091238,-2.602383e-02
(5#)69/2,1042,3.809638,4.013726,-5.218603e-02
(7#)5,1057,4.027402,4.107381,-1.966390e-02
(5#)71/2,1072,4.035682,4.071866,-8.926149e-03
(5#)36,1087,4.127243,4.072096,1.345170e-02
(5#)73/2,1102,3.945217,4.013757,-1.722378e-02
(5#)37,1117,4.106924,4.093469,3.281639e-03
(5#)75/2,1132,4.009979,4.029370,-4.823811e-03
(5#)38,1147,3.914328,3.986925,-1.837679e-02
(11#)/2,1206,3.934787,4.066234,-3.286040e-02
(7#)6,1311,3.861564,4.056144,-4.916049e-02
(7#)13/2,1416,3.893630,4.058634,-4.150478e-02
(7#)7,1521,3.844801,4.057088,-5.374361e-02
(7#)15/2,1626,3.994843,4.057389,-1.553541e-02
(7#)8,1731,3.840676,4.054267,-5.412156e-02
(7#)17/2,1836,4.002059,4.059892,-1.434748e-02
(7#)9,1941,4.008652,4.050481,-1.038044e-02
(7#)19/2,2046,3.923622,4.054277,-3.275715e-02
