START,n_0,C_min,Npred_0,CpredBound,Lambda_min,Jitter,JitterRatio
(7#)35,7351,2.199762,7451,0.244490,2.196930e+00,9.634478,9.510719e+00
(7#)71/2,7522,2.372402,7559,0.257534,2.220506e+00,9.634478,1.040252e+01
(7#)36,7561,2.321013,7649,0.266028,2.166157e+00,9.634478,1.020126e+01
(7#)73/2,7727,2.199214,7759,0.286334,2.038696e+00,9.634478,9.601699e+00
(7#)37,7846,2.336977,7873,0.292893,2.076806e+00,9.634478,1.037720e+01
(7#)75/2,7951,2.232082,7963,0.306773,1.984582e+00,9.634478,9.860947e+00
(7#)38,8062,2.328303,8081,0.321768,1.979064e+00,9.634478,1.039518e+01
(11#)7/2,8116,2.236375,8179,0.325991,1.925742e+00,9.634478,9.990292e+00
(7#)39,8224,2.292547,8192,0.345802,1.891552e+00,9.634478,1.019303e+01
(7#)79/2,8311,2.234912,8389,0.348830,1.857372e+00,9.634478,1.005975e+01
(7#)40,8429,2.249292,8501,0.364895,1.818761e+00,9.634478,1.015512e+01
(7#)81/2,8599,2.329117,8609,0.371921,1.834563e+00,9.634478,1.065169e+01
(7#)41,8614,2.287560,8713,0.383974,1.784666e+00,9.634478,1.045734e+01
(7#)83/2,8777,2.179478,8819,0.394070,1.710312e+00,9.634478,9.901042e+00
(7#)42,8839,2.279660,8923,0.397630,1.746260e+00,9.634478,1.053274e+01
(7#)85/2,9014,2.281605,9029,0.415020,1.704308e+00,9.634478,1.054301e+01
(7#)43,9091,2.412999,9133,0.416558,1.756600e+00,9.634478,1.137773e+01
(7#)87/2,9173,2.323530,9239,0.431434,1.683728e+00,9.634478,1.088066e+01
(11#)4,9283,2.301998,9343,0.435169,1.665798e+00,9.634478,1.082964e+01
(7#)89/2,9349,2.396602,9439,0.446807,1.679680e+00,9.634478,1.140164e+01
(7#)45,9511,2.294051,9551,0.453092,1.621979e+00,9.634478,1.086492e+01
(7#)91/2,9649,2.163663,9649,0.460282,1.547719e+00,9.634478,1.013353e+01
(7#)46,9748,2.284701,9749,0.468759,1.583902e+00,9.634478,1.089063e+01
(7#)93/2,9817,2.375649,9859,0.465031,1.630922e+00,10.122445,1.100222e+01
(7#)47,9941,2.284239,9973,0.476768,1.566758e+00,10.122445,1.050232e+01
(7#)95/2,10078,2.360845,10079,0.472286,1.609190e+00,10.567336,1.059886e+01
(7#)48,10174,2.343381,10181,0.484143,1.576970e+00,10.567336,1.051692e+01
