START,n_0,C_min,Npred_0,CpredAlign,Lambda_min,Jitter,JitterRatio
(13#)9/2,135802,2.501586,136277,2.051670,1.982708e-01,0.033208,1.354842e+01
(11#)59,136649,2.492808,137443,2.050749,1.952047e-01,0.033054,1.337384e+01
(11#)119/2,137587,2.515309,138599,2.048459,2.053079e-01,0.032764,1.424887e+01
(11#)60,139511,2.466330,139753,2.047364,1.861781e-01,0.032618,1.284463e+01
(11#)121/2,140009,2.495139,140909,2.045145,1.988757e-01,0.032330,1.391878e+01
(11#)61,141676,2.498497,142061,2.044095,2.007342e-01,0.032183,1.411932e+01
(11#)123/2,142258,2.505830,143197,2.041785,2.047956e-01,0.031904,1.454504e+01
(11#)62,143896,2.509536,144349,2.040635,2.068368e-01,0.031764,1.476203e+01
(11#)125/2,145144,2.491578,145517,2.038347,2.007771e-01,0.031485,1.439514e+01
(11#)63,146176,2.504029,146683,2.037141,2.063537e-01,0.031349,1.489323e+01
(11#)127/2,147401,2.521313,147827,2.034747,2.144083e-01,0.031079,1.565578e+01
(11#)64,148696,2.533538,148991,2.033557,2.198303e-01,0.030945,1.615709e+01
(11#)129/2,149846,2.509766,150131,2.035925,2.092393e-01,0.030812,1.537846e+01
(13#)5,150292,2.507348,151303,2.039600,2.064719e-01,0.030615,1.527839e+01
(11#)131/2,151909,2.518866,152459,2.043016,2.093817e-01,0.030417,1.564421e+01
(11#)66,152914,2.505061,153611,2.046491,2.021865e-01,0.030228,1.517037e+01
(11#)133/2,154702,2.506776,154769,2.049919,2.011972e-01,0.030029,1.521386e+01
(11#)67,155816,2.502854,155921,2.053241,1.980122e-01,0.029852,1.506140e+01
(11#)135/2,156007,2.496651,157061,2.056683,1.938557e-01,0.029650,1.483872e+01
(11#)68,157901,2.486203,158233,2.059705,1.881939e-01,0.029486,1.446442e+01
(11#)137/2,158419,2.533724,159389,2.063072,2.054940e-01,0.029305,1.606047e+01
(11#)69,159407,2.542242,160541,2.066076,2.073952e-01,0.029129,1.634680e+01
