START,n_1,C_max,Npred_0,CboundMax,Lambda_max,Jitter,JitterRatio,Status
(13#)105/2,1576575,10.34024085,1576575,10.56881175,-2.186421e-02,0.109974,-2.078409,EXPECTED
(13#)53,1591590,10.51716217,1591590,10.76954964,-2.371426e-02,0.109318,-2.308746,EXPECTED
(13#)107/2,1606605,10.38632035,1606605,10.66410642,-2.639397e-02,0.108671,-2.556212,EXPECTED
(13#)54,1621620,10.27732084,1621620,10.56446511,-2.755641e-02,0.108037,-2.657833,EXPECTED
(13#)109/2,1636635,10.44534654,1636635,10.65944334,-2.028963e-02,0.107413,-1.993211,EXPECTED
(13#)55,1651650,10.30055206,1651650,10.56168516,-2.503535e-02,0.106798,-2.445112,EXPECTED
(13#)111/2,1666665,10.64675595,1666665,10.85497167,-1.936795e-02,0.106193,-1.960729,EXPECTED
(13#)56,1681680,10.32490434,1688610,10.55899344,-2.241908e-02,0.105600,-2.216753,EXPECTED
(13#)113/2,1708245,10.45712809,1708245,10.67437267,-2.056193e-02,0.105016,-2.068681,EXPECTED
(13#)57,1711710,10.89142669,1711710,11.17115628,-2.535919e-02,0.104440,-2.678376,EXPECTED
(13#)115/2,1726725,10.85478202,1726725,11.02651304,-1.569693e-02,0.103873,-1.653279,EXPECTED
(13#)58,1741740,10.64565516,1741740,10.93554363,-2.686652e-02,0.103315,-2.805870,EXPECTED
(13#)117/2,1763580,10.42086268,1763580,10.67463847,-2.406087e-02,0.102765,-2.469477,EXPECTED
(13#)59,1771770,10.46162606,1771770,10.73232464,-2.554628e-02,0.102224,-2.648092,EXPECTED
(17#)7/2,1786785,11.01732216,1786785,11.26385486,-2.213014e-02,0.101692,-2.424308,EXPECTED
(13#)60,1806420,10.50277345,1806420,10.75256082,-2.350458e-02,0.101167,-2.469060,EXPECTED
(13#)121/2,1826055,10.43231013,1826055,10.64159065,-1.986224e-02,0.100650,-2.079290,EXPECTED
(13#)61,1831830,10.46981632,1831830,10.72150357,-2.375492e-02,0.100141,-2.513329,EXPECTED
