START,n_0,C_min,Npred_0,CpredAlign,Lambda_min
(11#)145/2,167809,2.490909,168629,2.488974,7.771267e-04
(11#)73,168814,2.509419,169783,2.489237,8.075014e-03
(11#)147/2,170539,2.495056,170927,2.489499,2.229688e-03
(11#)74,171694,2.497959,172093,2.489756,3.289285e-03
(11#)149/2,172849,2.504239,173249,2.490005,5.700177e-03
(11#)75,174214,2.457750,174389,2.490253,-1.313801e-02
(11#)151/2,174814,2.514062,175543,2.490494,9.418687e-03
(11#)76,176551,2.496728,176713,2.490735,2.403227e-03
(11#)153/2,177841,2.524335,177841,2.490972,1.330467e-02
(11#)77,178898,2.502055,179021,2.491199,4.348274e-03
(11#)155/2,179083,2.529322,180179,2.491424,1.509685e-02
(13#)6,180379,2.501151,181303,2.491646,3.807490e-03
(11#)157/2,181919,2.535068,182489,2.491870,1.718703e-02
(11#)79,182519,2.515243,183637,2.492082,9.250913e-03
(11#)159/2,184696,2.506373,184777,2.492294,5.633117e-03
(11#)80,185578,2.512282,185951,2.492502,7.904478e-03
(11#)161/2,187024,2.533868,187091,2.492703,1.637933e-02
(11#)81,187471,2.522543,188261,2.492903,1.181962e-02
(11#)163/2,189094,2.510677,189407,2.493102,7.024720e-03
(11#)82,189817,2.521375,190573,2.493295,1.119926e-02
(11#)165/2,191626,2.523077,191717,2.493485,1.179786e-02
(11#)83,191768,2.509171,192883,2.493674,6.195295e-03
(11#)167/2,193639,2.501153,194027,2.493856,2.921719e-03
(11#)84,194767,2.519507,195193,2.494040,1.015936e-02
(13#)13/2,195751,2.518018,196337,2.494215,9.498034e-03
(11#)85,197402,2.512439,197479,2.494393,7.208581e-03
(11#)171/2,198046,2.523633,198659,2.494561,1.158677e-02
(11#)86,199021,2.495353,199813,2.494732,2.488936e-04
(11#)173/2,200899,2.517394,200929,2.494896,8.977194e-03
(11#)87,201904,2.515768,202121,2.495058,8.266149e-03
(11#)175/2,203128,2.520731,203279,2.495218,1.017284e-02
(11#)88,203417,2.508934,204431,2.495378,5.417741e-03
(11#)177/2,204928,2.464243,205589,2.495531,-1.261687e-02
(11#)89,205924,2.529874,206699,2.495683,1.360706e-02
(11#)179/2,206984,2.513240,207877,2.495832,6.950617e-03
(11#)90,208129,2.513207,209039,2.495980,6.878189e-03
(11#)181/2,209362,2.520880,210209,2.496122,9.869719e-03
(13#)7,210557,2.506060,211349,2.496265,3.916184e-03
(11#)183/2,211459,2.494267,212507,2.496402,-8.555968e-04
(11#)92,212644,2.547725,213659,2.496543,2.029383e-02
(11#)185/2,213784,2.541986,214817,2.496677,1.798502e-02
(11#)93,215854,2.563496,215983,2.496803,2.636084e-02
(11#)187/2,216917,2.525146,217121,2.496937,1.123410e-02
(11#)94,217697,2.481485,218287,2.497062,-6.257669e-03
(11#)189/2,219311,2.546183,219437,2.497191,1.942887e-02
(11#)95,220453,2.532386,220589,2.497306,1.394939e-02
(11#)191/2,221332,2.526687,221747,2.497427,1.164796e-02
(11#)96,222634,2.538822,222913,2.497546,1.639154e-02
(11#)193/2,223469,2.547178,224069,2.497660,1.963179e-02
(11#)97,225002,2.551522,225223,2.497773,2.129051e-02
(13#)15/2,225892,2.548480,226379,2.497885,2.005273e-02
(11#)98,227251,2.549104,227533,2.497994,2.025392e-02
(11#)197/2,228097,2.525164,228677,2.498102,1.077477e-02
(11#)99,229234,2.519971,229841,2.498208,8.673719e-03
(11#)199/2,230848,2.518411,230999,2.498310,8.013644e-03
(11#)100,231643,2.524351,232153,2.498411,1.032907e-02
(11#)201/2,232189,2.532524,233297,2.498511,1.352148e-02
(11#)101,233978,2.534564,234463,2.498608,1.428785e-02
(11#)203/2,235028,2.506846,235607,2.498703,3.253592e-03
(11#)102,236092,2.538865,236773,2.498797,1.590771e-02
(11#)205/2,237883,2.566648,237929,2.498888,2.675493e-02
(11#)103,238892,2.539570,239081,2.498980,1.611213e-02
(11#)207/2,239857,2.497741,240209,2.499066,-5.303387e-04
(13#)8,241393,2.514952,241393,2.499154,6.301443e-03
(11#)209/2,242119,2.534017,242533,2.499239,1.381951e-02
(11#)105,243043,2.536059,243703,2.499319,1.459301e-02
(11#)211/2,243736,2.522425,244859,2.499401,9.169637e-03
(11#)106,245587,2.544113,246011,2.499480,1.769935e-02
(11#)213/2,246518,2.561050,247141,2.499558,2.430341e-02
(11#)107,247868,2.534405,248323,2.499634,1.381457e-02
(11#)215/2,248867,2.548208,249463,2.499710,1.921564e-02
(11#)108,249512,2.527815,250619,2.499782,1.115177e-02
(11#)217/2,251081,2.534266,251789,2.499852,1.367252e-02
(11#)109,252071,2.523456,252937,2.499922,9.369859e-03
(11#)219/2,253741,2.514393,254083,2.499990,5.744691e-03
(11#)110,255214,2.528919,255253,2.500057,1.147841e-02
(17#)/2,259801,2.503359,262144,2.500121,1.294299e-03
(13#)9,272794,2.510783,285283,2.500836,3.969581e-03
(13#)19/2,285424,2.505523,300299,2.501333,1.673705e-03
(13#)10,303904,2.513081,315313,2.501639,4.563373e-03
(13#)21/2,324223,2.512902,330329,2.501779,4.436182e-03
(13#)11,340261,2.521429,345329,2.501633,7.882086e-03
(13#)23/2,354971,2.521369,360337,2.501378,7.960228e-03
(13#)12,366794,2.499164,375373,2.501016,-7.407734e-04
(13#)25/2,386068,2.523716,390389,2.500559,9.218112e-03
(13#)13,401509,2.524416,405401,2.500015,9.713017e-03
(13#)27/2,414448,2.520611,420419,2.499390,8.454630e-03
(13#)14,431146,2.523703,435427,2.498693,9.959472e-03
(13#)29/2,448444,2.521152,450431,2.497927,9.254752e-03
(13#)15,463549,2.513127,465463,2.497096,6.399338e-03
(13#)31/2,467009,2.541140,480463,2.496209,1.783962e-02
(13#)16,488339,2.536748,495491,2.495264,1.648841e-02
(13#)33/2,498436,2.527659,510481,2.494270,1.329748e-02
(17#),515611,2.539315,524288,2.493223,1.831811e-02
(13#)35/2,535858,2.540830,540539,2.492131,1.935263e-02
(13#)18,548461,2.531963,555523,2.490997,1.631186e-02
(13#)37/2,569077,2.543991,570569,2.489817,2.152489e-02
(13#)19,571262,2.550486,585581,2.488599,2.456403e-02
(13#)39/2,588338,2.563074,600577,2.487344,2.999184e-02
(13#)20,612022,2.551653,615607,2.486049,2.604668e-02
(13#)41/2,621472,2.552996,630613,2.484721,2.710719e-02
