FIRST,LAST,START,minAt,G(minAt),maxAt,G(maxAt),n_0,C_min(n_0),n_1,C_max(n_1),n_geom,<COUNT>,C_avg
4935,5039,(7#)47/2,4987,74,4935,292,4987,2.151973,4935,8.55995006,4987,135.085714,3.928458773
5040,5144,(7#)24,5086,76,5040,294,5086,2.176695,5040,8.47914389,5092,139.466667,3.991573907
5145,5249,(7#)49/2,5242,76,5145,290,5242,2.126897,5145,8.23437263,5197,143.009524,4.029583952
5250,5354,(7#)25,5308,80,5250,318,5308,2.217466,5250,8.88898687,5302,143.695238,3.987333044
5355,5459,(7#)51/2,5416,72,5355,312,5416,1.965120,5355,8.59144749,5407,144.838095,3.958874195
5460,5564,(7#)26,5557,86,5460,322,5557,2.301782,5460,8.73404796,5512,146.038095,3.932997871
5565,5669,(7#)53/2,5596,82,5565,316,5596,2.182571,5565,8.44836872,5617,148.247619,3.935195933
5670,5774,(7#)27,5728,86,5670,314,5728,2.248387,5670,8.27370483,5722,148.495238,3.886062230
5775,5879,(11#)5/2,5857,84,5775,358,5857,2.159168,5775,9.30254452,5827,153.047619,3.949550146
5880,5984,(7#)28,5906,92,5880,328,5906,2.349289,5880,8.40421431,5932,155.771429,3.965006529
5985,6089,(7#)57/2,6038,92,5985,356,6038,2.309643,5985,8.99970987,6037,158.057143,3.969178330
6090,6194,(7#)29,6131,90,6090,342,6131,2.233345,6090,8.52931444,6142,160.266667,3.971519167
6195,6299,(7#)59/2,6218,96,6195,350,6218,2.356115,6195,8.61597314,6247,163.638095,4.002366231
6300,6404,(7#)30,6353,88,6300,340,6353,2.124621,6300,8.26068737,6352,167.504762,4.044700161
6405,6509,(7#)61/2,6421,96,6405,366,6421,2.298798,6405,8.78106455,6457,168.514286,4.017797383
6510,6614,(7#)31,6568,102,6510,358,6568,2.399779,6510,8.48065427,6562,172.400000,4.059555183
6615,6719,(7#)63/2,6719,98,6615,364,6719,2.265862,6615,8.51815935,6667,173.847619,4.043817526
6720,6824,(7#)32,6791,106,6765,344,6791,2.430712,6765,7.91178535,6772,173.733333,3.992504559
6825,6929,(7#)65/2,6863,104,6825,402,6863,2.365471,6825,9.18281598,6877,178.590476,4.055639365
6930,7034,(11#)3,7024,104,6930,424,7024,2.323062,6930,9.57022794,6982,179.752381,4.034484259
7035,7139,(7#)67/2,7108,108,7035,388,7108,2.390305,7035,8.65754455,7087,180.666667,4.008335516
7140,7244,(7#)34,7219,94,7140,408,7219,2.055910,7140,8.99867832,7192,182.666667,4.006742264
7245,7349,(7#)69/2,7246,98,7245,408,7246,2.136908,7245,8.89869542,7297,183.600000,3.982324836
7350,7454,(7#)35,7351,102,7350,378,7351,2.199762,7350,8.15181074,7402,185.600000,3.981201480
7455,7559,(7#)71/2,7522,112,7455,414,7522,2.372402,7455,8.83168226,7507,187.028571,3.968241965
7560,7664,(7#)36,7561,110,7560,410,7561,2.321013,7560,8.65079274,7612,189.238095,3.972123085
7665,7769,(7#)73/2,7727,106,7665,410,7727,2.199214,7665,8.55978200,7717,189.980952,3.945571615
