START,n_0,C_min,Npred_0,Cbound,Lambda_min,Jitter,JitterRatio
(11#)189/2,219311,2.546183,219437,0.937447,9.991904e-01,0.024865,6.469881e+01
(11#)95,220453,2.532386,220589,0.943934,9.868610e-01,0.024756,6.416432e+01
(11#)191/2,221332,2.526687,221747,0.950524,9.776508e-01,0.024647,6.394949e+01
(11#)96,222634,2.538822,222913,0.956601,9.760691e-01,0.024532,6.449621e+01
(11#)193/2,223469,2.547178,224069,0.962508,9.731990e-01,0.024433,6.485777e+01
(11#)97,225002,2.551522,225223,0.968851,9.683345e-01,0.024328,6.505553e+01
(13#)15/2,225892,2.548480,226379,0.975158,9.606529e-01,0.024223,6.495157e+01
(11#)98,227251,2.549104,227533,0.981392,9.545252e-01,0.024120,6.499635e+01
(11#)197/2,228097,2.525164,228677,0.986703,9.396922e-01,0.024017,6.405717e+01
(11#)99,229234,2.519971,229841,0.992872,9.314009e-01,0.023915,6.385528e+01
(11#)199/2,230848,2.518411,230999,0.998900,9.247288e-01,0.023815,6.380479e+01
(11#)100,231643,2.524351,232153,1.004908,9.210880e-01,0.023715,6.407097e+01
(11#)201/2,232189,2.532524,233297,1.010954,9.183220e-01,0.023615,6.443235e+01
(11#)101,233978,2.534564,234463,1.015942,9.142054e-01,0.023518,6.457275e+01
(11#)203/2,235028,2.506846,235607,1.021765,8.974939e-01,0.024676,6.018321e+01
(11#)102,236092,2.538865,236773,1.027558,9.045320e-01,0.024575,6.149774e+01
(11#)205/2,237883,2.566648,237929,1.033321,9.098229e-01,0.024474,6.265126e+01
(11#)103,238892,2.539570,239081,1.039033,8.937043e-01,0.024374,6.156302e+01
(11#)207/2,239857,2.497741,240209,1.044035,8.722937e-01,0.024272,5.989230e+01
(13#)8,241393,2.514952,241393,1.049412,8.740237e-01,0.024178,6.061461e+01
(11#)209/2,242119,2.534017,242533,1.055062,8.762063e-01,0.024079,6.142095e+01
(11#)105,243043,2.536059,243703,1.060431,8.719359e-01,0.023984,6.152552e+01
(11#)211/2,243736,2.522425,244859,1.065884,8.614162e-01,0.023889,6.097120e+01
(11#)106,245587,2.544113,246011,1.071279,8.649288e-01,0.023795,6.189679e+01
(11#)213/2,246518,2.561050,247141,1.075806,8.673472e-01,0.023701,6.266588e+01
(11#)107,247868,2.534405,248323,1.081173,8.519123e-01,0.023607,6.155937e+01
(11#)215/2,248867,2.548208,249463,1.086474,8.524528e-01,0.023514,6.216441e+01
(11#)108,249512,2.527815,250619,1.091673,8.396439e-01,0.023423,6.131332e+01
(11#)217/2,251081,2.534266,251789,1.096799,8.375081e-01,0.023333,6.160661e+01
(11#)109,252071,2.523456,252937,1.101891,8.286016e-01,0.023244,6.115836e+01
(11#)219/2,253741,2.514393,254083,1.106502,8.208277e-01,0.023150,6.081603e+01
(11#)110,255214,2.528919,255253,1.111227,8.223271e-01,0.023066,6.146241e+01
(17#)/2,259801,2.503359,262144,1.116222,8.076837e-01,0.022979,6.036542e+01
(13#)9,272794,2.510783,285283,1.176648,7.579249e-01,0.021893,6.093888e+01
(13#)19/2,285424,2.505523,300299,1.230654,7.109518e-01,0.022050,5.781719e+01
(13#)10,303904,2.513081,315313,1.280173,6.745143e-01,0.021118,5.838185e+01
(13#)21/2,324223,2.512902,330329,1.325887,6.393566e-01,0.020269,5.856308e+01
(13#)11,340261,2.521429,345329,1.367580,6.117830e-01,0.019491,5.919907e+01
(13#)23/2,354971,2.521369,360337,1.405915,5.841137e-01,0.019780,5.639302e+01
