START,n_1,C_max,Npred_1,CpredAlign,Lambda_max,Jitter,JitterRatio
(11#)20,46410,9.792153,46410,10.542474,-7.383086e-02,0.385545,-1.946130e+00
(11#)41/2,47355,9.544881,47355,10.357714,-8.172658e-02,0.382368,-2.125787e+00
(11#)21,49140,9.403788,48510,10.109734,-7.238610e-02,0.379300,-1.861180e+00
(11#)43/2,49665,9.652483,49665,10.336109,-6.842831e-02,0.376415,-1.816150e+00
(11#)22,51870,9.998061,51870,10.446384,-4.386474e-02,0.373639,-1.199883e+00
(11#)45/2,51975,9.319346,51975,10.096113,-8.005810e-02,0.370983,-2.093809e+00
(11#)23,53130,9.893287,53130,10.543202,-6.362481e-02,0.368417,-1.764073e+00
(11#)47/2,54285,9.782592,54285,10.298607,-5.140418e-02,0.366026,-1.409777e+00
(11#)24,55440,9.563992,55965,10.123378,-5.684220e-02,0.363711,-1.537996e+00
(11#)49/2,56595,9.412843,56595,10.080657,-6.854336e-02,0.361492,-1.847381e+00
(11#)25,58695,9.539198,58695,10.103351,-5.745772e-02,0.359370,-1.569838e+00
(11#)51/2,58905,10.142189,58905,10.705633,-5.406622e-02,0.357334,-1.576800e+00
(13#)2,60060,10.288579,60060,10.933853,-6.082929e-02,0.355359,-1.815836e+00
(11#)53/2,61215,9.645349,61215,10.253481,-6.114142e-02,0.353505,-1.720292e+00
(11#)27,62790,9.835401,62790,10.308296,-4.696078e-02,0.351705,-1.344578e+00
(11#)55/2,64155,9.503376,64155,10.068687,-5.778323e-02,0.348353,-1.622811e+00
(11#)28,64680,9.447565,64680,10.059350,-6.274549e-02,0.346771,-1.764233e+00
(11#)57/2,65835,9.775358,65835,10.614075,-8.231625e-02,0.345259,-2.429241e+00
(11#)29,66990,9.806397,66990,10.405214,-5.927212e-02,0.343783,-1.741846e+00
(11#)59/2,68145,9.553680,68145,10.218187,-6.724274e-02,0.342416,-1.940642e+00
(11#)30,69615,10.095145,69615,10.470137,-3.647245e-02,0.341024,-1.099605e+00
(11#)61/2,70455,9.493966,70455,10.208110,-7.252611e-02,0.339734,-2.102069e+00
(11#)31,71610,9.744888,71610,10.372123,-6.237884e-02,0.338471,-1.853141e+00
(11#)63/2,73185,9.469595,72765,10.043468,-5.883633e-02,0.337280,-1.701473e+00
(11#)32,73920,9.405647,73920,10.041539,-6.542014e-02,0.336144,-1.891725e+00
(13#)5/2,75075,10.186498,75075,10.902758,-6.795271e-02,0.335014,-2.138002e+00
(11#)33,76230,9.455901,76230,10.037926,-5.973150e-02,0.333930,-1.742954e+00
(11#)67/2,77805,9.767826,77805,10.382706,-6.104761e-02,0.332899,-1.847047e+00
(11#)34,78540,10.054790,78540,10.666155,-5.902650e-02,0.331909,-1.841966e+00
(11#)69/2,79695,9.826196,79695,10.484075,-6.480559e-02,0.330955,-1.987821e+00
(11#)35,80850,9.539833,80850,10.031516,-5.025576e-02,0.330039,-1.489773e+00
(11#)71/2,82005,9.591568,82005,10.167346,-5.829679e-02,0.329172,-1.749169e+00
(11#)36,83160,9.450770,83160,10.028677,-5.935249e-02,0.328307,-1.760265e+00
(11#)73/2,84630,9.473560,84630,10.160751,-7.002763e-02,0.327490,-2.098358e+00
(11#)37,85470,9.638199,85470,10.296687,-6.608789e-02,0.326721,-2.015443e+00
(11#)75/2,86625,9.633766,86625,10.024846,-3.979242e-02,0.325956,-1.199795e+00
(11#)38,87780,9.960052,87780,10.580807,-6.045941e-02,0.325231,-1.908659e+00
(11#)77/2,88935,9.479594,88935,10.022538,-5.569488e-02,0.324523,-1.673053e+00
(13#)3,90090,10.384689,90090,10.884509,-4.700811e-02,0.323852,-1.543360e+00
(11#)79/2,91245,9.527128,91245,10.143426,-6.268247e-02,0.323206,-1.906826e+00
(11#)40,92820,9.906542,92820,10.437436,-5.220364e-02,0.322586,-1.645745e+00
(11#)81/2,94185,9.749013,94185,10.258978,-5.098715e-02,0.321990,-1.583791e+00
(11#)41,94710,9.931640,94710,10.260414,-3.256760e-02,0.321421,-1.022878e+00
(11#)83/2,95865,9.558347,95865,10.133628,-5.844464e-02,0.320874,-1.792858e+00
(11#)42,97020,9.523987,97020,10.015870,-5.035732e-02,0.320345,-1.535480e+00
(11#)85/2,98175,9.980537,98175,10.646536,-6.459765e-02,0.319840,-2.082287e+00
(11#)43,99330,9.799166,99330,10.245309,-4.452265e-02,0.319351,-1.397030e+00
(11#)87/2,100485,9.943739,100485,10.364355,-4.142938e-02,0.318891,-1.318995e+00
(11#)44,101745,9.570069,101745,10.136445,-5.749688e-02,0.318441,-1.778589e+00
(11#)89/2,103740,9.777616,103740,10.355788,-5.744987e-02,0.318015,-1.818064e+00
(11#)45,103950,9.396709,103950,10.011636,-6.338849e-02,0.317610,-1.936107e+00
(13#)7/2,105105,10.369661,105105,10.874113,-4.750063e-02,0.317218,-1.590236e+00
(11#)46,106260,9.973710,106260,10.461427,-4.774228e-02,0.316851,-1.539264e+00
(11#)93/2,107415,9.850016,107415,10.336494,-4.820763e-02,0.316495,-1.537079e+00
(11#)47,108570,9.594725,108570,10.219886,-6.312193e-02,0.316154,-1.977393e+00
(11#)95/2,109725,9.977625,109725,10.566016,-5.729773e-02,0.315831,-1.862993e+00
(11#)48,110880,9.317023,111930,10.042673,-7.500019e-02,0.315525,-2.299819e+00
(11#)97/2,112035,9.647747,112035,10.107779,-4.658090e-02,0.315233,-1.459339e+00
(11#)49,113190,9.403366,113190,10.007706,-6.228766e-02,0.314956,-1.918807e+00
(11#)99/2,114345,9.486057,114345,10.007336,-5.349540e-02,0.314694,-1.656463e+00
(11#)50,116025,9.850348,116025,10.422386,-5.644918e-02,0.314449,-1.819175e+00
(11#)101/2,116655,9.628890,116655,10.102312,-4.799640e-02,0.314211,-1.506702e+00
(11#)51,117810,10.147713,117810,10.637739,-4.715958e-02,0.313989,-1.560646e+00
(11#)103/2,118965,9.524198,118965,10.099843,-5.868420e-02,0.313784,-1.834527e+00
(13#)4,120120,10.204359,120120,10.868938,-6.309405e-02,0.313587,-2.119282e+00
(11#)105/2,121485,9.274371,121275,10.005599,-7.589000e-02,0.313404,-2.333179e+00
(11#)53,122430,9.681245,122430,10.191052,-5.131955e-02,0.313232,-1.627569e+00
(11#)107/2,123585,9.526135,123585,10.095376,-5.803841e-02,0.313073,-1.818237e+00
(11#)54,125580,9.672570,125580,10.242085,-5.721121e-02,0.312926,-1.819968e+00
(11#)109/2,126945,9.590620,126945,10.119635,-5.369204e-02,0.312790,-1.691278e+00
(11#)55,127050,9.418726,127050,10.004740,-6.035912e-02,0.312664,-1.874261e+00
(11#)111/2,128205,9.680654,128205,10.275154,-5.959932e-02,0.312549,-1.902103e+00
(11#)56,129675,9.747662,129675,10.345326,-5.950733e-02,0.312445,-1.912861e+00
(11#)113/2,130515,9.436153,130515,10.089750,-6.697165e-02,0.312351,-2.092507e+00
(11#)57,131670,9.975189,131670,10.561354,-5.710062e-02,0.312268,-1.877123e+00
(11#)115/2,132825,9.928326,132825,10.455216,-5.170911e-02,0.312194,-1.687701e+00
(11#)58,133980,9.877920,133980,10.354992,-4.716673e-02,0.312129,-1.528444e+00
(13#)9/2,135135,10.080482,135135,10.867473,-7.517314e-02,0.312075,-2.521801e+00
(11#)59,136290,9.615574,136290,10.170424,-5.609984e-02,0.312029,-1.778200e+00
(11#)119/2,137445,10.004697,137445,10.635644,-6.115631e-02,0.311992,-2.022318e+00
(11#)60,139230,9.922095,139230,10.416996,-4.867457e-02,0.311964,-1.586403e+00
(11#)121/2,139755,9.597896,139755,10.004427,-4.148377e-02,0.311945,-1.303213e+00
(11#)61,140910,9.688002,140910,10.164968,-4.805912e-02,0.311934,-1.529062e+00
(11#)123/2,142065,9.626506,142065,10.247341,-6.249796e-02,0.311932,-1.990291e+00
(11#)62,143220,9.782290,143220,10.331143,-5.458933e-02,0.311937,-1.759500e+00
(11#)125/2,144690,9.445858,144690,10.004782,-5.748679e-02,0.311951,-1.791703e+00
(11#)63,145530,9.559754,145530,10.004908,-4.551378e-02,0.311973,-1.426899e+00
(11#)127/2,146685,9.427700,146685,10.080785,-6.697900e-02,0.312002,-2.093209e+00
(11#)64,148785,9.465593,147840,10.005193,-5.544078e-02,0.312014,-1.729408e+00
(11#)129/2,148995,9.755420,148995,10.236268,-4.811412e-02,0.312039,-1.540988e+00
(13#)5,150150,10.404410,150150,10.868770,-4.366378e-02,0.312083,-1.487937e+00
(11#)131/2,151305,9.533532,151515,10.079113,-5.564997e-02,0.312134,-1.747906e+00
(11#)66,152460,9.548055,152460,10.005922,-4.683967e-02,0.312193,-1.466616e+00
(11#)133/2,153615,9.982228,153615,10.563032,-5.655405e-02,0.312259,-1.860007e+00
(11#)67,155610,9.831406,155610,10.343952,-5.082008e-02,0.312331,-1.641036e+00
(11#)135/2,156975,9.734691,156975,10.239908,-5.059675e-02,0.312410,-1.617160e+00
(11#)68,157080,10.192158,157080,10.638092,-4.282257e-02,0.312495,-1.427012e+00
(11#)137/2,158235,9.702694,158340,10.141672,-4.424934e-02,0.312588,-1.404336e+00
(11#)69,159390,9.906918,159390,10.458180,-5.415115e-02,0.312686,-1.762989e+00
(11#)139/2,160545,9.496763,160545,10.076758,-5.928060e-02,0.312791,-1.854258e+00
(11#)70,162435,9.943426,162435,10.417635,-4.658844e-02,0.312904,-1.515510e+00
(11#)141/2,162855,9.628458,162855,10.218620,-5.948849e-02,0.313020,-1.885382e+00
(11#)71,164010,9.663285,164010,10.145761,-4.872231e-02,0.313142,-1.540757e+00
(13#)11/2,165165,10.334154,165165,10.872205,-5.075525e-02,0.313272,-1.717522e+00
(11#)72,166320,9.346217,166320,10.009216,-6.853464e-02,0.313409,-2.115445e+00
(11#)145/2,167475,9.658814,167475,10.360172,-7.009796e-02,0.313547,-2.236851e+00
(11#)73,169260,9.549773,169575,10.143245,-6.029057e-02,0.313692,-1.891894e+00
(11#)147/2,169785,9.583279,169785,10.010276,-4.359236e-02,0.313844,-1.360539e+00
(11#)74,170940,9.716039,170940,10.281114,-5.653064e-02,0.314002,-1.799592e+00
(11#)149/2,172095,9.556952,172095,10.075423,-5.283021e-02,0.314163,-1.650324e+00
(11#)75,173250,9.416377,173250,10.011418,-6.127582e-02,0.314330,-1.893045e+00
(11#)151/2,174405,9.534762,174405,10.075349,-5.514750e-02,0.314503,-1.718862e+00
(11#)76,175560,9.990681,175560,10.569064,-5.627852e-02,0.314682,-1.837993e+00
(11#)153/2,176715,10.022134,176715,10.643840,-6.018526e-02,0.314863,-1.974528e+00
(11#)77,177870,9.435338,177870,10.013066,-5.942885e-02,0.315051,-1.833761e+00
(11#)155/2,179025,9.972932,179025,10.339917,-3.613724e-02,0.315243,-1.164134e+00
(13#)6,180180,10.364905,180180,10.877355,-4.825754e-02,0.315440,-1.624557e+00
(11#)157/2,181545,9.757087,181545,10.348314,-5.882976e-02,0.315645,-1.873077e+00
(11#)79,182910,9.439351,182490,10.137786,-7.138241e-02,0.315851,-2.211280e+00
(11#)159/2,183645,9.631844,183645,10.200924,-5.740362e-02,0.316060,-1.800545e+00
(11#)80,185640,9.865567,185640,10.422401,-5.490677e-02,0.316275,-1.760599e+00
(11#)161/2,185955,9.899162,185955,10.467027,-5.577989e-02,0.316496,-1.794224e+00
(11#)81,187110,9.429049,187110,10.016766,-6.046510e-02,0.316720,-1.855637e+00
(11#)163/2,188370,9.673949,188370,10.246039,-5.745461e-02,0.316950,-1.804986e+00
(11#)82,189420,9.728915,189420,10.260477,-5.319695e-02,0.317182,-1.675890e+00
