alpha,n_min_lambda,min_lambda,n_max_lambda,max_lambda
1.0,2092044,0.00893672,2078856,0.01348549
1.0,2018313,0.01093363,2032992,0.01418931
1.0,1766634,0.01060717,1791606,0.01393942
1.0,1560309,0.01223809,1696959,0.01530632
1.0,1508286,0.01220009,1375713,0.01526076
1.0,1217613,0.01423976,1274004,0.01745904
1.0,1168869,0.01642297,1070628,0.01930875
1.0,919581,0.01732289,873171,0.02127298
1.0,789321,0.01738615,698724,0.0246305
1.0,593541,0.02065123,477669,0.03323937
1.0,444639,0.03184282,284271,0.04970488
1.0,254904,0.05110564,245310,0.06274013
1.0,235296,0.05445877,236529,0.06383053
1.0,228462,0.05309855,223977,0.06819122
1.0,213486,0.0591646,201552,0.06980992
1.0,198645,0.06714886,192270,0.07673924
1.0,180414,0.07370279,176172,0.08312285
1.0,162486,0.07559856,161322,0.09123753
1.0,156774,0.08124297,147927,0.09117621
1.0,145236,0.08749341,134901,0.10210938
1.0,130611,0.09683597,122889,0.10948287
1.0,106392,0.09257655,116883,0.1158336
1.0,94809,0.08436742,98787,0.10405524
1.0,82269,0.08600119,83421,0.09607201
1.0,62634,0.07174515,75075,0.09140651
1.0,60489,0.06741761,55614,0.08451916
1.0,35061,0.06560764,46464,0.08523502
1.0,21639,0.07475314,23244,0.08719359
1.0,18216,0.08285677,14685,0.11610158
1.0,13299,0.0989093,13365,0.12624982
1.0,12876,0.0843228,12081,0.13741092
1.0,10614,0.11581489,11220,0.14182316
1.0,10374,0.11455471,9867,0.13968924
1.0,8721,0.09964377,8034,0.16210853
1.0,7161,0.13521685,6765,0.17519621
1.0,6324,0.15091042,5757,0.18291629
1.0,5343,0.17367877,4794,0.2247003
1.0,4056,0.21432163,3168,0.27886812
1.0,2871,0.28891894,1791,0.41994589
1.0,1677,0.45944049,1140,0.71224369
1.0,924,0.46093583,1035,0.68840073
1.0,693,0.46258215,780,0.64241589
1.0,663,0.58286115,678,0.67212348
