START,n_geom,C_avg,Cpred_avg,Lambda_avg
(5PR)37,1117,3.861687,4.032453,-4.327076e-02
(5PR)75/2,1132,1.551906,3.969555,-9.391702e-01
(5PR)38,1147,1.534518,3.927752,-9.398510e-01
(11PR)/2,1206,3.279993,4.006264,-2.000178e-01
(7PR)6,1311,3.591488,3.997231,-1.070354e-01
(7PR)13/2,1416,3.779382,4.000410,-5.683650e-02
(7PR)7,1521,4.162393,3.999449,3.993349e-02
(7PR)15/2,1626,4.285611,4.000424,6.886278e-02
(7PR)8,1731,3.471270,3.997962,-1.412643e-01
(7PR)17/2,1836,3.149426,4.003938,-2.400581e-01
(7PR)9,1941,2.857426,3.995061,-3.351376e-01
(7PR)19/2,2046,4.361611,3.999301,8.672191e-02
(7PR)10,2151,3.263296,4.000193,-2.036047e-01
(7PR)21/2,2256,3.951147,3.995229,-1.109507e-02
(11PR),2361,5.137592,4.004953,2.490528e-01
(7PR)23/2,2466,2.662032,3.999493,-4.070778e-01
(7PR)12,2571,2.636480,4.001849,-4.173117e-01
(7PR)25/2,2676,6.295378,3.993809,4.550702e-01
(7PR)13,2782,4.323128,4.003486,7.681391e-02
(7PR)27/2,2887,3.392633,4.000257,-1.647522e-01
(7PR)14,2992,3.136203,3.999764,-2.432226e-01
(7PR)29/2,3097,2.547715,4.000377,-4.511915e-01
(7PR)15,3202,3.431181,3.998226,-1.529464e-01
(7PR)31/2,3307,4.489718,3.999935,1.155118e-01
(7PR)16,3412,3.225840,3.992372,-2.131923e-01
(11PR)3/2,3517,4.755350,4.007124,1.711966e-01
(7PR)17,3622,4.677110,4.002755,1.556975e-01
(7PR)35/2,3727,3.684830,3.994663,-8.073473e-02
(7PR)18,3832,3.795364,3.999136,-5.229784e-02
(7PR)37/2,3937,4.152012,3.996215,3.824514e-02
(7PR)19,4042,3.794931,4.008094,-5.464940e-02
(7PR)39/2,4147,3.777841,4.000344,-5.722765e-02
(7PR)20,4252,4.133503,4.000686,3.265922e-02
(7PR)41/2,4357,3.029972,3.998054,-2.772542e-01
(7PR)21,4462,3.610071,3.998123,-1.020976e-01
(7PR)43/2,4567,3.762205,3.996247,-6.035036e-02
(11PR)2,4672,3.921372,4.002432,-2.046075e-02
(7PR)45/2,4777,3.172584,4.000285,-2.318192e-01
(7PR)23,4882,3.374634,3.999386,-1.698541e-01
(7PR)47/2,4987,5.332556,4.002775,2.868428e-01
(7PR)24,5092,3.706214,3.994823,-7.498857e-02
(7PR)49/2,5197,3.147662,4.005299,-2.409581e-01
(7PR)25,5302,2.974224,3.992028,-2.943163e-01
(7PR)51/2,5407,4.388705,4.005793,9.129259e-02
(7PR)26,5512,4.414440,3.998802,9.888601e-02
(7PR)53/2,5617,4.047939,4.002438,1.130402e-02
(7PR)27,5722,4.297385,3.995633,7.280465e-02
(11PR)5/2,5827,4.855702,4.002024,1.933536e-01
(7PR)28,5932,3.024589,4.000723,-2.796997e-01
(7PR)57/2,6037,3.045948,3.996652,-2.716450e-01
(7PR)29,6142,4.143895,4.001405,3.499053e-02
(7PR)59/2,6247,4.910412,3.999109,2.052864e-01
(7PR)30,6352,4.544922,4.002614,1.270628e-01
(7PR)61/2,6457,2.861461,3.995303,-3.337871e-01
(7PR)31,6562,3.086325,4.004270,-2.603804e-01
(7PR)63/2,6667,3.892659,3.997056,-2.646577e-02
(7PR)32,6772,4.402532,3.997636,9.647678e-02
(7PR)65/2,6877,4.475183,3.999551,1.123652e-01
(11PR)3,6982,4.194096,4.004543,4.624833e-02
(7PR)67/2,7087,3.462324,4.002235,-1.449130e-01
(7PR)34,7192,3.210228,3.997490,-2.193249e-01
(7PR)69/2,7297,2.882402,4.001147,-3.279572e-01
(7PR)35,7402,3.017601,3.999249,-2.816443e-01
(7PR)71/2,7507,4.583949,3.997626,1.368602e-01
(7PR)36,7612,5.587630,4.002884,3.335402e-01
(7PR)73/2,7717,3.660461,3.998897,-8.842946e-02
(7PR)37,7822,3.687582,3.999406,-8.117473e-02
(7PR)75/2,7927,3.209420,3.995706,-2.191300e-01
(7PR)38,8032,3.352187,3.998947,-1.764182e-01
(11PR)7/2,8137,3.829732,4.004425,-4.460518e-02
(7PR)39,8242,3.982502,4.002493,-5.007042e-03
(7PR)79/2,8347,3.635114,4.001359,-9.599355e-02
(7PR)40,8452,3.184831,3.998216,-2.274490e-01
(7PR)81/2,8557,3.621168,3.995733,-9.843040e-02
(7PR)41,8662,4.843150,4.002174,1.907277e-01
(7PR)83/2,8767,4.958622,4.000354,2.147451e-01
(7PR)42,8872,4.170487,3.997010,4.248612e-02
(7PR)85/2,8977,3.660153,4.004610,-8.994121e-02
(7PR)43,9082,4.015778,3.996843,4.726296e-03
(7PR)87/2,9187,3.880853,3.997379,-2.958391e-02
(11PR)4,9292,4.672227,4.002794,1.546432e-01
(7PR)89/2,9397,4.703925,4.001493,1.617297e-01
(7PR)45,9502,4.265424,3.996509,6.512024e-02
(7PR)91/2,9607,3.769840,4.003777,-6.020548e-02
(7PR)46,9712,4.222331,3.997328,5.476124e-02
(7PR)93/2,9817,4.359307,4.006406,8.441856e-02
(7PR)47,9922,3.590975,3.992192,-1.059165e-01
(7PR)95/2,10027,3.633114,4.004684,-9.737453e-02
(7PR)48,10132,3.788820,3.997364,-5.358059e-02
(7PR)97/2,10237,4.380039,3.999516,9.088428e-02
(7PR)49,10342,3.990818,3.996883,-1.518661e-03
(11PR)9/2,10447,3.509779,4.004971,-1.319831e-01
(7PR)50,10552,3.489028,3.999020,-1.364264e-01
(7PR)101/2,10657,3.404699,3.997004,-1.603884e-01
(7PR)51,10762,3.839854,4.004434,-4.196781e-02
(7PR)103/2,10867,3.332157,3.995231,-1.814813e-01
(7PR)52,10972,3.722130,4.006160,-7.353701e-02
(7PR)105/2,11077,3.522816,3.997204,-1.263347e-01
(7PR)53,11182,3.703904,4.004845,-7.811734e-02
(7PR)107/2,11287,3.603167,3.995365,-1.033219e-01
(7PR)54,11392,3.557833,3.999995,-1.171415e-01
(7PR)109/2,11497,3.085533,3.995713,-2.584974e-01
(11PR)5,11602,3.221179,4.000421,-2.166522e-01
(7PR)111/2,11707,3.316689,4.003965,-1.883180e-01
(7PR)56,11812,4.066890,3.997189,1.728731e-02
(7PR)113/2,11917,4.455956,3.997936,1.084634e-01
(7PR)57,12022,4.171502,3.997909,4.250469e-02
(7PR)115/2,12127,4.118083,4.004925,2.786286e-02
(7PR)58,12232,3.913060,4.000860,-2.218981e-02
(7PR)117/2,12337,4.297948,4.000395,7.174462e-02
