START,n_0,C_min,Npred_0,Cpred_min,n_1,C_max,Npred_1,Cpred_max,n_geom,C_avg,Cpred_avg,n_v,Calign_min,n_u,Calign_max,n_a,Cbound_min,n_b,Cbound_max
7PR24,5081,2.631925,5119,2.869513,5040,9.06272870,5040,9.18067377,5092,4.257055320,4.340148688,5051,2.569738,5040,9.48058543,5119,1.272006,5040,10.77337267
7PR49/2,5242,2.568675,5209,2.868784,5145,9.26634314,5145,9.18058735,5197,4.297763657,4.350548139,5167,2.570037,5145,9.47954218,5237,1.263864,5145,10.77969856
7PR25,5272,2.500832,5351,2.868669,5250,8.92257583,5250,9.17811589,5302,4.246679547,4.335900910,5261,2.570758,5250,9.47617205,5351,1.256392,5250,10.78384337
7PR51/2,5416,2.532320,5419,2.867982,5355,9.26359022,5355,9.78988228,5407,4.264882656,4.349899368,5381,2.570984,5355,10.08709492,5458,1.249027,5355,11.40242227
7PR26,5557,2.563894,5563,2.867863,5460,9.67967805,5460,10.00976638,5512,4.245234289,4.342073804,5471,2.571580,5460,10.30620796,5563,1.241276,5460,11.62930937
7PR53/2,5578,2.556758,5669,2.867167,5565,9.21035785,5565,9.35342513,5617,4.234121683,4.344994711,5569,2.571576,5565,9.64912451,5623,1.237628,5565,10.98014927
7PR27,5728,2.557604,5749,2.867100,5670,8.99520612,5670,9.17318271,5722,4.229502009,4.337478760,5683,2.572236,5670,9.46816861,5674,1.247639,5670,10.79368052
11PR5/2,5836,2.546932,5839,2.866437,5775,10.13828376,5775,10.19228835,5827,4.226339540,4.343517383,5801,2.572271,5775,10.48662516,5779,1.266046,5775,11.79322025
7PR28,5923,2.517829,5981,2.866318,5880,8.87469007,5880,9.17080523,5932,4.199027392,4.341876733,5881,2.572677,5880,9.46453588,5881,1.284613,5880,10.75277460
7PR57/2,6046,2.528853,6047,2.865695,5985,9.42257048,5985,9.71012549,6037,4.211564753,4.336585766,6007,2.572662,5985,10.00329092,5987,1.303081,5985,11.27370685
7PR29,6184,2.559927,6173,2.865590,6090,9.21957184,6090,9.50805885,6142,4.214549501,4.341518386,6091,2.573025,6090,9.80069816,6091,1.320088,6090,11.05379968
7PR59/2,6211,2.576152,6257,2.864970,6195,8.84693819,6195,9.32919597,6247,4.224606141,4.338176369,6217,2.572938,6195,9.62134653,6197,1.337476,6195,10.85761847
7PR30,6361,2.479787,6397,2.864854,6300,8.68229684,6300,9.16622141,6352,4.250303708,4.341756182,6301,2.573241,6300,9.45791895,6301,1.353492,6300,10.67782401
7PR61/2,6406,2.490436,6469,2.864262,6405,9.32807558,6405,9.32143602,6457,4.246400387,4.333161042,6449,2.573157,6405,9.61271477,6406,1.370155,6405,10.81669490
7PR31,6607,2.597988,6607,2.864148,6510,9.11403444,6510,9.48001225,6562,4.259205560,4.342505013,6521,2.573367,6510,9.77090499,6514,1.385864,6510,10.95938263
7PR63/2,6616,2.523767,6719,2.863540,6615,9.02473421,6615,9.16386518,6667,4.266146515,4.334188043,6679,2.573231,6615,9.45440334,6619,1.400808,6615,10.62778258
7PR32,6781,2.522179,6823,2.863454,6720,8.58515034,6720,9.16185494,6772,4.237515768,4.334289578,6733,2.573355,6720,9.45206867,6722,1.415335,6720,10.61073633
7PR65/2,6826,2.462926,6917,2.862878,6825,9.82960712,6825,9.99458749,6877,4.240085547,4.336035711,6911,2.573183,6825,10.28450575,6827,1.429485,6825,11.42883232
11PR3,6967,2.538098,7027,2.862788,6930,9.98859208,6930,10.17749890,6982,4.260543004,4.340779670,6947,2.573246,6930,10.46714953,6934,1.443796,6930,11.59749017
