START,n_0,C_min,Npred_0,CpredAlign,Lambda_min,Jitter,JitterRatio,Status
13PR29,881446,2.717750,885883,2.692095,9.484631e-03,0.093570,2.741798e-01,EXPECTED
13PR59/2,891991,2.715980,900869,2.692708,8.605467e-03,0.092708,2.510247e-01,EXPECTED
13PR30,915253,2.707576,915911,2.693508,5.209336e-03,0.091662,1.534769e-01,EXPECTED
13PR61/2,922639,2.714421,930911,2.694356,7.419456e-03,0.090606,2.214533e-01,EXPECTED
13PR31,933458,2.722771,945943,2.695086,1.022000e-02,0.089914,3.079053e-01,EXPECTED
13PR63/2,954094,2.707340,960941,2.695690,4.312402e-03,0.088908,1.310343e-01,EXPECTED
13PR32,968911,2.720188,975967,2.696216,8.851687e-03,0.088214,2.717482e-01,EXPECTED
13PR65/2,990532,2.715933,990989,2.696885,7.038137e-03,0.087398,2.179455e-01,EXPECTED
13PR33,998287,2.720834,1006003,2.697636,8.562617e-03,0.086445,2.683556e-01,EXPECTED
13PR67/2,1007119,2.713696,1021019,2.698097,5.764834e-03,0.085807,1.817917e-01,EXPECTED
17PR2,1030384,2.719654,1036027,2.698698,7.735232e-03,0.085019,2.464861e-01,EXPECTED
13PR69/2,1045292,2.717688,1051027,2.699267,6.801264e-03,0.084304,2.185068e-01,EXPECTED
13PR35,1052873,2.723598,1066063,2.699965,8.714990e-03,0.083392,2.833965e-01,EXPECTED
13PR71/2,1074559,2.728568,1081079,2.700382,1.038368e-02,0.082838,3.402545e-01,EXPECTED
13PR36,1093418,2.726444,1096079,2.700875,9.422401e-03,0.082187,3.111076e-01,EXPECTED
13PR73/2,1109492,2.727534,1111091,2.701436,9.614421e-03,0.081503,3.202091e-01,EXPECTED
13PR37,1114444,2.725505,1126093,2.701846,8.718489e-03,0.080914,2.923969e-01,EXPECTED
13PR75/2,1135261,2.712789,1141139,2.702387,3.841800e-03,0.080238,1.296393e-01,EXPECTED
13PR38,1151383,2.731348,1156151,2.702870,1.048109e-02,0.079557,3.579572e-01,EXPECTED
13PR77/2,1168532,2.727386,1171133,2.703268,8.882230e-03,0.079049,3.051019e-01,EXPECTED
13PR39,1174144,2.724530,1186181,2.703691,7.678060e-03,0.078467,2.655766e-01,EXPECTED
13PR79/2,1200616,2.718360,1201183,2.704214,5.217460e-03,0.077768,1.819000e-01,EXPECTED
13PR40,1204402,2.722110,1216213,2.704644,6.437019e-03,0.077269,2.260415e-01,EXPECTED
13PR81/2,1228712,2.726148,1231229,2.704980,7.795105e-03,0.076752,2.757974e-01,EXPECTED
13PR41,1238318,2.716586,1246243,2.705357,4.142063e-03,0.076237,1.472907e-01,EXPECTED
13PR83/2,1251961,2.726792,1261259,2.705823,7.719709e-03,0.075608,2.773384e-01,EXPECTED
13PR42,1265969,2.706811,1276271,2.706154,2.427505e-04,0.075159,8.741468e-03,EXPECTED
17PR5/2,1276538,2.717333,1291271,2.706545,3.977971e-03,0.074686,1.444447e-01,EXPECTED
13PR43,1294324,2.724163,1306289,2.706901,6.356787e-03,0.074141,2.328266e-01,EXPECTED
13PR87/2,1307788,2.725882,1321319,2.707285,6.845758e-03,0.073617,2.526183e-01,EXPECTED
13PR44,1327552,2.721881,1336333,2.707586,5.265722e-03,0.073205,1.952735e-01,EXPECTED
13PR89/2,1344886,2.719893,1351327,2.707931,4.407667e-03,0.072778,1.643629e-01,EXPECTED
13PR45,1360537,2.720300,1366349,2.708301,4.420667e-03,0.072297,1.659682e-01,EXPECTED
13PR91/2,1367291,2.723954,1381349,2.708713,5.610887e-03,0.071665,2.126701e-01,EXPECTED
13PR46,1385044,2.721107,1396393,2.709007,4.456636e-03,0.071388,1.694963e-01,EXPECTED
13PR93/2,1403296,2.725260,1411387,2.709203,5.909341e-03,0.071010,2.261231e-01,EXPECTED
13PR47,1412239,2.728905,1426393,2.709484,7.142219e-03,0.070582,2.751551e-01,EXPECTED
13PR95/2,1427329,2.725786,1441439,2.709824,5.873139e-03,0.070172,2.274696e-01,EXPECTED
13PR48,1444096,2.725336,1456451,2.710171,5.579991e-03,0.069643,2.177534e-01,EXPECTED
13PR97/2,1470149,2.723868,1471447,2.710366,4.969248e-03,0.069375,1.946234e-01,EXPECTED
13PR49,1473959,2.728227,1486451,2.710632,6.470130e-03,0.068978,2.550813e-01,EXPECTED
13PR99/2,1500799,2.720761,1501499,2.710958,3.609543e-03,0.068597,1.429071e-01,EXPECTED
13PR50,1512097,2.722303,1516513,2.711292,4.052939e-03,0.068078,1.617409e-01,EXPECTED
13PR101/2,1524571,2.720972,1531499,2.711437,3.510417e-03,0.067846,1.405389e-01,EXPECTED
17PR3,1540696,2.723631,1546537,2.711729,4.379478e-03,0.067441,1.764802e-01,EXPECTED
13PR103/2,1559146,2.714945,1561559,2.712003,1.084219e-03,0.067063,4.386920e-02,EXPECTED
13PR52,1563631,2.720486,1576571,2.712255,3.030149e-03,0.066674,1.234514e-01,EXPECTED
13PR105/2,1576774,2.721655,1591589,2.712419,3.399294e-03,0.066435,1.390231e-01,EXPECTED
13PR53,1599877,2.725090,1606603,2.712658,4.572489e-03,0.066083,1.881271e-01,EXPECTED
13PR107/2,1608961,2.726585,1621619,2.713019,4.987873e-03,0.065561,2.069218e-01,EXPECTED
13PR54,1625588,2.725489,1636627,2.713217,4.512846e-03,0.065283,1.879816e-01,EXPECTED
13PR109/2,1651192,2.726353,1651621,2.713371,4.773045e-03,0.065056,1.995512e-01,EXPECTED
13PR55,1664302,2.730072,1666657,2.713618,6.045183e-03,0.064790,2.539589e-01,EXPECTED
13PR111/2,1667251,2.722464,1681679,2.713805,3.185643e-03,0.064435,1.343835e-01,EXPECTED
13PR56,1693639,2.718244,1696693,2.714081,1.532677e-03,0.064120,6.492514e-02,EXPECTED
13PR113/2,1704121,2.726094,1711687,2.714203,4.371459e-03,0.063829,1.862946e-01,EXPECTED
13PR57,1720339,2.733698,1726693,2.714430,7.073285e-03,0.063558,3.031562e-01,EXPECTED
13PR115/2,1731853,2.727102,1741723,2.714581,4.601893e-03,0.063269,1.979010e-01,EXPECTED
13PR58,1750069,2.724857,1756747,2.714779,3.705399e-03,0.062989,1.599962e-01,EXPECTED
13PR117/2,1765744,2.720193,1771751,2.715016,1.904987e-03,0.062638,8.264951e-02,EXPECTED
13PR59,1775638,2.724874,1786781,2.715142,3.577934e-03,0.062442,1.558566e-01,EXPECTED
17PR7/2,1796299,2.727206,1801781,2.715322,4.367095e-03,0.062184,1.911103e-01,EXPECTED
13PR60,1807084,2.719154,1816813,2.715607,1.305301e-03,0.061760,5.743199e-02,EXPECTED
13PR121/2,1827934,2.729977,1831811,2.715763,5.220239e-03,0.061509,2.310881e-01,EXPECTED
13PR61,1844978,2.726073,1846843,2.715891,3.742036e-03,0.061325,1.660334e-01,EXPECTED
13PR123/2,1858867,2.722198,1861859,2.716046,2.262496e-03,0.061104,1.006808e-01,EXPECTED
13PR62,1872394,2.726872,1876859,2.716242,3.905857e-03,0.060871,1.746316e-01,EXPECTED
13PR125/2,1878493,2.729469,1891889,2.716392,4.802556e-03,0.060632,2.156782e-01,EXPECTED
13PR63,1897624,2.721163,1906889,2.716576,1.687099e-03,0.060283,7.609110e-02,EXPECTED
13PR127/2,1907704,2.727417,1921919,2.716677,3.945565e-03,0.060112,1.786665e-01,EXPECTED
13PR64,1930939,2.732325,1936889,2.716908,5.658426e-03,0.059765,2.579603e-01,EXPECTED
13PR129/2,1941469,2.730351,1951949,2.717011,4.897793e-03,0.059670,2.235629e-01,EXPECTED
13PR65,1954412,2.735814,1966963,2.717188,6.831493e-03,0.059366,3.137486e-01,EXPECTED
13PR131/2,1981834,2.730955,1981963,2.717323,5.004160e-03,0.059115,2.306014e-01,EXPECTED
13PR66,1988632,2.729040,1996979,2.717412,4.269942e-03,0.058982,1.971449e-01,EXPECTED
13PR133/2,2002307,2.722427,2012009,2.717620,1.767265e-03,0.058662,8.194402e-02,EXPECTED
13PR67,2012611,2.724440,2027023,2.717778,2.448268e-03,0.058457,1.139641e-01,EXPECTED
13PR135/2,2029351,2.725225,2042039,2.717848,2.710603e-03,0.058296,1.265438e-01,EXPECTED
17PR4,2047114,2.729384,2057053,2.717966,4.192136e-03,0.058110,1.964894e-01,EXPECTED
13PR137/2,2064379,2.726079,2072053,2.718129,2.920537e-03,0.057894,1.373199e-01,EXPECTED
13PR69,2079739,2.725196,2087081,2.718302,2.532931e-03,0.057587,1.197145e-01,EXPECTED
13PR139/2,2098952,2.733566,2102099,2.718396,5.564983e-03,0.057451,2.640511e-01,EXPECTED
13PR70,2111236,2.732502,2117099,2.718484,5.143301e-03,0.057288,2.446935e-01,EXPECTED
13PR141/2,2123806,2.728540,2132129,2.718655,3.629395e-03,0.057045,1.732842e-01,EXPECTED
13PR71,2140441,2.725924,2147137,2.718740,2.638916e-03,0.056888,1.262832e-01,EXPECTED
13PR143/2,2148448,2.728640,2162137,2.718886,3.581079e-03,0.056652,1.721740e-01,EXPECTED
13PR72,2162191,2.726269,2177167,2.718998,2.670578e-03,0.056467,1.287655e-01,EXPECTED
13PR145/2,2179921,2.726283,2192161,2.719108,2.635258e-03,0.056304,1.274332e-01,EXPECTED
13PR73,2205706,2.732240,2207203,2.719232,4.772298e-03,0.056105,2.318510e-01,EXPECTED
13PR147/2,2210389,2.726855,2222219,2.719345,2.757888e-03,0.055901,1.343446e-01,EXPECTED
13PR74,2223541,2.729842,2237219,2.719474,3.805253e-03,0.055690,1.861735e-01,EXPECTED
13PR149/2,2248084,2.731893,2252233,2.719556,4.526144e-03,0.055570,2.220083e-01,EXPECTED
13PR75,2252732,2.728165,2267263,2.719670,3.118673e-03,0.055380,1.533947e-01,EXPECTED
13PR151/2,2267977,2.732545,2282257,2.719779,4.682782e-03,0.055190,2.313100e-01,EXPECTED
13PR76,2284624,2.729237,2297291,2.719881,3.433954e-03,0.055024,1.700349e-01,EXPECTED
17PR9/2,2310019,2.730833,2312293,2.719998,3.975546e-03,0.054838,1.975820e-01,EXPECTED
13PR77,2322961,2.732496,2327323,2.720161,4.524407e-03,0.054597,2.259282e-01,EXPECTED
13PR155/2,2341162,2.729397,2342309,2.720207,3.372725e-03,0.054483,1.686765e-01,EXPECTED
13PR78,2355079,2.734667,2357353,2.720293,5.270078e-03,0.054329,2.645732e-01,EXPECTED
13PR157/2,2365453,2.732138,2372369,2.720402,4.304789e-03,0.054215,2.164715e-01,EXPECTED
