START,n_0,C_min,Npred_0,CpredAlign,Lambda_min,Jitter,JitterRatio
17PR283/2,72310474,2.514123,72492419,2.302031,8.813226e-02,93.897180,7.810441e+00
17PR142,72599539,2.508106,72747673,2.302216,8.565575e-02,93.897180,7.605791e+00
19PR15/2,72889561,2.527430,73002877,2.302400,9.325092e-02,93.897180,8.338778e+00
17PR143,73122319,2.528882,73258169,2.302582,9.374621e-02,93.897180,8.411920e+00
17PR287/2,73481732,2.514446,73513421,2.302762,8.794323e-02,93.897180,7.893005e+00
17PR144,73743794,2.517321,73768691,2.302940,8.900867e-02,93.897180,8.018255e+00
17PR289/2,73988492,2.517864,74023903,2.303116,8.914793e-02,94.808973,7.979215e+00
17PR145,74154749,2.519645,74279201,2.303291,8.977905e-02,94.808973,8.063548e+00
17PR291/2,74495501,2.507693,74534459,2.303463,8.494956e-02,94.808973,7.634951e+00
17PR146,74631248,2.513780,74789713,2.303634,8.729972e-02,94.808973,7.880047e+00
17PR293/2,74916812,2.515926,75044969,2.303803,8.807969e-02,95.720766,7.902331e+00
17PR147,75122981,2.506981,75300223,2.303970,8.444552e-02,95.720766,7.585760e+00
17PR295/2,75418661,2.488184,75555479,2.304131,7.684953e-02,95.720766,6.898109e+00
17PR148,75717767,2.522280,75810697,2.304287,9.039195e-02,95.720766,8.194695e+00
17PR297/2,75955757,2.519687,76065989,2.304449,8.929309e-02,95.720766,8.115369e+00
17PR149,76101607,2.527022,76321207,2.304609,9.213050e-02,95.720766,8.410928e+00
17PR299/2,76386602,2.520840,76576477,2.304767,8.961259e-02,95.720766,8.195484e+00
17PR150,76823342,2.531154,76831739,2.304913,9.363239e-02,95.720766,8.606598e+00
17PR301/2,77009417,2.526258,77086979,2.305067,9.162941e-02,96.650266,8.358195e+00
17PR151,77133593,2.518808,77342257,2.305220,8.860966e-02,96.650266,8.094678e+00
17PR303/2,77506288,2.512932,77597441,2.305361,8.621292e-02,96.650266,7.889736e+00
19PR8,77776487,2.512768,77852771,2.305511,8.608259e-02,96.650266,7.900865e+00
17PR305/2,78017606,2.529152,78108001,2.305654,9.251970e-02,96.650266,8.544842e+00
17PR153,78202693,2.528690,78363281,2.305795,9.227586e-02,97.579767,8.465160e+00
17PR307/2,78556931,2.527694,78618521,2.305939,9.181946e-02,97.579767,8.446274e+00
17PR154,78776323,2.511222,78873787,2.306072,8.522384e-02,97.579767,7.836393e+00
17PR309/2,78926908,2.521438,79129049,2.306213,8.922259e-02,97.579767,8.244918e+00
17PR155,79356793,2.530090,79384289,2.306343,9.259172e-02,97.579767,8.595985e+00
17PR311/2,79493923,2.521409,79639537,2.306480,8.909532e-02,97.579767,8.280839e+00
17PR156,79681768,2.520371,79894807,2.306608,8.862807e-02,97.579767,8.259408e+00
17PR313/2,79896202,2.538219,80150047,2.306734,9.562998e-02,97.579767,8.969582e+00
17PR157,80279896,2.525834,80405279,2.306867,9.068098e-02,98.527320,8.426752e+00
17PR315/2,80581009,2.539541,80660579,2.306989,9.604014e-02,98.527320,8.974848e+00
17PR158,80845231,2.549999,80915819,2.307111,1.000969e-01,98.527320,9.400143e+00
17PR317/2,81076069,2.532540,81171061,2.307238,9.317161e-02,98.527320,8.744018e+00
17PR159,81360887,2.534042,81426337,2.307356,9.371338e-02,98.527320,8.822357e+00
