START,n_0,C_min,Npred_0,CpredAlign,Lambda_min,Jitter,JitterRatio,Status
13PR231/2,3479059,2.604518,3483463,2.588460,6.184525e-03,0.069297,2.317272e-01,EXPECTED
13PR116,3489916,2.613878,3498493,2.588589,9.722003e-03,0.069157,3.656752e-01,EXPECTED
13PR233/2,3502439,2.610699,3513491,2.588736,8.448276e-03,0.069007,3.182721e-01,EXPECTED
13PR117,3515401,2.612171,3528521,2.588853,8.966756e-03,0.068885,3.385062e-01,EXPECTED
13PR235/2,3539002,2.606307,3543523,2.589063,6.638243e-03,0.068728,2.509021e-01,EXPECTED
13PR118,3553097,2.606045,3558553,2.589223,6.475916e-03,0.068530,2.454691e-01,EXPECTED
13PR237/2,3561149,2.602978,3573529,2.589328,5.257792e-03,0.068424,1.994914e-01,EXPECTED
17PR7,3576721,2.610207,3588527,2.589483,7.971287e-03,0.068246,3.036661e-01,EXPECTED
13PR239/2,3591949,2.611007,3603583,2.589663,8.208219e-03,0.068059,3.136102e-01,EXPECTED
13PR120,3616831,2.603235,3618583,2.589798,5.175022e-03,0.067908,1.978706e-01,EXPECTED
13PR241/2,3633412,2.606239,3633583,2.589902,6.288149e-03,0.067827,2.408628e-01,EXPECTED
13PR121,3644584,2.609578,3648643,2.590036,7.516747e-03,0.067674,2.887667e-01,EXPECTED
13PR243/2,3658834,2.606500,3663659,2.590202,6.272460e-03,0.067533,2.413339e-01,EXPECTED
13PR122,3675767,2.603042,3678671,2.590351,4.887373e-03,0.067342,1.884559e-01,EXPECTED
13PR245/2,3682709,2.606978,3693689,2.590515,6.334998e-03,0.067196,2.449997e-01,EXPECTED
13PR123,3704819,2.596930,3708697,2.590570,2.452049e-03,0.067110,9.476978e-02,EXPECTED
13PR247/2,3722221,2.602626,3723719,2.590728,4.582018e-03,0.066947,1.777227e-01,EXPECTED
13PR124,3735406,2.608630,3738733,2.590861,6.834926e-03,0.066827,2.658955e-01,EXPECTED
13PR249/2,3753443,2.600434,3753721,2.591018,3.627505e-03,0.066645,1.412859e-01,EXPECTED
13PR125,3760034,2.593551,3768731,2.591133,9.327474e-04,0.066525,3.634724e-02,EXPECTED
13PR251/2,3783313,2.604192,3783739,2.591258,4.978982e-03,0.066394,1.948068e-01,EXPECTED
13PR126,3797879,2.598422,3798793,2.591383,2.712628e-03,0.066272,1.062138e-01,EXPECTED
13PR253/2,3801443,2.606210,3813773,2.591542,5.643993e-03,0.066115,2.218559e-01,EXPECTED
13PR127,3822034,2.613491,3828821,2.591655,8.390208e-03,0.065983,3.309337e-01,EXPECTED
17PR15/2,3834151,2.598408,3843823,2.591790,2.550193e-03,0.065873,1.004660e-01,EXPECTED
13PR128,3853924,2.606403,3858851,2.591921,5.571810e-03,0.065728,2.203323e-01,EXPECTED
13PR257/2,3858931,2.597507,3873847,2.592051,2.102685e-03,0.065586,8.318849e-02,EXPECTED
13PR129,3883478,2.594628,3888851,2.592165,9.497199e-04,0.065461,3.762546e-02,EXPECTED
13PR259/2,3891541,2.606291,3903899,2.592333,5.369895e-03,0.065353,2.135786e-01,EXPECTED
13PR130,3912628,2.602100,3918913,2.592412,3.730095e-03,0.065197,1.485958e-01,EXPECTED
