START,n_1,C_max,Npred_1,Cpred_max,Lambda_max
11PR21/2,24570,9.813452,24255,10.093364,-2.812415e-02
11PR11,25935,10.487278,25935,10.488199,-8.789884e-05
11PR23/2,26565,10.372692,26565,10.567976,-1.865168e-02
11PR12,28665,9.975727,27720,10.085107,-1.090502e-02
11PR25/2,28875,9.821226,28875,10.082285,-2.623395e-02
13PR,30030,11.048839,30030,10.996315,4.765165e-03
11PR27/2,31395,10.251809,31395,10.364999,-1.098043e-02
11PR14,32340,9.799554,32340,10.075154,-2.773552e-02
11PR29/2,33495,10.360701,33495,10.446165,-8.215038e-03
11PR15,34650,9.894882,34650,10.071040,-1.764634e-02
11PR31/2,35805,10.259837,35805,10.415924,-1.509889e-02
11PR16,36960,9.937926,36960,10.066805,-1.288499e-02
11PR33/2,38220,9.822883,38115,10.064971,-2.434653e-02
11PR17,39270,10.653188,39270,10.734029,-7.559728e-03
11PR35/2,41055,10.224562,41055,10.117994,1.047743e-02
11PR18,42315,10.072723,42315,10.216383,-1.416157e-02
11PR37/2,42735,10.238232,42735,10.345410,-1.041396e-02
11PR19,43890,10.542058,43890,10.647949,-9.994547e-03
13PR3/2,45045,10.793019,45045,10.968901,-1.616456e-02
11PR20,46410,10.447947,46410,10.528325,-7.663769e-03
11PR41/2,47355,10.193448,47355,10.309503,-1.132087e-02
11PR21,48510,9.965426,48510,10.050545,-8.505186e-03
11PR43/2,49665,10.159317,49665,10.294209,-1.319029e-02
11PR22,51870,10.444643,51870,10.443926,6.869020e-05
11PR45/2,51975,9.879451,51975,10.046303,-1.674777e-02
11PR23,53130,10.474504,53130,10.523264,-4.644249e-03
11PR47/2,54285,10.212318,54285,10.266809,-5.321568e-03
11PR24,55440,10.037488,55965,10.112172,-7.412937e-03
11PR49/2,56595,9.984062,56595,10.041275,-5.714046e-03
11PR25,58695,10.028995,58695,10.097033,-6.761279e-03
11PR51/2,58905,10.646392,58905,10.708285,-5.796717e-03
13PR2,60060,10.863353,60060,10.950324,-7.974080e-03
11PR53/2,61215,10.199660,61215,10.233419,-3.304298e-03
11PR27,62790,10.340764,62790,10.321904,1.825520e-03
11PR55/2,64155,10.025165,64155,10.070416,-4.503625e-03
11PR28,64680,9.920142,64680,10.033392,-1.135150e-02
11PR57/2,65835,10.472417,65835,10.622647,-1.424339e-02
11PR29,66990,10.301386,66990,10.402936,-9.809624e-03
11PR59/2,68145,10.142850,68145,10.206513,-6.257004e-03
11PR30,69615,10.551621,69615,10.503418,4.578766e-03
11PR61/2,70455,10.088719,70455,10.198616,-1.083417e-02
11PR31,71610,10.336958,71610,10.373390,-3.518253e-03
11PR63/2,73185,9.943205,72765,10.026799,-8.372020e-03
11PR32,73920,9.933447,73920,10.025801,-9.254297e-03
13PR5/2,75075,10.745363,75075,10.936378,-1.762038e-02
11PR33,76230,10.071066,76230,10.024045,4.679936e-03
11PR67/2,77805,10.328602,77805,10.419521,-8.764036e-03
11PR34,78540,10.707276,78540,10.690496,1.568409e-03
11PR69/2,79695,10.479483,79695,10.498816,-1.843166e-03
11PR35,80850,10.000211,80850,10.020683,-2.045051e-03
11PR71/2,82005,10.090887,82005,10.165178,-7.335204e-03
11PR36,83265,9.973900,83160,10.019072,-4.518784e-03
11PR73/2,84315,10.085899,84630,10.175238,-8.818838e-03
11PR37,85470,10.197448,85470,10.303880,-1.038298e-02
11PR75/2,86625,10.129962,86625,10.016820,1.123186e-02
11PR38,87780,10.518002,87780,10.605315,-8.267030e-03
11PR77/2,88935,9.841585,88935,10.015312,-1.749838e-02
13PR3,90090,10.933130,90090,10.925062,7.382249e-04
11PR79/2,91245,10.028576,91245,10.144041,-1.144791e-02
11PR40,92820,10.439915,92820,10.486348,-4.437861e-03
11PR81/2,94185,10.224978,94185,10.298203,-7.135870e-03
11PR41,94710,10.300578,94710,10.268629,3.106482e-03
11PR83/2,95865,9.957854,95865,10.134747,-1.760818e-02
11PR42,97020,10.026190,97020,10.010528,1.563339e-03
11PR85/2,98175,10.536692,98175,10.677250,-1.325167e-02
11PR43,99330,10.242347,99330,10.253302,-1.069010e-03
11PR87/2,100485,10.396610,100485,10.379273,1.668936e-03
11PR44,101745,10.082452,101745,10.172789,-8.919974e-03
11PR89/2,103740,10.334813,103740,10.402765,-6.553575e-03
11PR45,103950,9.915174,103950,10.006694,-9.187954e-03
13PR7/2,105105,10.813556,105105,10.915777,-9.408674e-03
11PR46,106260,10.581837,106260,10.482013,9.478301e-03
11PR93/2,107415,10.369376,107415,10.350004,1.869962e-03
11PR47,108570,10.108686,108570,10.226637,-1.160079e-02
11PR95/2,109725,10.540518,109725,10.592235,-4.894486e-03
11PR48,111930,9.962905,111930,10.072680,-1.095807e-02
11PR97/2,112035,10.042375,112035,10.107990,-6.512601e-03
11PR49,113295,10.040835,113190,10.002042,3.871054e-03
