START,n_0,C_min,Npred_0,Cbound,Lambda_min,Jitter,JitterRatio
13PR40,1204402,2.722110,1216213,2.283739,1.755933e-01,0.006246,7.018428e+01
13PR81/2,1228712,2.726148,1231229,2.285775,1.761845e-01,0.006177,7.129237e+01
13PR41,1238318,2.716586,1246243,2.287662,1.718456e-01,0.006115,7.014293e+01
13PR83/2,1251961,2.726792,1261259,2.289547,1.747718e-01,0.006050,7.227190e+01
13PR42,1265969,2.706811,1276271,2.291380,1.666169e-01,0.005990,6.935409e+01
17PR5/2,1276538,2.717333,1291271,2.293196,1.697044e-01,0.005927,7.156015e+01
13PR43,1294324,2.724163,1306289,2.294896,1.714737e-01,0.005907,7.267090e+01
13PR87/2,1307788,2.725882,1321319,2.296670,1.713318e-01,0.005848,7.339466e+01
13PR44,1327552,2.721881,1336333,2.298352,1.691308e-01,0.005789,7.316099e+01
13PR89/2,1344886,2.719893,1351327,2.299957,1.677021e-01,0.005734,7.323614e+01
13PR45,1360537,2.720300,1366349,2.301539,1.671641e-01,0.005680,7.372553e+01
13PR91/2,1367291,2.723954,1381349,2.303129,1.678159e-01,0.005627,7.478674e+01
13PR46,1385044,2.721107,1396393,2.304682,1.660961e-01,0.005574,7.470847e+01
13PR93/2,1403296,2.725260,1411387,2.306197,1.669640e-01,0.005523,7.587597e+01
