START,n_0,C_min,Npred_0,Cpred_min,n_1,C_max,Npred_1,Cpred_max,n_geom,C_avg,Cpred_avg,n_v,Calign_min,n_u,Calign_max,n_a,Cbound_min,n_b,Cbound_max
11PR2,4651,2.085780,4723,2.673457,4620,9.43200294,4620,9.50395507,4672,4.016741935,4.051351101,4637,1.429308,4620,9.85504017,4621,1.262257,4620,11.32627451
7PR45/2,4801,1.856187,4817,2.673391,4725,8.48560494,4725,8.55334142,4777,3.959575554,4.049041518,4792,1.460026,4725,8.92254105,4729,1.279990,4725,10.36008752
7PR23,4909,2.178086,4933,2.673275,4830,9.23639960,4830,8.96032980,4882,3.940226253,4.047990403,4846,1.463933,4830,9.31282494,4831,1.296090,4830,10.76287798
7PR47/2,4987,2.151973,5039,2.673145,4935,8.55995006,4935,8.74270751,4987,3.928458773,4.051274269,4946,1.481669,4935,9.10349058,4937,1.312280,4935,10.54166067
7PR24,5086,2.176695,5119,2.673070,5040,8.47914389,5040,8.55236744,5092,3.991573907,4.043092611,5077,1.497108,5040,8.89997561,5042,1.328458,5040,10.34782030
7PR49/2,5242,2.126897,5237,2.672990,5145,8.23437263,5145,8.55217279,5197,4.029583952,4.053571147,5156,1.509018,5145,8.90485058,5147,1.342590,5145,10.34467036
7PR25,5308,2.217466,5351,2.672862,5250,8.88898687,5250,8.55190387,5302,3.987333044,4.040014905,5266,1.534216,5250,8.89146722,5261,1.358221,5250,10.34152757
7PR51/2,5416,1.965120,5449,2.672803,5355,8.59144749,5355,9.12165173,5407,3.958874195,4.053812576,5387,1.542947,5355,9.43163416,5366,1.372779,5355,10.90892895
7PR26,5557,2.301782,5563,2.672682,5460,8.73404796,5460,9.32868501,5512,3.932997871,4.046616840,5506,1.555827,5460,9.66418656,5462,1.385048,5460,11.11438494
7PR53/2,5596,2.182571,5669,2.672620,5565,8.44836872,5565,8.71878830,5617,3.935195933,4.050185810,5596,1.567497,5565,9.03316565,5569,1.397639,5565,10.50186483
7PR27,5728,2.248387,5749,2.672555,5670,8.27370483,5670,8.55087561,5722,3.886062230,4.043183971,5716,1.579011,5670,8.88266157,5674,1.410883,5670,10.33215565
11PR5/2,5857,2.159168,5879,2.672429,5775,9.30254452,5775,9.50061339,5827,3.949550146,4.049529602,5827,1.596508,5775,9.80885567,5779,1.422425,5775,11.29288770
7PR28,5906,2.349289,5981,2.672375,5880,8.40421431,5880,8.55032099,5932,3.965006529,4.048103927,5981,1.617918,5880,8.87767181,5881,1.433952,5880,10.32888458
7PR57/2,6038,2.309643,6089,2.672295,5985,8.99970987,5985,9.05311257,6037,3.969178330,4.043884225,6002,1.610027,5985,9.36544994,5987,1.445527,5985,10.83072280
7PR29,6131,2.233345,6173,2.672233,6090,8.52931444,6090,8.86660386,6142,3.971519167,4.048588551,6101,1.625918,6090,9.18832073,6091,1.456570,6090,10.64330805
7PR59/2,6218,2.356115,6299,2.672121,6195,8.61597314,6195,8.69963656,6247,4.002366231,4.046154087,6211,1.630288,6195,9.00972391,6197,1.467521,6195,10.47578044
7PR30,6353,2.124621,6397,2.672075,6300,8.26068737,6300,8.54943114,6352,4.044700161,4.049599941,6311,1.642539,6300,8.86569885,6301,1.477937,6300,10.32506116
7PR61/2,6421,2.298798,6469,2.672025,6405,8.78106455,6405,8.69418887,6457,4.017797383,4.042110990,6442,1.655232,6435,9.10902483,6406,1.488715,6405,10.46962114
7PR31,6568,2.399779,6607,2.671912,6510,8.48065427,6510,8.84387731,6562,4.059555183,4.051085816,6542,1.668935,6510,9.12006443,6514,1.498922,6510,10.61915516
7PR63/2,6719,2.265862,6719,2.671839,6615,8.51815935,6615,8.54880788,6667,4.043817526,4.043685497,6652,1.673071,6615,8.85030251,6619,1.508014,6615,10.32422219
7PR32,6791,2.430712,6823,2.671772,6765,7.91178535,6720,8.54861281,6772,3.992504559,4.044179549,6772,1.702832,6720,8.83022853,6722,1.517785,6720,10.32420455
7PR65/2,6863,2.365471,6917,2.671733,6825,9.18281598,6825,9.32561359,6877,4.055639365,4.046031080,6871,1.691869,6825,9.62511428,6827,1.526393,6825,11.10250125
11PR3,7024,2.323062,7027,2.671646,6930,9.57022794,6930,9.49810045,6982,4.034484259,4.050991422,6947,1.700169,6930,9.77568123,6934,1.536006,6930,11.28816450
7PR67/2,7108,2.390305,7129,2.671604,7035,8.65754455,7035,8.67954514,7087,4.008335516,4.048563044,7136,1.742832,7035,8.97720315,7039,1.544161,7035,10.45679935
7PR34,7219,2.055910,7243,2.671518,7140,8.99867832,7140,9.11771327,7192,4.006742264,4.043676857,7156,1.718126,7140,9.40100602,7142,1.552975,7140,10.89577578
7PR69/2,7246,2.136908,7349,2.671475,7245,8.89869542,7245,8.95476755,7297,3.982324836,4.047296377,7256,1.732743,7245,9.24826424,7247,1.560721,7245,10.73379099
7PR35,7351,2.199762,7451,2.671399,7350,8.15181074,7350,8.54755750,7402,3.981201480,4.045293402,7352,1.768798,7350,8.83019336,7351,1.568697,7350,10.32761715
7PR71/2,7522,2.372402,7559,2.671338,7455,8.83168226,7455,8.67119566,7507,3.968241965,4.043564318,7466,1.742943,7455,8.96076123,7457,1.576647,7455,10.45250293
7PR36,7561,2.321013,7649,2.671307,7560,8.65079274,7560,8.54715332,7612,3.972123085,4.048802879,7576,1.747163,7560,8.82861988,7561,1.584243,7560,10.32974529
7PR73/2,7727,2.199214,7759,2.671230,7665,8.55978200,7665,8.66741947,7717,3.945571615,4.044696417,7717,1.755798,7665,8.91874824,7669,1.591941,7665,10.45149174
7PR37,7846,2.336977,7873,2.671187,7770,9.12968576,7770,8.79107181,7822,3.939594257,4.045132956,7816,1.770506,7770,9.07090582,7778,1.599968,7770,10.57666142
7PR75/2,7951,2.232082,7963,2.671123,7875,7.93215960,7875,8.54665467,7927,3.925288875,4.041309917,7927,1.768965,7875,8.80635097,7877,1.606252,7875,10.33394274
7PR38,8062,2.328303,8081,2.671080,7980,8.86151069,7980,9.04923277,8032,3.952135799,4.044512675,8081,1.778847,7980,9.32440743,7993,1.613953,7980,10.83825846
11PR7/2,8116,2.236375,8179,2.671014,8085,9.49404748,8085,9.49598970,8137,3.953392684,4.049983648,8102,1.787188,8085,9.75018762,8087,1.620036,8085,11.30166625
7PR39,8224,2.292547,8192,2.670682,8190,9.19979531,8190,9.32316868,8242,3.956252054,4.047956873,8291,1.791546,8190,9.59749546,8192,1.626473,8190,11.11697774
7PR79/2,8311,2.234912,8389,2.670927,8295,8.67819577,8295,8.65701829,8347,3.967198155,4.046733233,8311,1.799731,8295,8.91821210,8297,1.633246,8295,10.45198356
7PR40,8429,2.249292,8501,2.670873,8400,8.39818911,8400,8.54588363,8452,4.005787699,4.043483885,8467,1.808013,8415,8.82386945,8402,1.640034,8400,10.34298394
7PR81/2,8599,2.329117,8609,2.670822,8505,8.54937189,8580,8.63195161,8557,3.959131350,4.040908984,8522,1.807168,8505,8.80740654,8506,1.646214,8505,10.34516304
7PR41,8614,2.287560,8713,2.670774,8610,8.81029329,8610,8.76475917,8662,4.000404972,4.047353914,8641,1.812513,8610,9.03374292,8623,1.652602,8610,10.56645681
7PR83/2,8777,2.179478,8819,2.670711,8715,8.50173807,8715,8.65094459,8767,4.001008602,4.045441546,8731,1.817242,8715,8.91238909,8719,1.658066,8715,10.45509391
