START,n_0,C_min,Npred_0,Cpred_min,Lambda_min
7PR111/2,11749,2.392249,11743,2.669620,-1.097022e-01
7PR56,11839,2.348206,11863,2.669582,-1.282703e-01
7PR113/2,11932,2.392674,11969,2.669561,-1.095025e-01
7PR57,11971,2.386736,12073,2.669529,-1.119753e-01
7PR115/2,12101,2.395745,12163,2.669492,-1.081939e-01
7PR58,12281,2.223656,12281,2.669467,-1.827261e-01
7PR117/2,12326,2.217079,12379,2.669428,-1.856737e-01
7PR59,12422,2.346659,12491,2.669396,-1.288596e-01
7PR119/2,12574,2.295932,12589,2.669378,-1.507066e-01
7PR60,12671,2.225896,12703,2.669335,-1.816698e-01
11PR11/2,12757,2.354186,12809,2.669316,-1.256272e-01
7PR61,12878,2.336543,12911,2.669278,-1.331355e-01
7PR123/2,12982,2.377047,13009,2.669260,-1.159423e-01
7PR62,13049,2.340065,13121,2.669230,-1.316113e-01
7PR125/2,13142,2.381559,13229,2.669201,-1.140239e-01
7PR63,13241,2.313245,13331,2.669164,-1.431140e-01
7PR127/2,13339,2.408045,13421,2.669150,-1.029449e-01
7PR64,13451,2.365320,13537,2.669119,-1.208351e-01
7PR129/2,13646,2.418129,13649,2.669090,-9.874349e-02
7PR65,13729,2.380300,13751,2.669055,-1.144979e-01
7PR131/2,13807,2.343338,13859,2.669028,-1.301380e-01
11PR6,13943,2.508139,13963,2.669002,-6.216358e-02
7PR133/2,14051,2.389016,14057,2.668987,-1.108174e-01
7PR67,14096,2.408715,14173,2.668959,-1.025951e-01
7PR135/2,14243,2.286441,14251,2.668931,-1.546816e-01
7PR68,14332,2.428418,14369,2.668911,-9.443051e-02
7PR137/2,14411,2.316236,14489,2.668882,-1.417162e-01
7PR69,14528,2.225437,14593,2.668858,-1.816974e-01
7PR139/2,14699,2.430591,14699,2.668824,-9.350349e-02
7PR70,14779,2.470069,14797,2.668810,-7.738659e-02
7PR141/2,14831,2.313924,14897,2.668787,-1.426793e-01
7PR71,14951,2.398094,15013,2.668760,-1.069397e-01
13PR/2,15784,2.297078,16141,2.668514,-1.498839e-01
11PR7,17218,2.342733,16384,2.668294,-1.301211e-01
11PR15/2,18322,2.313856,18461,2.668071,-1.424403e-01
