START,n_0,C_min,Npred_0,Cpred_min,n_1,C_max,Npred_1,Cpred_max,n_geom,C_avg,Cpred_avg,Align,CpredAlign,CpredBound
11PR63,146522,1.359880,146683,2.640685,145530,10.44569852,145530,9.38903774,146106,3.872931676,3.999925252,0.000000,0.000000,0.000000
11PR127/2,147626,1.597298,147827,2.640685,147315,9.84739273,146685,9.46414996,147261,4.093199726,3.999971928,0.000000,0.000000,0.000000
11PR64,148292,1.346161,148991,2.640685,148890,10.00294528,147840,9.38903763,148416,4.106886091,4.000312873,0.000000,0.000000,0.000000
11PR129/2,148997,1.706559,149993,2.640684,148995,10.72691538,148995,9.61803859,149571,4.233393771,3.999326850,0.000000,0.000000,0.000000
13PR5,151108,1.686683,151303,2.640684,150150,11.14289096,150150,10.24258640,150726,4.325749380,4.000257120,0.000000,0.000000,0.000000
11PR131/2,152336,1.555812,152297,2.640684,151410,10.10636432,151515,9.48170850,151881,4.146798599,4.000160581,0.000000,0.000000,0.000000
11PR66,153464,1.665664,153611,2.640684,153510,10.22818468,152460,9.38903743,153036,4.114456051,3.999755943,0.000000,0.000000,0.000000
11PR133/2,154618,1.537087,154613,2.640684,153615,10.45852532,153615,9.94133379,154191,3.914329548,4.000170641,0.000000,0.000000,0.000000
11PR67,154793,1.535471,155921,2.640684,154980,9.91121090,155610,9.76058214,155346,3.911693834,4.000210018,0.000000,0.000000,0.000000
11PR135/2,156113,1.524414,156913,2.640684,156975,9.92361213,156975,9.65729551,156501,3.824088160,4.000033249,0.000000,0.000000,0.000000
11PR68,157993,1.277286,158233,2.640683,157080,9.56663403,157080,10.01497305,157656,3.854084081,3.999687844,0.000000,0.000000,0.000000
11PR137/2,159253,1.614709,159227,2.640683,158235,9.97244244,158340,9.55974697,158811,3.888761362,3.999917366,0.000000,0.000000,0.000000
11PR69,159724,1.150695,160541,2.640683,159390,10.37342601,159390,9.83613414,159966,3.850077285,4.000253776,0.000000,0.000000,0.000000
