START,n_0,C_min,Npred_0,Cpred_min,n_1,C_max,Npred_1,Cpred_max,n_geom,C_avg,Cpred_avg,Align,CpredAlign
(11#)145/2,167809,2.693386,168629,2.807166,167475,10.31818751,167475,10.35100991,168051,4.239997234,4.252218283,132.692173,2.693184
(11#)73,169249,2.713763,169783,2.807066,169260,10.17734705,169575,10.14505852,169206,4.243475508,4.252469940,133.084817,2.693395
(11#)147/2,169948,2.712993,170927,2.806968,169785,10.02077587,169785,9.98062157,170361,4.239012748,4.251940161,133.472615,2.693602
(11#)74,171733,2.719967,172093,2.806869,170940,10.25562248,170940,10.26541753,171516,4.239630146,4.252023777,133.866409,2.693811
(11#)149/2,172751,2.664331,173249,2.806772,172095,10.04213779,172095,10.04781248,172671,4.238462114,4.251496185,134.255382,2.694017
(11#)75,174016,2.722014,174389,2.806676,173250,9.95075632,173250,9.97957214,173826,4.240426321,4.251088651,134.637580,2.694217
(11#)151/2,175129,2.705876,175543,2.806580,174405,9.99285387,174405,10.04620630,174981,4.240412523,4.251465330,135.023077,2.694418
(11#)76,176224,2.678521,176713,2.806483,175560,10.52793516,175560,10.56587990,176136,4.240773850,4.251450570,135.412502,2.694620
(11#)153/2,177076,2.692558,177841,2.806390,176715,10.57647052,176715,10.64378727,177291,4.241967051,4.250903319,135.786611,2.694812
(11#)77,178792,2.695557,179021,2.806294,177870,10.01114359,177870,9.97821011,178446,4.243355031,4.251056756,136.176575,2.695011
(11#)155/2,179356,2.713026,180179,2.806200,179025,10.40970079,179025,10.32194331,179601,4.241921154,4.250432814,136.557900,2.695204
(13#)6,180904,2.701729,181303,2.806109,180180,10.88558644,180180,10.88459187,180756,4.236986362,4.250974255,136.926745,2.695390
(11#)157/2,181606,2.704331,182489,2.806015,181545,10.36979020,181545,10.37198760,181911,4.235468853,4.250552922,137.314579,2.695585
(11#)79,182899,2.720541,183637,2.805923,182490,10.04079686,182490,10.10645358,183066,4.237988534,4.250406241,137.688671,2.695770
(11#)159/2,184271,2.719586,184777,2.805833,183645,10.12599567,183645,10.17217946,184221,4.240039890,4.250697692,138.058889,2.695954
(11#)80,185578,2.700366,185951,2.805741,185640,10.40550779,185640,10.44764771,185376,4.233393117,4.250103243,138.438841,2.696140
(11#)161/2,187027,2.712894,187091,2.805652,185955,10.42731998,185955,10.45095786,186531,4.228866983,4.250004392,138.806533,2.696320
(11#)81,187987,2.717028,188261,2.805562,187110,9.94199782,187110,9.97559111,187686,4.231714256,4.249613845,139.182626,2.696503
(11#)163/2,189226,2.716220,189407,2.805493,188370,10.23675157,188370,10.26025805,188841,4.233986260,4.249879647,139.549763,2.696699
(11#)82,190276,2.706788,190573,2.805404,189420,10.21740563,189420,10.23072518,189996,4.232510648,4.249517890,139.922059,2.696878
(11#)165/2,190999,2.687332,191717,2.805317,190575,9.89782090,190575,9.97471805,191151,4.229498140,4.249464808,140.286118,2.697051
(11#)83,192292,2.661382,192883,2.805229,192465,10.00314004,191730,10.09754320,192306,4.230794514,4.249475239,140.655955,2.697226
(11#)167/2,193174,2.718916,194027,2.805143,193830,9.92268396,192885,10.03454394,193461,4.231958168,4.249451949,141.017625,2.697397
(11#)84,194869,2.696034,195193,2.805056,194040,9.96426156,194040,9.97378315,194616,4.227214184,4.248120986,141.385048,2.697568
(13#)13/2,195919,2.690015,196337,2.804970,195195,10.74924750,195195,10.88015930,195771,4.230549808,4.248868627,141.744371,2.697734
(11#)85,197254,2.709534,197479,2.804886,196350,10.67047355,196350,10.63804952,196926,4.236986161,4.249246189,142.101923,2.697900
(11#)171/2,197998,2.711552,198659,2.804799,197505,10.50939144,197505,10.55951080,198081,4.238087703,4.248988584,142.470184,2.698068
(11#)86,199039,2.690668,199813,2.804715,198660,10.18313960,198660,10.21580044,199236,4.233881078,4.248474526,142.829172,2.698232
(11#)173/2,200929,2.690293,200929,2.804634,199815,9.94684650,199815,10.03058795,200391,4.234871787,4.248106719,143.175260,2.698389
