START,n_geom,C_avg,Cpred_avg,Lambda_avg
(11PR)14,32912,4.247259,4.291310,-1.031828e-02
(11PR)29/2,34067,4.250650,4.291261,-9.508597e-03
(11PR)15,35222,4.240434,4.290207,-1.166938e-02
(11PR)31/2,36377,4.252236,4.289067,-8.624238e-03
(11PR)16,37533,4.251158,4.288453,-8.734644e-03
(11PR)33/2,38688,4.249529,4.287046,-8.789654e-03
(11PR)17,39843,4.247474,4.287060,-9.276510e-03
(11PR)35/2,40998,4.257089,4.286223,-6.820341e-03
(11PR)18,42153,4.253368,4.285311,-7.482018e-03
(11PR)37/2,43308,4.247610,4.284775,-8.711618e-03
(11PR)19,44463,4.242146,4.283593,-9.723003e-03
(13PR)3/2,45618,4.250292,4.283526,-7.788797e-03
(11PR)20,46773,4.256428,4.282638,-6.138836e-03
(11PR)41/2,47929,4.261451,4.282805,-4.998322e-03
(11PR)21,49084,4.253231,4.281035,-6.515721e-03
(11PR)43/2,50239,4.251228,4.280973,-6.972334e-03
(11PR)22,51394,4.254834,4.280142,-5.930357e-03
(11PR)45/2,52549,4.249550,4.279606,-7.047874e-03
(11PR)23,53704,4.248920,4.279536,-7.179839e-03
(11PR)47/2,54859,4.246711,4.278638,-7.489893e-03
(11PR)24,56014,4.245361,4.278074,-7.675933e-03
(11PR)49/2,57169,4.244378,4.277560,-7.787271e-03
(11PR)25,58324,4.241643,4.277082,-8.320138e-03
(11PR)51/2,59479,4.241841,4.276317,-8.094752e-03
(13PR)2,60634,4.244564,4.276224,-7.431167e-03
(11PR)53/2,61789,4.250088,4.275782,-6.027286e-03
(11PR)27,62944,4.248665,4.275390,-6.270561e-03
(11PR)55/2,64099,4.246485,4.274993,-6.690855e-03
(11PR)28,65254,4.249984,4.274161,-5.672734e-03
(11PR)57/2,66409,4.246683,4.273771,-6.358216e-03
(11PR)29,67565,4.245380,4.273570,-6.618225e-03
(11PR)59/2,68720,4.252730,4.273114,-4.781668e-03
(11PR)30,69875,4.250849,4.272790,-5.148241e-03
(11PR)61/2,71030,4.255457,4.272234,-3.934742e-03
(11PR)31,72185,4.246239,4.271954,-6.037600e-03
