START,n_0,C_min,Npred_0,Cpred_min,n_1,C_max,Npred_1,Cpred_max,n_geom,C_avg,Cpred_avg,n_v,Calign_min,n_u,Calign_max,n_a,Cbound_min,n_b,Cbound_max
11PR41D2,47456,0.938788,48497,2.640723,48195,10.80894047,47355,9.62979029,47929,3.956841551,4.000733654,48506,0.000000,47355,11.16278193,48509,0.000000,47355,20.67733263
11PR21,49451,1.210661,49663,2.640722,49335,11.22282503,48510,9.38904544,49084,4.205102692,3.999554859,49661,0.000000,48510,10.89566409,49664,0.000000,48510,20.41836895
11PR43D2,50279,0.895705,50789,2.640721,49665,12.05383241,49665,9.61804666,50239,3.954903296,4.000067802,50816,0.000000,49665,11.09729363,50819,0.000000,49665,20.62838975
11PR22,51647,1.168933,51973,2.640720,51870,11.34981876,51870,9.76058992,51394,4.009793041,3.999849110,51971,0.000000,51870,11.24137395,51974,0.000000,51870,20.74953746
11PR45D2,52748,0.860885,53129,2.640719,52290,10.40242898,51975,9.38904516,52549,3.940814026,3.999895084,53126,0.000000,51975,10.81943208,53129,0.000000,51975,20.37602636
11PR23,53831,0.564426,54277,2.640718,54180,10.39249205,53130,9.83614207,53704,3.963901393,4.000364178,54281,0.000000,53130,11.24251168,54284,0.000000,53130,20.81483622
11PR47D2,54902,0.833841,55439,2.640716,55275,9.94885321,54285,9.59769024,54859,3.933224439,3.999951876,55436,0.000000,54285,10.98733546,55439,0.000000,54285,20.57019719
11PR24,55948,1.093936,56591,2.640715,55965,11.48696711,55965,9.45470217,56014,4.272269885,3.999939739,56591,0.000000,55965,10.86356132,56594,0.000000,55965,20.42217609
11PR49D2,56807,1.080910,57737,2.640714,56595,11.92221239,56595,9.38904446,57169,4.425639340,3.999963250,57746,0.000000,56595,10.73779813,57749,0.000000,56595,20.35504425
11PR25,58711,1.314818,58901,2.640713,58590,10.80101266,58695,9.44317157,58324,4.146976573,4.000010739,58901,0.000000,58695,10.75353571,58904,0.000000,58695,20.40893719
11PR51D2,59737,0.777811,60041,2.640713,58905,11.53959820,58905,10.01498041,59479,3.982170636,3.999691504,60056,0.000000,58905,11.32451184,60059,0.000000,58905,20.98165490
13PR2,61169,1.017560,61211,2.640712,60840,9.96366388,60060,10.24259317,60634,3.625068709,4.000081067,61211,0.000000,60060,11.53190895,61214,0.000000,60060,21.21208378
11PR53D2,61934,0.755400,62351,2.640711,61845,9.32381252,61215,9.57314272,61789,3.685310303,4.000135967,62366,0.000000,61215,10.84332807,62369,0.000000,61215,20.54699974
11PR27,62687,0.997035,63521,2.640710,62895,10.94043472,62790,9.65730201,62944,3.918715979,4.000144317,63521,0.000000,62790,10.93807289,63524,0.000000,62790,20.63874176
11PR55D2,63892,0.736071,64679,2.640709,64050,10.28897269,64155,9.42318546,64099,3.846628741,4.000225648,64676,0.000000,64155,10.69174170,64679,0.000000,64155,20.41441299
11PR28,64811,0.970351,65536,2.640668,65730,9.58609875,64680,9.38904317,65254,3.824655381,3.999809880,65831,0.000000,64680,10.61673411,65834,0.000000,64680,20.38462458
11PR57D2,66889,0.945069,66977,2.640708,66165,10.49593236,65835,9.94133991,66409,4.063350845,3.999882012,66986,0.000000,65835,11.15313751,66989,0.000000,65835,20.94683466
11PR29,67768,1.169565,68141,2.640707,67830,10.05041004,66990,9.73678523,67565,3.997325848,4.000124153,68141,0.000000,66990,10.93287763,68144,0.000000,66990,20.75343754
11PR59D2,69208,0.919209,69263,2.640706,68385,9.51611980,68145,9.55376303,68720,3.601575934,4.000042345,69296,0.000000,68145,10.73383915,69299,0.000000,68145,20.58276737
11PR30,69623,1.143896,70451,2.640706,69510,9.38584672,69615,9.83288834,69875,3.843694934,4.000154820,70451,0.000000,69615,11.04608531,70454,0.000000,69615,20.87917428
11PR61D2,70592,0.904079,71597,2.640705,71085,11.24372551,70455,9.54817904,71030,4.327754395,3.999969358,71606,0.000000,70455,10.70536778,71609,0.000000,70455,20.60528727
11PR31,72712,1.323713,72763,2.640704,71820,11.14396579,71610,9.71280248,72185,4.163249480,4.000110076,72761,0.000000,71610,10.85642111,72764,0.000000,71610,20.78557776
11PR63D2,72959,1.100855,73907,2.640704,73185,10.53704614,72765,9.38904247,73340,3.929898120,3.999905551,73916,0.000000,72930,10.61451009,73919,0.000000,73815,22.51958758
11PR32,74843,1.508492,75041,2.640703,73920,10.01092722,73920,9.38904242,74495,4.008183936,4.000000092,75071,0.000000,73920,10.50531618,75074,0.000000,73920,22.68888498
13PR5D2,75814,1.066288,76213,2.640703,75075,10.52923776,75075,10.24259153,75650,3.918307726,3.999822699,76226,0.000000,75075,11.34457684,76229,0.000000,75075,23.39923288
11PR33,77311,1.259536,77383,2.640702,76860,9.91360578,76230,9.38904218,76805,4.010658780,4.000232045,77381,0.000000,76230,10.47737871,77384,0.000000,76230,22.40630521
