n,ratio,c_pred,baseline,c_meas,lambda,status
3880236,1.02926485,5.10324715,-0.28723264,5.25259293,0.02884481,EXPECTED
3895671,1.02981354,5.96438148,-0.28655567,6.14220079,0.02937775,EXPECTED
3909126,1.03137904,5.75788839,-0.28596955,5.93856540,0.03089678,EXPECTED
3931149,1.02901136,5.00093154,-0.28501827,5.14601536,0.02859850,EXPECTED
3938586,1.02793787,5.31234603,-0.28469908,5.46076167,0.02755473,EXPECTED
3949872,1.03403779,5.49001651,-0.28421707,5.67688456,0.03347133,EXPECTED
3965427,1.02798797,5.30141518,-0.28355647,5.44979102,0.02760346,EXPECTED
3993207,1.02773837,5.05630132,-0.28238854,5.19655486,0.02736063,EXPECTED
3997383,1.02540362,5.48432239,-0.28221424,5.62364402,0.02508631,EXPECTED
4009971,1.02799144,6.03856712,-0.33802886,6.20759528,0.02760684,EXPECTED
4024389,1.02747105,5.25219494,-0.28109468,5.39647823,0.02710049,EXPECTED
4039074,1.02790904,5.64795847,-0.28049196,5.80558755,0.02752668,EXPECTED
4059294,1.02701038,5.36107343,-0.27966818,5.50587804,0.02665203,EXPECTED
4078929,1.02938666,5.35952475,-0.27887512,5.51702330,0.02896315,EXPECTED
4095936,1.02872898,5.49885834,-0.27819409,5.65683495,0.02832404,EXPECTED
4101981,1.03140545,6.18998357,-0.27795330,6.38438277,0.03092238,EXPECTED
4121091,1.02528506,5.62022467,-0.27719601,5.76233241,0.02497069,EXPECTED
4138446,1.02732898,5.87635770,-0.27651368,6.03695255,0.02696221,EXPECTED
4150290,1.03318491,6.88314464,-0.36806814,7.11156114,0.03264617,EXPECTED
4171674,1.03010394,5.57478658,-0.27522171,5.74260961,0.02965971,EXPECTED
4177707,1.03194437,5.26310549,-0.27498916,5.43123210,0.03144476,EXPECTED
4201224,1.03128125,5.04538204,-0.27408855,5.20320788,0.03080196,EXPECTED
4219191,1.02944293,5.09460562,-0.27340644,5.24460572,0.02901781,EXPECTED
4231071,1.03091096,5.85292898,-0.27295840,6.03384864,0.03044284,EXPECTED
4239126,1.02853145,5.32762064,-0.27265584,5.47962536,0.02813201,EXPECTED
4262436,1.02752985,5.11205914,-0.27178640,5.25279338,0.02715772,EXPECTED
4264620,1.02545903,7.43993369,-0.36227383,7.62934715,0.02514034,EXPECTED
4291701,1.03086415,5.90543014,-0.27070669,6.08769623,0.03039743,EXPECTED
4301571,1.02804220,5.06361237,-0.27034552,5.20560722,0.02765622,EXPECTED
4324281,1.02897807,5.49698435,-0.26952032,5.65627636,0.02856615,EXPECTED
4336254,1.02956982,5.79760254,-0.26908845,5.96903660,0.02914106,EXPECTED
4342218,1.02933406,5.09417295,-0.26887428,5.24360571,0.02891205,EXPECTED
4361514,1.02951070,5.27352278,-0.26818444,5.42914814,0.02908364,EXPECTED
4369791,1.03029119,5.52429526,-0.26789016,5.69163275,0.02984147,EXPECTED
4385751,1.03080997,5.32959338,-0.26732566,5.49379801,0.03034488,EXPECTED
4408014,1.03190396,5.70202002,-0.26654470,5.88393701,0.03140560,EXPECTED
4425486,1.02918705,5.50060972,-0.26593648,5.66115630,0.02876922,EXPECTED
4430457,1.02981190,5.09354576,-0.26576435,5.24539406,0.02937617,EXPECTED
4456131,1.03059772,5.05568974,-0.26488061,5.21038232,0.03013895,EXPECTED
4460571,1.03080905,5.02118696,-0.26472869,5.17588498,0.03034398,EXPECTED
4482246,1.02820316,5.03438918,-0.26399091,5.17637485,0.02781277,EXPECTED
4500246,1.02418103,5.03922067,-0.26338323,5.16107421,0.02389330,EXPECTED
4516902,1.02707140,5.59389109,-0.26282504,5.74532555,0.02671145,EXPECTED
4525569,1.02744970,5.02337495,-0.26253592,5.16126510,0.02707972,EXPECTED
